league.year,league.name.full,entry.name,entry.key,team.key,club.key
1913,American League,Philadelphia,PHA,PHA,PHA
1913,American League,Washington,WS1,WS1,WS1
1913,American League,Cleveland,CLE,CLE,CLE
1913,American League,Boston,BOS,BOS,BOS
1913,American League,Chicago,CHA,CHA,CHA
1913,American League,Detroit,DET,DET,DET
1913,American League,New York,NYA,NYA,NYA
1913,American League,St. Louis,SLA,SLA,SLA
1913,National League,New York,NYN,NYN,NYN
1913,National League,Philadelphia,PHI,PHI,PHI
1913,National League,Chicago,CHN,CHN,CHN
1913,National League,Pittsburgh,PIT,PIT,PIT
1913,National League,Boston,BSN,BSN,BSN
1913,National League,Brooklyn,BRO,BRO,BRO
1913,National League,Cincinnati,CIN,CIN,CIN
1913,National League,St. Louis,SLN,SLN,SLN
1913,American Association,Milwaukee,MIL,MIL,MIL
1913,American Association,Minneapolis,MIN,MIN,MIN
1913,American Association,Louisville,LOU,LOU,LOU
1913,American Association,Columbus,COL,COL,COL
1913,American Association,St. Paul,STP,STP,STP
1913,American Association,Toledo,TOL,TOL,TOL
1913,American Association,Kansas City,KC,KC,KC
1913,American Association,Indianapolis,IND,IND,IND
1913,International League,Newark,NEW,NEW,NEW
1913,International League,Rochester,ROC,ROC,ROC
1913,International League,Baltimore,BAL,BAL,BAL
1913,International League,Buffalo,BUF,BUF,BUF
1913,International League,Montreal,MON,MON,MON
1913,International League,Providence,PRO,PRO,PRO
1913,International League,Toronto,TOR,TOR,TOR
1913,International League,Jersey City,JC,JC,JC
1913,Pacific Coast League,Portland,POR,POR,POR
1913,Pacific Coast League,Sacramento,SAC,SAC,SAC
1913,Pacific Coast League,Venice,VEN,VEN,VEN
1913,Pacific Coast League,San Francisco,SF,SF,SF
1913,Pacific Coast League,Los Angeles,LA,LA,LA
1913,Pacific Coast League,Oakland,OAK,OAK,OAK
1913,Southern Association,Atlanta,ATL,ATL,ATL
1913,Southern Association,Mobile,MOB,MOB,MOB
1913,Southern Association,Birmingham,BIR,BIR,BIR
1913,Southern Association,Chattanooga,CHA,CHA,CHA
1913,Southern Association,Montgomery,MON,MON,MON
1913,Southern Association,Memphis,MEM,MEM,MEM
1913,Southern Association,Nashville,NAS,NAS,NAS
1913,Southern Association,New Orleans,NO,NO,NO
1913,Western League,Denver,DEN,DEN,DEN
1913,Western League,Des Moines,DM,DM,DM
1913,Western League,St. Joseph,STJ,STJ,STJ
1913,Western League,Lincoln,LIN,LIN,LIN
1913,Western League,Omaha,OMA,OMA,OMA
1913,Western League,Sioux City,SC,SC,SC
1913,Western League,Topeka,TOP,TOP,TOP
1913,Western League,Wichita,WIC,WIC,WIC
1913,Central League,Grand Rapids,GR,GR,GR
1913,Central League,Fort Wayne,FW,FW,FW
1913,Central League,Springfield,SPR,SPR,SPR
1913,Central League,Dayton,DAY,DAY,DAY
1913,Central League,Terre Haute,TH,TH,TH
1913,Central League,Evansville,EVA,EVA,EVA
1913,Eastern Association,Hartford,HAR,HAR,HAR
1913,Eastern Association,New Haven,NH,NH,NH
1913,Eastern Association,Waterbury,WAT,WAT,WAT
1913,Eastern Association,Bridgeport,BRI,BRI,BRI
1913,Eastern Association,New London,NL,NL,NL
1913,Eastern Association,Springfield,SPR,SPR,SPR
1913,Eastern Association,Pittsfield,PIT,PIT,PIT
1913,Eastern Association,Holyoke/Meriden,HOL+MER,,HOL+MER
1913,Eastern Association,Holyoke,HOL+MER,HOL,HOL+MER
1913,Eastern Association,Meriden,HOL+MER,MER,HOL+MER
1913,Interstate League,Erie,ERI,ERI,ERI
1913,Interstate League,Akron,AKR,AKR,AKR
1913,Interstate League,Youngstown,YOU,YOU,YOU
1913,Interstate League,Columbus,COL,COL,COL
1913,Interstate League,Steubenville,STE,STE,STE
1913,Interstate League,Wheeling,WHE,WHE,WHE
1913,Interstate League,Canton,CAN,CAN,CAN
1913,Interstate League,Zanesville,ZAN,ZAN,ZAN
1913,New England League,Lowell,LOW,LOW,LOW
1913,New England League,Portland,POR,POR,POR
1913,New England League,Worcester,WOR,WOR,WOR
1913,New England League,Lawrence,LAW,LAW,LAW
1913,New England League,Lynn,LYN,LYN,LYN
1913,New England League,New Bedford,NB,NB,NB
1913,New England League,Fall River,FR,FR,FR
1913,New England League,Brockton,BRO,BRO,BRO
1913,New York State League,Binghamton,BIN,BIN,BIN
1913,New York State League,Wilkes-Barre,WB,WB,WB
1913,New York State League,Troy,TRO,TRO,TRO
1913,New York State League,Utica,UTI,UTI,UTI
1913,New York State League,Albany,ALB,ALB,ALB
1913,New York State League,Syracuse,SYR,SYR,SYR
1913,New York State League,Elmira,ELM,ELM,ELM
1913,New York State League,Scranton,SCR,SCR,SCR
1913,Northwestern League,Vancouver,VAN,VAN,VAN
1913,Northwestern League,Portland,POR,POR,POR
1913,Northwestern League,Seattle,SEA,SEA,SEA
1913,Northwestern League,Victoria,VIC,VIC,VIC
1913,Northwestern League,Tacoma,TAC,TAC,TAC
1913,Northwestern League,Spokane,SPO,SPO,SPO
1913,Texas League,Houston,HOU,HOU,HOU
1913,Texas League,Dallas,DAL,DAL,DAL
1913,Texas League,Waco,WAC,WAC,WAC
1913,Texas League,San Antonio,SA,SA,SA
1913,Texas League,Austin,AUS,AUS,AUS
1913,Texas League,Fort Worth,FW,FW,FW
1913,Texas League,Galveston,GAL,GAL,GAL
1913,Texas League,Beaumont,BEA,BEA,BEA
1913,Illinois-Indiana-Iowa League,Quincy,QUI,QUI,QUI
1913,Illinois-Indiana-Iowa League,Dubuque,DUB,DUB,DUB
1913,Illinois-Indiana-Iowa League,Davenport,DAV,DAV,DAV
1913,Illinois-Indiana-Iowa League,Danville,DAN,DAN,DAN
1913,Illinois-Indiana-Iowa League,Decatur,DEC,DEC,DEC
1913,Illinois-Indiana-Iowa League,Springfield,SPR,SPR,SPR
1913,Illinois-Indiana-Iowa League,Bloomington,BLO,BLO,BLO
1913,Illinois-Indiana-Iowa League,Peoria,PEO,PEO,PEO
1913,Tri-State League,Wilmington,WIL,WIL,WIL
1913,Tri-State League,Allentown,ALL,ALL,ALL
1913,Tri-State League,Harrisburg,HAR,HAR,HAR
1913,Tri-State League,York,YOR,YOR,YOR
1913,Tri-State League,Trenton,TRE,TRE,TRE
1913,Tri-State League,Atlantic City,ACY,ACY,ACY
1913,Canadian League,Ottawa,OTT,OTT,OTT
1913,Canadian League,London,LON,LON,LON
1913,Canadian League,St. Thomas,ST,ST,ST
1913,Canadian League,Peterborough,PET,PET,PET
1913,Canadian League,Guelph,GUE,GUE,GUE
1913,Canadian League,Hamilton,HAM,HAM,HAM
1913,Canadian League,Berlin,BER,BER,BER
1913,Canadian League,Brantford,BRA,BRA,BRA
1913,Northern League,Winona,WIN,WIN,WIN
1913,Northern League,Superior,SUP,SUP,SUP
1913,Northern League,Winnipeg,WPG,WPG,WPG
1913,Northern League,Duluth,DUL,DUL,DUL
1913,Northern League,Minneapolis,MIN,MIN,MIN
1913,Northern League,Grand Forks,GF,GF,GF
1913,Northern League,St. Paul/La Crosse,STP+LC,,STP+LC
1913,Northern League,St. Paul,STP+LC,STP,STP+LC
1913,Northern League,La Crosse,STP+LC,LC,STP+LC
1913,Northern League,Virginia,VIR,VIR,VIR
1913,South Atlantic League,Savannah,SAV,SAV,SAV
1913,South Atlantic League,Columbus,COL,COL,COL
1913,South Atlantic League,Jacksonville,JAX,JAX,JAX
1913,South Atlantic League,Macon,MAC,MAC,MAC
1913,South Atlantic League,Charleston,CHA,CHA,CHA
1913,South Atlantic League,Albany,ALB,ALB,ALB
1913,Southern Michigan League,Battle Creek,BAT,BAT,BAT
1913,Southern Michigan League,Adrian,ADR,ADR,ADR
1913,Southern Michigan League,Jackson,JAC,JAC,JAC
1913,Southern Michigan League,Saginaw,SAG,SAG,SAG
1913,Southern Michigan League,Flint,FLI,FLI,FLI
1913,Southern Michigan League,Kalamazoo,KAL,KAL,KAL
1913,Southern Michigan League,Lansing,LAN,LAN,LAN
1913,Southern Michigan League,Bay City,BAY,BAY,BAY
1913,Virginia League,Petersburg,PET,PET,PET
1913,Virginia League,Roanoke,ROA,ROA,ROA
1913,Virginia League,Richmond,RIC,RIC,RIC
1913,Virginia League,Portsmouth,POR,POR,POR
1913,Virginia League,Newport News,NN,NN,NN
1913,Virginia League,Norfolk,NOR,NOR,NOR
1913,Wisconsin-Illinois League,Oshkosh,OSH,OSH,OSH
1913,Wisconsin-Illinois League,Racine,RAC,RAC,RAC
1913,Wisconsin-Illinois League,Green Bay,GB,GB,GB
1913,Wisconsin-Illinois League,Rockford,ROC,ROC,ROC
1913,Wisconsin-Illinois League,Milwaukee/Fond du Lac,MIL+FDL,,MIL+FDL
1913,Wisconsin-Illinois League,Milwaukee,MIL+FDL,MIL,MIL+FDL
1913,Wisconsin-Illinois League,Fond du Lac,MIL+FDL,FDL,MIL+FDL
1913,Wisconsin-Illinois League,Madison,MAD,MAD,MAD
1913,Wisconsin-Illinois League,Wausau,WAU,WAU,WAU
1913,Wisconsin-Illinois League,Appleton,APP,APP,APP
1913,Appalachian League,Johnson City,JC,JC,JC
1913,Appalachian League,Knoxville,KNO,KNO,KNO
1913,Appalachian League,Cleveland/Morristown,CLE+MOR,,CLE+MOR
1913,Appalachian League,Cleveland,CLE+MOR,CLE,CLE+MOR
1913,Appalachian League,Morristown,CLE+MOR,MOR,CLE+MOR
1913,Appalachian League,Bristol,BRI,BRI,BRI
1913,Appalachian League,Rome,ROM,ROM,ROM
1913,Appalachian League,Middlesboro,MID,MID,MID
1913,Border League,Ypsilanti,YPS,YPS,YPS
1913,Border League,Wyandotte,WAY,WAY,WAY
1913,Border League,Port Huron,PH,PH,PH
1913,Border League,Pontiac,PON,PON,PON
