source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1908/1908-MCA,1908,Arkansas State League,0420-helena-hotsprings-0,19080420,0,Helena,0,Hot Springs,2,QZYZQYP
boxscores/1908/1908-MCA,1908,Arkansas State League,0420-newport-poplarbluff-0,19080420,0,Poplar Bluff,2,Newport,1,JKTVTMD
boxscores/1908/1908-MCA,1908,Arkansas State League,0420-argenta-pinebluff-0,19080420,0,Argenta,3,Pine Bluff,4,SZKFHQT
boxscores/1908/1908-MCA,1908,Arkansas State League,0421-helena-hotsprings-0,19080421,0,Helena,,Hot Springs,,MMPPFFF
boxscores/1908/1908-MCA,1908,Arkansas State League,0421-newport-poplarbluff-0,19080421,0,Poplar Bluff,1,Newport,12,DBWFTLX
boxscores/1908/1908-MCA,1908,Arkansas State League,0421-argenta-pinebluff-0,19080421,0,Argenta,,Pine Bluff,,MDMRMGQ
boxscores/1908/1908-MCA,1908,Arkansas State League,0422-helena-hotsprings-0,19080422,0,Helena,0,Hot Springs,5,PCWTTDS
boxscores/1908/1908-MCA,1908,Arkansas State League,0422-newport-poplarbluff-0,19080422,0,Poplar Bluff,0,Newport,1,LXVRJVV
boxscores/1908/1908-MCA,1908,Arkansas State League,0422-argenta-pinebluff-0,19080422,0,Argenta,11,Pine Bluff,5,JNMXZSJ
boxscores/1908/1908-MCA,1908,Arkansas State League,0423-helena-hotsprings-0,19080423,0,Helena,1,Hot Springs,10,CNFCGGL
boxscores/1908/1908-MCA,1908,Arkansas State League,0423-argenta-pinebluff-0,19080423,0,Argenta,2,Pine Bluff,1,HZRXXST
boxscores/1908/1908-MCA,1908,Arkansas State League,0424-argenta-pinebluff-0,19080424,0,Pine Bluff,2,Argenta,7,ZNWZHHX
boxscores/1908/1908-MCA,1908,Arkansas State League,0424-helena-hotsprings-0,19080424,0,Helena,6,Hot Springs,14,TMXPZPJ
boxscores/1908/1908-MCA,1908,Arkansas State League,0424-newport-poplarbluff-0,19080424,0,Newport,5,Poplar Bluff,4,CMKCKPS
boxscores/1908/1908-MCA,1908,Arkansas State League,0425-argenta-pinebluff-0,19080425,0,Pine Bluff,2,Argenta,8,GDKZNSC
boxscores/1908/1908-MCA,1908,Arkansas State League,0425-helena-hotsprings-0,19080425,0,Helena,0,Hot Springs,6,KXQDGJL
boxscores/1908/1908-MCA,1908,Arkansas State League,0425-newport-poplarbluff-0,19080425,0,Newport,10,Poplar Bluff,3,XGJTFNB
boxscores/1908/1908-MCA,1908,Arkansas State League,0426-helena-hotsprings-0,19080426,0,Helena,,Hot Springs,,HJQYTLX
boxscores/1908/1908-MCA,1908,Arkansas State League,0426-newport-poplarbluff-0,19080426,0,Newport,11,Poplar Bluff,4,SSHVLZB
boxscores/1908/1908-MCA,1908,Arkansas State League,0427-argenta-poplarbluff-0,19080427,0,Poplar Bluff,7,Argenta,1,SDQMPYT
boxscores/1908/1908-MCA,1908,Arkansas State League,0427-helena-newport-0,19080427,0,Newport,5,Helena,7,WVWGYLH
boxscores/1908/1908-MCA,1908,Arkansas State League,0427-hotsprings-pinebluff-0,19080427,0,Hot Springs,4,Pine Bluff,1,JVWVKSM
boxscores/1908/1908-MCA,1908,Arkansas State League,0428-argenta-poplarbluff-0,19080428,0,Poplar Bluff,,Argenta,,BCPKKVX
boxscores/1908/1908-MCA,1908,Arkansas State League,0428-helena-newport-0,19080428,0,Newport,,Helena,,JDHMQMK
boxscores/1908/1908-MCA,1908,Arkansas State League,0428-hotsprings-pinebluff-0,19080428,0,Hot Springs,6,Pine Bluff,2,SNZMSWY
boxscores/1908/1908-MCA,1908,Arkansas State League,0429-argenta-poplarbluff-0,19080429,0,Poplar Bluff,,Argenta,,DSXQNBB
boxscores/1908/1908-MCA,1908,Arkansas State League,0429-helena-newport-0,19080429,0,Newport,,Helena,,NSPVJRN
boxscores/1908/1908-MCA,1908,Arkansas State League,0429-hotsprings-pinebluff-0,19080429,0,Hot Springs,,Pine Bluff,,PJPFHNB
boxscores/1908/1908-MCA,1908,Arkansas State League,0430-argenta-helena-0,19080430,0,Helena,9,Argenta,3,QSDWLLJ
boxscores/1908/1908-MCA,1908,Arkansas State League,0430-hotsprings-poplarbluff-0,19080430,0,Poplar Bluff,4,Hot Springs,13,QCPDBTL
boxscores/1908/1908-MCA,1908,Arkansas State League,0430-newport-pinebluff-0,19080430,0,Newport,5,Pine Bluff,0,VBCSYHM
boxscores/1908/1908-MCA,1908,Arkansas State League,0501-argenta-helena-0,19080501,0,Helena,1,Argenta,5,ZHXPQVX
boxscores/1908/1908-MCA,1908,Arkansas State League,0501-hotsprings-poplarbluff-0,19080501,0,Poplar Bluff,1,Hot Springs,9,RQRYVSG
boxscores/1908/1908-MCA,1908,Arkansas State League,0501-newport-pinebluff-0,19080501,0,Newport,5,Pine Bluff,4,HHKJDXJ
boxscores/1908/1908-MCA,1908,Arkansas State League,0502-argenta-helena-0,19080502,0,Helena,0,Argenta,5,VVNMJGH
boxscores/1908/1908-MCA,1908,Arkansas State League,0502-hotsprings-poplarbluff-0,19080502,0,Poplar Bluff,10,Hot Springs,13,PTFFDTX
boxscores/1908/1908-MCA,1908,Arkansas State League,0502-newport-pinebluff-0,19080502,0,Newport,3,Pine Bluff,0,QNHCDBW
boxscores/1908/1908-MCA,1908,Arkansas State League,0503-hotsprings-newport-0,19080503,0,Newport,11,Hot Springs,10,DXDGXHT
boxscores/1908/1908-MCA,1908,Arkansas State League,0503-pinebluff-poplarbluff-0,19080503,0,Pine Bluff,2,Poplar Bluff,3,NBGNQSR
boxscores/1908/1908-MCA,1908,Arkansas State League,0504-argenta-hotsprings-0,19080504,0,Argenta,,Hot Springs,,ZKCGZWB
boxscores/1908/1908-MCA,1908,Arkansas State League,0504-helena-newport-0,19080504,0,Helena,2,Newport,6,GWSYNNB
boxscores/1908/1908-MCA,1908,Arkansas State League,0504-pinebluff-poplarbluff-0,19080504,0,Pine Bluff,,Poplar Bluff,,WGNCSYK
boxscores/1908/1908-MCA,1908,Arkansas State League,0505-argenta-hotsprings-0,19080505,0,Argenta,,Hot Springs,,ZNJDJXX
boxscores/1908/1908-MCA,1908,Arkansas State League,0505-helena-newport-0,19080505,0,Helena,6,Newport,11,RQMFDXX
boxscores/1908/1908-MCA,1908,Arkansas State League,0505-pinebluff-poplarbluff-0,19080505,0,Pine Bluff,16,Poplar Bluff,8,TJLHCLS
boxscores/1908/1908-MCA,1908,Arkansas State League,0506-argenta-hotsprings-0,19080506,0,Argenta,,Hot Springs,,TPPTLHY
boxscores/1908/1908-MCA,1908,Arkansas State League,0506-helena-newport-0,19080506,0,Helena,3,Newport,6,ZVZSFTW
boxscores/1908/1908-MCA,1908,Arkansas State League,0506-pinebluff-poplarbluff-0,19080506,0,Pine Bluff,,Poplar Bluff,,PFKHRKR
boxscores/1908/1908-MCA,1908,Arkansas State League,0507-hotsprings-pinebluff-0,19080507,0,Pine Bluff,4,Hot Springs,5,FPHBCJW
boxscores/1908/1908-MCA,1908,Arkansas State League,0507-argenta-newport-0,19080507,0,Argenta,6,Newport,7,TRKCYGL
boxscores/1908/1908-MCA,1908,Arkansas State League,0508-hotsprings-pinebluff-0,19080508,0,Pine Bluff,5,Hot Springs,2,RVYXJZB
boxscores/1908/1908-MCA,1908,Arkansas State League,0508-argenta-newport-0,19080508,0,Argenta,7,Newport,15,GMJLQDX
boxscores/1908/1908-MCA,1908,Arkansas State League,0508-helena-poplarbluff-0,19080508,0,Helena,2,Poplar Bluff,10,CWSBJWL
boxscores/1908/1908-MCA,1908,Arkansas State League,0509-hotsprings-pinebluff-0,19080509,0,Pine Bluff,5,Hot Springs,8,FXRBHTS
boxscores/1908/1908-MCA,1908,Arkansas State League,0509-argenta-newport-0,19080509,0,Argenta,6,Newport,5,HGSXKPH
