source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1909/1909-ADC,1909,Central Kansas League,0614-abilene-beloit-0,19090614,0,Beloit,5,Abilene,0,DNTNFWP
boxscores/1909/1909-SDU,1909,Central Kansas League,0614-claycenter-ellsworth-0,19090614,0,Ellsworth,10,Clay Center,1,QKLMMJM
boxscores/1909/1909-SDU,1909,Central Kansas League,0614-junctioncity-minneapolis-0,19090614,0,Minneapolis,4,Junction City,0,KXKWZXC
boxscores/1909/1909-SDU,1909,Central Kansas League,0614-manhattan-salina-0,19090614,0,Salina,5,Manhattan,0,WMZCTXW
boxscores/1909/1909-TMC,1909,Central Kansas League,0614-manhattan-salina-0,19090614,0,Salina,5,Manhattan,0,YJXMTNZ
boxscores/1909/1909-ADC,1909,Central Kansas League,0615-abilene-beloit-0,19090615,0,Beloit,1,Abilene,1,MKXXNYH
boxscores/1909/1909-SDU,1909,Central Kansas League,0615-claycenter-ellsworth-0,19090615,0,Ellsworth,8,Clay Center,1,GNFXMMM
boxscores/1909/1909-TDR,1909,Central Kansas League,0615-claycenter-ellsworth-0,19090615,0,Ellsworth,8,Clay Center,1,PFJXDGL
boxscores/1909/1909-SDU,1909,Central Kansas League,0615-junctioncity-minneapolis-0,19090615,0,Minneapolis,0,Junction City,4,QNJXNGF
boxscores/1909/1909-SDU,1909,Central Kansas League,0615-manhattan-salina-0,19090615,0,Salina,2,Manhattan,0,NLYPBJY
boxscores/1909/1909-TMC,1909,Central Kansas League,0615-manhattan-salina-0,19090615,0,Salina,2,Manhattan,0,VMWSWZK
boxscores/1909/1909-ADC,1909,Central Kansas League,0616-abilene-minneapolis-0,19090616,0,Minneapolis,5,Abilene,3,NJMSKFK
boxscores/1909/1909-SDU,1909,Central Kansas League,0616-claycenter-salina-0,19090616,0,Salina,3,Clay Center,4,TXGJXKS
boxscores/1909/1909-TDR,1909,Central Kansas League,0616-claycenter-salina-0,19090616,0,Salina,3,Clay Center,4,NHXKLWM
boxscores/1909/1909-JCDU,1909,Central Kansas League,0616-beloit-junctioncity-0,19090616,0,Beloit,5,Junction City,4,DKCBNLH
boxscores/1909/1909-TMC,1909,Central Kansas League,0616-ellsworth-manhattan-0,19090616,0,Ellsworth,9,Manhattan,5,TPNXVTK
boxscores/1909/1909-ADC,1909,Central Kansas League,0617-abilene-minneapolis-0,19090617,0,Minneapolis,4,Abilene,1,RVLLSQT
boxscores/1909/1909-SDU,1909,Central Kansas League,0617-claycenter-salina-0,19090617,0,Salina,0,Clay Center,1,LYNRYPR
boxscores/1909/1909-JCDU,1909,Central Kansas League,0617-beloit-junctioncity-0,19090617,0,Beloit,4,Junction City,1,FDYJBYS
boxscores/1909/1909-TMC,1909,Central Kansas League,0617-ellsworth-manhattan-0,19090617,0,Ellsworth,11,Manhattan,0,CYGSXSC
boxscores/1909/1909-SDU,1909,Central Kansas League,0618-beloit-claycenter-0,19090618,0,Clay Center,1,Beloit,0,GVSZSDW
boxscores/1909/1909-SDU,1909,Central Kansas League,0618-abilene-ellsworth-0,19090618,0,Abilene,1,Ellsworth,5,MMCQGLX
boxscores/1909/1909-TMC,1909,Central Kansas League,0618-manhattan-minneapolis-0,19090618,0,Manhattan,3,Minneapolis,4,QGYYCPV
boxscores/1909/1909-SDU,1909,Central Kansas League,0618-junctioncity-salina-0,19090618,0,Junction City,4,Salina,5,NQVYRSL
boxscores/1909/1909-TDR,1909,Central Kansas League,0619-beloit-claycenter-0,19090619,0,Clay Center,0,Beloit,1,YVDBPFD
boxscores/1909/1909-ADC,1909,Central Kansas League,0619-abilene-ellsworth-0,19090619,0,Abilene,3,Ellsworth,5,XWQPHCB
boxscores/1909/1909-MM,1909,Central Kansas League,0619-manhattan-minneapolis-0,19090619,0,Manhattan,11,Minneapolis,8,WXRQMVW
boxscores/1909/1909-TMC,1909,Central Kansas League,0619-manhattan-minneapolis-0,19090619,0,Manhattan,11,Minneapolis,8,KWRGKXR
boxscores/1909/1909-SDU,1909,Central Kansas League,0619-junctioncity-salina-0,19090619,0,Junction City,7,Salina,5,ZDCWRPF
boxscores/1909/1909-BDC,1909,Central Kansas League,0621-beloit-manhattan-0,19090621,0,Manhattan,3,Beloit,2,XTTRLFT
boxscores/1909/1909-SDU,1909,Central Kansas League,0621-ellsworth-junctioncity-0,19090621,0,Junction City,2,Ellsworth,0,CWXRBCP
boxscores/1909/1909-TDR,1909,Central Kansas League,0621-claycenter-minneapolis-0,19090621,0,Clay Center,0,Minneapolis,4,MQMRJNX
boxscores/1909/1909-SDU,1909,Central Kansas League,0621-abilene-salina-0,19090621,0,Abilene,3,Salina,3,PRGGMWD
boxscores/1909/1909-BDC,1909,Central Kansas League,0622-beloit-manhattan-0,19090622,0,Manhattan,4,Beloit,3,DFPPVZW
boxscores/1909/1909-TDR,1909,Central Kansas League,0622-claycenter-minneapolis-0,19090622,0,Minneapolis,3,Clay Center,1,MMFXZWK
boxscores/1909/1909-SDU,1909,Central Kansas League,0622-ellsworth-junctioncity-0,19090622,0,Junction City,1,Ellsworth,2,NVHSBRJ
boxscores/1909/1909-SDU,1909,Central Kansas League,0622-abilene-salina-0,19090622,0,Abilene,,Salina,,PBGFQCQ
boxscores/1909/1909-ADC,1909,Central Kansas League,0623-abilene-claycenter-0,19090623,0,Clay Center,1,Abilene,3,VLHSTQF
boxscores/1909/1909-SDU,1909,Central Kansas League,0623-ellsworth-minneapolis-0,19090623,0,Minneapolis,0,Ellsworth,1,THWCTYN
boxscores/1909/1909-JCDU,1909,Central Kansas League,0623-junctioncity-manhattan-0,19090623,0,Manhattan,2,Junction City,6,CYGVXPZ
boxscores/1909/1909-SDU,1909,Central Kansas League,0623-beloit-salina-0,19090623,0,Beloit,1,Salina,5,NJLRCYM
boxscores/1909/1909-ADC,1909,Central Kansas League,0624-abilene-claycenter-0,19090624,0,Clay Center,2,Abilene,3,DXNFXXG
boxscores/1909/1909-SDU,1909,Central Kansas League,0624-ellsworth-minneapolis-0,19090624,0,Minneapolis,0,Ellsworth,1,KLGLYPF
boxscores/1909/1909-SDU,1909,Central Kansas League,0624-junctioncity-manhattan-0,19090624,0,Manhattan,6,Junction City,3,BCNSGWR
boxscores/1909/1909-SDU,1909,Central Kansas League,0624-beloit-salina-0,19090624,0,Beloit,8,Salina,8,WRVKXPD
boxscores/1909/1909-SDU,1909,Central Kansas League,0625-abilene-claycenter-0,19090625,0,Abilene,0,Clay Center,2,GWYQFGX
boxscores/1909/1909-SDU,1909,Central Kansas League,0625-beloit-ellsworth-0,19090625,0,Beloit,4,Ellsworth,2,QSLMSQL
boxscores/1909/1909-JCDU,1909,Central Kansas League,0625-junctioncity-manhattan-0,19090625,0,Manhattan,0,Junction City,1,KLLXNHZ
boxscores/1909/1909-SDU,1909,Central Kansas League,0625-minneapolis-salina-0,19090625,0,Salina,7,Minneapolis,8,CWLPMCS
boxscores/1909/1909-SDU,1909,Central Kansas League,0626-abilene-claycenter-0,19090626,0,Abilene,0,Clay Center,2,SNLHNBC
boxscores/1909/1909-BDC,1909,Central Kansas League,0626-beloit-ellsworth-0,19090626,0,Beloit,2,Ellsworth,3,QTYLSMM
boxscores/1909/1909-TMC,1909,Central Kansas League,0626-junctioncity-manhattan-0,19090626,0,Manhattan,4,Junction City,5,QQDKQYJ
boxscores/1909/1909-SDU,1909,Central Kansas League,0626-minneapolis-salina-0,19090626,0,Salina,4,Minneapolis,1,TJWRQNG
boxscores/1909/1909-SDU,1909,Central Kansas League,0628-abilene-salina-0,19090628,0,Salina,1,Abilene,2,RXKQRVN
boxscores/1909/1909-TDR,1909,Central Kansas League,0628-beloit-claycenter-0,19090628,0,Beloit,8,Clay Center,1,QLXYJPC
boxscores/1909/1909-SDU,1909,Central Kansas League,0628-ellsworth-junctioncity-0,19090628,0,Ellsworth,,Junction City,,BSXDQYJ
boxscores/1909/1909-TMC,1909,Central Kansas League,0628-manhattan-minneapolis-0,19090628,0,Minneapolis,1,Manhattan,1,XMNQKWR
boxscores/1909/1909-ADC,1909,Central Kansas League,0629-abilene-salina-0,19090629,0,Salina,1,Abilene,2,TPTHNVM
boxscores/1909/1909-TDR,1909,Central Kansas League,0629-beloit-claycenter-0,19090629,0,Beloit,0,Clay Center,5,GPGRPNF
boxscores/1909/1909-JCDU,1909,Central Kansas League,0629-ellsworth-junctioncity-0,19090629,0,Ellsworth,0,Junction City,1,PXDBVRL
boxscores/1909/1909-TMC,1909,Central Kansas League,0629-manhattan-minneapolis-0,19090629,0,Minneapolis,8,Manhattan,3,JHTXHKK
boxscores/1909/1909-ADC,1909,Central Kansas League,0630-abilene-ellsworth-0,19090630,0,Ellsworth,7,Abilene,0,XQTTDXF
boxscores/1909/1909-TDR,1909,Central Kansas League,0630-claycenter-minneapolis-0,19090630,0,Minneapolis,5,Clay Center,6,THMZLNW
boxscores/1909/1909-SDU,1909,Central Kansas League,0630-junctioncity-salina-0,19090630,0,Salina,4,Junction City,2,XGJJLLV
boxscores/1909/1909-JCDU,1909,Central Kansas League,0630-junctioncity-salina-0,19090630,0,Salina,4,Junction City,2,CSMWDMG
