source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1911/1911-SL,1911,Central League,0426-evansville-grandrapidsi-0,19110426,0,Grand Rapids I,6,Evansville,11,ZSPSPDV
boxscores/1911/1911-SL,1911,Central League,0426-southbendi-terrehaute-0,19110426,0,South Bend I,3,Terre Haute,5,FLXYVSQ
boxscores/1911/1911-SL,1911,Central League,0426-fortwayne-wheeling-0,19110426,0,Fort Wayne,2,Wheeling,1,NFMYCSF
boxscores/1911/1911-SL,1911,Central League,0426-dayton-zanesville-0,19110426,0,Dayton,2,Zanesville,3,QYPLVYT
boxscores/1911/1911-SL,1911,Central League,0427-evansville-grandrapidsi-0,19110427,0,Evansville,,Grand Rapids I,,LZHVHHD
boxscores/1911/1911-SL,1911,Central League,0427-southbendi-terrehaute-0,19110427,0,South Bend I,4,Terre Haute,1,NFHVHVW
boxscores/1911/1911-SL,1911,Central League,0427-fortwayne-wheeling-0,19110427,0,Fort Wayne,7,Wheeling,1,NQYYQZX
boxscores/1911/1911-SL,1911,Central League,0427-dayton-zanesville-0,19110427,0,Dayton,6,Zanesville,1,HQFZPZW
boxscores/1911/1911-SL,1911,Central League,0428-evansville-grandrapidsi-0,19110428,0,Grand Rapids I,7,Evansville,8,WPWCWNS
boxscores/1911/1911-SL,1911,Central League,0428-southbendi-terrehaute-0,19110428,0,South Bend I,,Terre Haute,,LVJKMML
boxscores/1911/1911-SL,1911,Central League,0428-fortwayne-wheeling-0,19110428,0,Fort Wayne,6,Wheeling,4,WKNTDCD
boxscores/1911/1911-SL,1911,Central League,0428-dayton-zanesville-0,19110428,0,Dayton,2,Zanesville,7,SJSJGMF
boxscores/1911/1911-SL,1911,Central League,0429-evansville-grandrapidsi-0,19110429,0,Grand Rapids I,,Evansville,,NLQDFPS
boxscores/1911/1911-SL,1911,Central League,0429-southbendi-terrehaute-0,19110429,0,South Bend I,1,Terre Haute,3,SSTCTFQ
boxscores/1911/1911-SL,1911,Central League,0429-fortwayne-wheeling-0,19110429,0,Fort Wayne,4,Wheeling,0,RGBMRFB
boxscores/1911/1911-SL,1911,Central League,0429-dayton-zanesville-0,19110429,0,Dayton,2,Zanesville,6,XYSGKMJ
boxscores/1911/1911-SL,1911,Central League,0430-evansville-southbendi-0,19110430,0,South Bend I,5,Evansville,5,GKLPWGY
