source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1912/1912-CN,1912,Carolina Association,0425-anderson-charlotte-0,19120425,0,Anderson,5,Charlotte,3,MFWMRSC
boxscores/1912/1912-CN,1912,Carolina Association,0425-greenville-spartanburg-0,19120425,0,Spartanburg,6,Greenville,4,YNLMYPQ
boxscores/1912/1912-CN,1912,Carolina Association,0425-greensboro-winstonsalem-0,19120425,0,Greensboro,4,Winston-Salem,6,FPMGGLF
boxscores/1912/1912-CN,1912,Carolina Association,0426-anderson-charlotte-0,19120426,0,Anderson,3,Charlotte,9,DBDTTJD
boxscores/1912/1912-CN,1912,Carolina Association,0426-greenville-spartanburg-0,19120426,0,Spartanburg,2,Greenville,1,VSLCMPD
boxscores/1912/1912-CN,1912,Carolina Association,0426-greensboro-winstonsalem-0,19120426,0,Greensboro,5,Winston-Salem,2,SPTYBDX
boxscores/1912/1912-CN,1912,Carolina Association,0427-anderson-charlotte-0,19120427,0,Anderson,1,Charlotte,0,LBGCNLW
boxscores/1912/1912-CN,1912,Carolina Association,0427-greenville-spartanburg-0,19120427,0,Spartanburg,12,Greenville,5,XJKLKZW
boxscores/1912/1912-CN,1912,Carolina Association,0427-greensboro-winstonsalem-0,19120427,0,Greensboro,6,Winston-Salem,8,BBXFLSQ
boxscores/1912/1912-CN,1912,Carolina Association,0429-charlotte-greensboro-0,19120429,0,Charlotte,1,Greensboro,0,GPYCHLS
boxscores/1912/1912-CN,1912,Carolina Association,0429-greenville-winstonsalem-0,19120429,0,Winston-Salem,,Greenville,,TWKQFJN
boxscores/1912/1912-CN,1912,Carolina Association,0429-anderson-spartanburg-0,19120429,0,Anderson,,Spartanburg,,YMLKVQD
boxscores/1912/1912-CN,1912,Carolina Association,0430-charlotte-greensboro-0,19120430,0,Charlotte,4,Greensboro,2,LRXQTHL
boxscores/1912/1912-CN,1912,Carolina Association,0430-greenville-winstonsalem-1,19120430,1,Winston-Salem,0,Greenville,6,HYCCLHK
boxscores/1912/1912-CN,1912,Carolina Association,0430-greenville-winstonsalem-2,19120430,2,Winston-Salem,1,Greenville,0,VKKYZYW
boxscores/1912/1912-CN,1912,Carolina Association,0430-anderson-spartanburg-1,19120430,1,Anderson,6,Spartanburg,9,FMJMTBH
boxscores/1912/1912-CN,1912,Carolina Association,0430-anderson-spartanburg-2,19120430,2,Anderson,1,Spartanburg,3,RXXDQSF
boxscores/1912/1912-CN,1912,Carolina Association,0501-charlotte-greensboro-0,19120501,0,Charlotte,4,Greensboro,2,PSKRLJP
boxscores/1912/1912-CN,1912,Carolina Association,0501-greenville-winstonsalem-0,19120501,0,Winston-Salem,3,Greenville,7,SXFMYVX
boxscores/1912/1912-CN,1912,Carolina Association,0501-anderson-spartanburg-0,19120501,0,Anderson,4,Spartanburg,5,TSRYBPW
boxscores/1912/1912-CN,1912,Carolina Association,0502-anderson-greenville-0,19120502,0,Greenville,1,Anderson,17,RKDDBGW
boxscores/1912/1912-CN,1912,Carolina Association,0502-greensboro-spartanburg-0,19120502,0,Greensboro,8,Spartanburg,3,MCTLTFX
boxscores/1912/1912-CN,1912,Carolina Association,0502-charlotte-winstonsalem-0,19120502,0,Charlotte,1,Winston-Salem,4,SXXKVMW
boxscores/1912/1912-CN,1912,Carolina Association,0503-anderson-greenville-0,19120503,0,Greenville,4,Anderson,7,DDQYMNN
boxscores/1912/1912-CN,1912,Carolina Association,0503-greensboro-spartanburg-0,19120503,0,Greensboro,2,Spartanburg,1,MCSGZML
boxscores/1912/1912-CN,1912,Carolina Association,0503-charlotte-winstonsalem-0,19120503,0,Charlotte,4,Winston-Salem,2,ZZDKKPX
boxscores/1912/1912-CN,1912,Carolina Association,0504-anderson-greenville-0,19120504,0,Greenville,,Anderson,,XHZNNHC
boxscores/1912/1912-CN,1912,Carolina Association,0504-greensboro-spartanburg-0,19120504,0,Greensboro,3,Spartanburg,2,LQCPQDV
boxscores/1912/1912-CN,1912,Carolina Association,0504-charlotte-winstonsalem-0,19120504,0,Charlotte,5,Winston-Salem,4,FVVSFRF
boxscores/1912/1912-CN,1912,Carolina Association,0506-anderson-greensboro-0,19120506,0,Greensboro,0,Anderson,5,DPSTPMT
boxscores/1912/1912-CN,1912,Carolina Association,0506-charlotte-greenville-0,19120506,0,Greenville,2,Charlotte,6,TDFTQVZ
boxscores/1912/1912-CN,1912,Carolina Association,0506-spartanburg-winstonsalem-0,19120506,0,Spartanburg,12,Winston-Salem,6,TWVGFGW
boxscores/1912/1912-CN,1912,Carolina Association,0507-anderson-greensboro-0,19120507,0,Greensboro,2,Anderson,3,DWTVCFK
boxscores/1912/1912-CN,1912,Carolina Association,0507-charlotte-greenville-0,19120507,0,Greenville,4,Charlotte,3,ZRHXNWG
boxscores/1912/1912-CN,1912,Carolina Association,0507-spartanburg-winstonsalem-0,19120507,0,Spartanburg,3,Winston-Salem,4,FJTVNWM
boxscores/1912/1912-CN,1912,Carolina Association,0508-anderson-greensboro-0,19120508,0,Greensboro,5,Anderson,4,BCLBCQH
boxscores/1912/1912-CN,1912,Carolina Association,0508-charlotte-greenville-0,19120508,0,Greenville,1,Charlotte,12,PJBTXYV
boxscores/1912/1912-CN,1912,Carolina Association,0508-spartanburg-winstonsalem-0,19120508,0,Spartanburg,9,Winston-Salem,3,DHKZYGR
boxscores/1912/1912-CN,1912,Carolina Association,0509-charlotte-winstonsalem-0,19120509,0,Winston-Salem,1,Charlotte,5,NFFBQHR
boxscores/1912/1912-CN,1912,Carolina Association,0509-greensboro-spartanburg-0,19120509,0,Spartanburg,9,Greensboro,7,PJCZYWB
