source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1912/1912-DMN,1912,Oklahoma State League,0430-anadarko-oklahomacity-0,19120430,0,Oklahoma City,7,Anadarko,1,DPNRZGH
boxscores/1912/1912-DMN,1912,Oklahoma State League,0430-guthrie-tulsa-0,19120430,0,Tulsa,8,Guthrie,11,FTZCKDW
boxscores/1912/1912-DMN,1912,Oklahoma State League,0430-holdenville-mcalester-0,19120430,0,McAlester,5,Holdenville,0,MXWCPMD
boxscores/1912/1912-DMN,1912,Oklahoma State League,0430-muskogee-okmulgee-0,19120430,0,Muskogee,0,Okmulgee,5,KJHWVMQ
boxscores/1912/1912-DMN,1912,Oklahoma State League,0501-anadarko-oklahomacity-0,19120501,0,Oklahoma City,1,Anadarko,10,RZFZSYF
boxscores/1912/1912-DMN,1912,Oklahoma State League,0501-guthrie-tulsa-0,19120501,0,Tulsa,13,Guthrie,12,TGFLRYW
boxscores/1912/1912-DMN,1912,Oklahoma State League,0501-holdenville-mcalester-0,19120501,0,McAlester,6,Holdenville,13,WBHHGFP
boxscores/1912/1912-DMN,1912,Oklahoma State League,0501-muskogee-okmulgee-0,19120501,0,Muskogee,1,Okmulgee,15,HXBNMGX
boxscores/1912/1912-DMN,1912,Oklahoma State League,0502-anadarko-oklahomacity-0,19120502,0,Oklahoma City,9,Anadarko,3,FZJFWQL
boxscores/1912/1912-DMN,1912,Oklahoma State League,0502-guthrie-tulsa-0,19120502,0,Tulsa,14,Guthrie,4,HFRTKWJ
boxscores/1912/1912-DMN,1912,Oklahoma State League,0502-holdenville-mcalester-0,19120502,0,McAlester,9,Holdenville,16,ZXTZXNR
boxscores/1912/1912-DMN,1912,Oklahoma State League,0502-muskogee-okmulgee-0,19120502,0,Muskogee,9,Okmulgee,10,ZWQJKSZ
boxscores/1912/1912-DMN,1912,Oklahoma State League,0503-holdenville-mcalester-0,19120503,0,Holdenville,,McAlester,,BCLVSTC
boxscores/1912/1912-DMN,1912,Oklahoma State League,0503-muskogee-okmulgee-0,19120503,0,Okmulgee,3,Muskogee,1,TTLXZNP
boxscores/1912/1912-DMN,1912,Oklahoma State League,0503-anadarko-oklahomacity-0,19120503,0,Anadarko,6,Oklahoma City,1,XKWMVSC
boxscores/1912/1912-DMN,1912,Oklahoma State League,0503-guthrie-tulsa-0,19120503,0,Guthrie,2,Tulsa,14,NFKJHXB
boxscores/1912/1912-DMN,1912,Oklahoma State League,0504-holdenville-mcalester-0,19120504,0,Holdenville,2,McAlester,3,NBVCDZG
boxscores/1912/1912-DMN,1912,Oklahoma State League,0504-muskogee-okmulgee-0,19120504,0,Okmulgee,10,Muskogee,7,NBJXDFP
boxscores/1912/1912-DMN,1912,Oklahoma State League,0504-anadarko-oklahomacity-0,19120504,0,Anadarko,14,Oklahoma City,4,SYXTWNV
boxscores/1912/1912-DMN,1912,Oklahoma State League,0504-guthrie-tulsa-0,19120504,0,Guthrie,2,Tulsa,4,LSHMMKG
boxscores/1912/1912-DMN,1912,Oklahoma State League,0505-holdenville-mcalester-0,19120505,0,Holdenville,1,McAlester,10,CRVNCCD
boxscores/1912/1912-DMN,1912,Oklahoma State League,0505-muskogee-okmulgee-0,19120505,0,Okmulgee,6,Muskogee,0,DNVNNCN
boxscores/1912/1912-DMN,1912,Oklahoma State League,0505-anadarko-oklahomacity-0,19120505,0,Anadarko,7,Oklahoma City,6,ZKDHDGT
boxscores/1912/1912-DMN,1912,Oklahoma State League,0505-guthrie-tulsa-0,19120505,0,Guthrie,3,Tulsa,4,FKSTNXX
boxscores/1912/1912-DMN,1912,Oklahoma State League,0506-anadarko-okmulgee-0,19120506,0,Okmulgee,5,Anadarko,4,NWLNPQL
boxscores/1912/1912-DMN,1912,Oklahoma State League,0506-guthrie-holdenville-0,19120506,0,Holdenville,9,Guthrie,3,QKLYGGF
boxscores/1912/1912-DMN,1912,Oklahoma State League,0506-muskogee-oklahomacity-0,19120506,0,Muskogee,4,Oklahoma City,5,LSGRRLK
boxscores/1912/1912-DMN,1912,Oklahoma State League,0506-mcalester-tulsa-0,19120506,0,McAlester,0,Tulsa,4,DJXLFSG
boxscores/1912/1912-DMN,1912,Oklahoma State League,0507-anadarko-okmulgee-0,19120507,0,Okmulgee,4,Anadarko,3,NWDWCWX
boxscores/1912/1912-DMN,1912,Oklahoma State League,0507-guthrie-holdenville-0,19120507,0,Holdenville,,Guthrie,,GTNSHMM
boxscores/1912/1912-DMN,1912,Oklahoma State League,0507-muskogee-oklahomacity-0,19120507,0,Muskogee,,Oklahoma City,,JDKHXTP
boxscores/1912/1912-DMN,1912,Oklahoma State League,0507-mcalester-tulsa-0,19120507,0,McAlester,8,Tulsa,6,ZWSNJYP
boxscores/1912/1912-DMN,1912,Oklahoma State League,0508-anadarko-okmulgee-0,19120508,0,Okmulgee,,Anadarko,,GLMVYPK
boxscores/1912/1912-DMN,1912,Oklahoma State League,0508-guthrie-holdenville-0,19120508,0,Holdenville,7,Guthrie,12,WYHPHGQ
boxscores/1912/1912-DMN,1912,Oklahoma State League,0508-muskogee-oklahomacity-0,19120508,0,Oklahoma City,,Muskogee,,ZQQGXYV
boxscores/1912/1912-DMN,1912,Oklahoma State League,0508-mcalester-tulsa-0,19120508,0,McAlester,,Tulsa,,LMSMFGY
