source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1912/1912-DMN,1912,South Central League,0423-longview-texarkana-0,19120423,0,Texarkana,1,Longview,4,CWDSCYW
boxscores/1912/1912-DMN,1912,South Central League,0423-marshall-paris-0,19120423,0,Paris,4,Marshall,5,CLYVDML
boxscores/1912/1912-DMN,1912,South Central League,0423-cleburne-tyler-0,19120423,0,Cleburne,4,Tyler,2,YVCFBWD
boxscores/1912/1912-DMN,1912,South Central League,0424-longview-texarkana-0,19120424,0,Texarkana,4,Longview,3,CCNKFGM
boxscores/1912/1912-DMN,1912,South Central League,0424-marshall-paris-0,19120424,0,Paris,12,Marshall,3,LCCPNXN
boxscores/1912/1912-DMN,1912,South Central League,0424-cleburne-tyler-0,19120424,0,Cleburne,1,Tyler,2,TJQNGSH
boxscores/1912/1912-DMN,1912,South Central League,0425-longview-texarkana-0,19120425,0,Texarkana,4,Longview,5,XFHZNXV
boxscores/1912/1912-DMN,1912,South Central League,0425-marshall-paris-0,19120425,0,Paris,4,Marshall,8,RKXHVYY
boxscores/1912/1912-DMN,1912,South Central League,0425-cleburne-tyler-0,19120425,0,Cleburne,10,Tyler,3,NGPVGXT
boxscores/1912/1912-DMN,1912,South Central League,0426-cleburne-longview-0,19120426,0,Longview,1,Cleburne,4,TSPJBLX
boxscores/1912/1912-DMN,1912,South Central League,0426-paris-tyler-0,19120426,0,Tyler,5,Paris,12,BBWDHWP
boxscores/1912/1912-DMN,1912,South Central League,0426-marshall-texarkana-0,19120426,0,Marshall,1,Texarkana,1,KWBPBDT
boxscores/1912/1912-DMN,1912,South Central League,0427-cleburne-longview-0,19120427,0,Longview,4,Cleburne,2,RSHPLCR
boxscores/1912/1912-DMN,1912,South Central League,0427-paris-tyler-0,19120427,0,Tyler,11,Paris,9,YFTNSZL
boxscores/1912/1912-DMN,1912,South Central League,0427-marshall-texarkana-0,19120427,0,Marshall,2,Texarkana,4,NNLSHKJ
boxscores/1912/1912-DMN,1912,South Central League,0428-cleburne-longview-0,19120428,0,Longview,7,Cleburne,3,BXFYCJF
boxscores/1912/1912-DMN,1912,South Central League,0428-marshall-texarkana-0,19120428,0,Texarkana,,Marshall,,VZBKMFW
boxscores/1912/1912-DMN,1912,South Central League,0428-paris-tyler-0,19120428,0,Tyler,1,Paris,9,SPLKGNH
boxscores/1912/1912-DMN,1912,South Central League,0429-cleburne-tyler-0,19120429,0,Tyler,2,Cleburne,4,RYBKMCV
boxscores/1912/1912-DMN,1912,South Central League,0429-marshall-texarkana-0,19120429,0,Texarkana,1,Marshall,2,YKXLDLQ
boxscores/1912/1912-DMN,1912,South Central League,0429-longview-paris-0,19120429,0,Longview,1,Paris,1,WNBZPCN
boxscores/1912/1912-DMN,1912,South Central League,0430-cleburne-tyler-0,19120430,0,Tyler,6,Cleburne,7,TBCBFNY
boxscores/1912/1912-DMN,1912,South Central League,0430-marshall-texarkana-0,19120430,0,Texarkana,5,Marshall,2,RHPVXRV
boxscores/1912/1912-DMN,1912,South Central League,0430-longview-paris-0,19120430,0,Longview,8,Paris,5,MPNDRNR
boxscores/1912/1912-DMN,1912,South Central League,0501-cleburne-tyler-0,19120501,0,Tyler,2,Cleburne,3,XVNBFGW
boxscores/1912/1912-DMN,1912,South Central League,0501-marshall-texarkana-0,19120501,0,Texarkana,2,Marshall,3,YLRKNQH
boxscores/1912/1912-DMN,1912,South Central League,0501-longview-paris-0,19120501,0,Longview,1,Paris,4,JPTPPBJ
boxscores/1912/1912-DMN,1912,South Central League,0502-cleburne-paris-0,19120502,0,Paris,3,Cleburne,7,HZGYVSH
boxscores/1912/1912-DMN,1912,South Central League,0502-longview-texarkana-0,19120502,0,Longview,1,Texarkana,0,DCFLMKG
boxscores/1912/1912-DMN,1912,South Central League,0502-marshall-tyler-0,19120502,0,Marshall,1,Tyler,5,DTCFMCX
boxscores/1912/1912-DMN,1912,South Central League,0503-cleburne-paris-0,19120503,0,Paris,2,Cleburne,7,XYKPYHY
boxscores/1912/1912-DMN,1912,South Central League,0503-longview-texarkana-0,19120503,0,Longview,13,Texarkana,0,RRPDCNV
boxscores/1912/1912-DMN,1912,South Central League,0503-marshall-tyler-0,19120503,0,Marshall,8,Tyler,3,FHSQHWG
boxscores/1912/1912-DMN,1912,South Central League,0504-cleburne-paris-0,19120504,0,Paris,0,Cleburne,7,KCHTQNQ
boxscores/1912/1912-DMN,1912,South Central League,0504-longview-texarkana-0,19120504,0,Longview,1,Texarkana,3,QWNRFNG
boxscores/1912/1912-DMN,1912,South Central League,0504-marshall-tyler-0,19120504,0,Marshall,1,Tyler,4,QTZBWXZ
boxscores/1912/1912-DMN,1912,South Central League,0505-cleburne-paris-0,19120505,0,Paris,8,Cleburne,13,FRNJMBY
boxscores/1912/1912-DMN,1912,South Central League,0505-marshall-tyler-0,19120505,0,Tyler,2,Marshall,3,NDMPKQF
boxscores/1912/1912-DMN,1912,South Central League,0505-longview-texarkana-0,19120505,0,Longview,3,Texarkana,1,WVMHQSW
boxscores/1912/1912-DMN,1912,South Central League,0506-longview-paris-0,19120506,0,Paris,2,Longview,0,SCRPSHL
boxscores/1912/1912-DMN,1912,South Central League,0506-cleburne-marshall-0,19120506,0,Cleburne,2,Marshall,1,YNJGMVB
boxscores/1912/1912-DMN,1912,South Central League,0506-texarkana-tyler-0,19120506,0,Texarkana,4,Tyler,5,HMXXJPJ
boxscores/1912/1912-DMN,1912,South Central League,0507-longview-paris-0,19120507,0,Paris,5,Longview,6,YBRQMMS
boxscores/1912/1912-DMN,1912,South Central League,0507-cleburne-marshall-0,19120507,0,Cleburne,6,Marshall,1,DBVQNRN
boxscores/1912/1912-DMN,1912,South Central League,0507-texarkana-tyler-0,19120507,0,Texarkana,4,Tyler,11,QXJRFRC
boxscores/1912/1912-DMN,1912,South Central League,0508-longview-paris-0,19120508,0,Paris,4,Longview,3,ZBWKKKV
boxscores/1912/1912-DMN,1912,South Central League,0508-cleburne-marshall-0,19120508,0,Cleburne,3,Marshall,5,WNMWTBT
boxscores/1912/1912-DMN,1912,South Central League,0508-texarkana-tyler-0,19120508,0,Texarkana,5,Tyler,2,QHWNCZV
