source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-SBN,1915,California Winter League,1106-clinecline-sanbernardino-0,19151106,0,Cline-Cline,,San Bernardino,,RNNRSPY
boxscores/1915/1915-SDU,1915,California Winter League,1106-chicago-sandiego-0,19151106,0,Chicago,4,San Diego,7,JVLYWTC
boxscores/1915/1915-SBN,1915,California Winter League,1107-clinecline-sanbernardino-0,19151107,0,Cline-Cline,,San Bernardino,,LHZLVYK
boxscores/1915/1915-SDU,1915,California Winter League,1107-chicago-sandiego-0,19151107,0,Chicago,2,San Diego,6,BKYWJPX
boxscores/1915/1915-SDU,1915,California Winter League,1113-chicago-clinecline-0,19151113,0,Cline-Cline,0,Chicago,4,FYXCVSF
boxscores/1915/1915-SBN,1915,California Winter League,1113-sanbernardino-sandiego-0,19151113,0,San Diego,9,San Bernardino,3,KXZLRGS
boxscores/1915/1915-SDU,1915,California Winter League,1114-chicago-clinecline-0,19151114,0,Cline-Cline,6,Chicago,0,PTKBNRV
boxscores/1915/1915-SBN,1915,California Winter League,1114-sanbernardino-sandiego-0,19151114,0,San Diego,3,San Bernardino,5,PPDVCFS
boxscores/1915/1915-SBN,1915,California Winter League,1120-chicago-sanbernardino-0,19151120,0,Chicago,6,San Bernardino,3,JLVNCVQ
boxscores/1915/1915-SDU,1915,California Winter League,1120-clinecline-sandiego-0,19151120,0,Cline-Cline,5,San Diego,6,WMZNQPP
boxscores/1915/1915-SBN,1915,California Winter League,1121-chicago-sanbernardino-0,19151121,0,Chicago,1,San Bernardino,6,WSLVQMS
boxscores/1915/1915-SDU,1915,California Winter League,1121-clinecline-sandiego-0,19151121,0,Cline-Cline,0,San Diego,9,MTPMHKD
boxscores/1915/1915-SDU,1915,California Winter League,1125-chicago-sandiego-0,19151125,0,Chicago,4,San Diego,0,LGVRNCJ
boxscores/1915/1915-SDU,1915,California Winter League,1127-chicago-sandiego-0,19151127,0,Chicago,3,San Diego,2,CJSNQNP
boxscores/1915/1915-SBN,1915,California Winter League,1128-clinecline-sanbernardino-0,19151128,0,Cline-Cline,1,San Bernardino,6,PZPJRRZ
boxscores/1915/1915-SDU,1915,California Winter League,1128-chicago-sandiego-0,19151128,0,Chicago,7,San Diego,3,MJXHNSH
boxscores/1915/1915-SBN,1915,California Winter League,1205-chicago-clinecline-0,19151205,0,Chicago,17,Cline-Cline,5,ZGFGVNP
boxscores/1915/1915-SBN,1915,California Winter League,1205-sanbernardino-sandiego-0,19151205,0,San Bernardino,6,San Diego,0,SQBQLWZ
boxscores/1915/1915-SBN,1915,California Winter League,1211-reachallstars-sanbernardino-0,19151211,0,Reach All Stars,3,San Bernardino,1,LBKXMMC
boxscores/1915/1915-SDU,1915,California Winter League,1211-clinecline-sandiego-0,19151211,0,Cline-Cline,2,San Diego,5,ZKJHNFM
boxscores/1915/1915-SBN,1915,California Winter League,1212-chicago-sanbernardino-0,19151212,0,Chicago,3,San Bernardino,8,WLKXZLD
boxscores/1915/1915-SDU,1915,California Winter League,1212-clinecline-sandiego-0,19151212,0,Cline-Cline,2,San Diego,7,DTCGBBS
boxscores/1915/1915-SDU,1915,California Winter League,1218-chicago-sandiego-0,19151218,0,Chicago,7,San Diego,6,SFBPVQJ
boxscores/1915/1915-SDU,1915,California Winter League,1219-chicago-sandiego-0,19151219,0,Chicago,7,San Diego,3,ZWCFHCB
boxscores/1915/1915-SDU,1915,California Winter League,1225-chicago-sandiego-0,19151225,0,Chicago,4,San Diego,3,CMBQBTL
boxscores/1915/1915-SDU,1915,California Winter League,1226-chicago-sandiego-0,19151226,0,Chicago,3,San Diego,2,GNNRGZK
