source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0731-lumberton-redsprings-0,19150731,0,Red Springs,7,Lumberton,4,NPJNZMZ
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0804-lumberton-redsprings-0,19150804,0,Lumberton,2,Red Springs,3,XMRNZRF
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0805-lumberton-redsprings-0,19150805,0,Red Springs,4,Lumberton,0,LGTNGHZ
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0806-albemarle-redsprings-0,19150806,0,Albemarle,0,Red Springs,7,QJHJQKJ
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0810-lumberton-redsprings-0,19150810,0,Red Springs,4,Lumberton,0,FGGMZKK
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0811-albemarle-lumberton-0,19150811,0,Albemarle,0,Lumberton,6,MGCLXBL
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0812-albemarle-lumberton-0,19150812,0,Albemarle,2,Lumberton,5,PJHTZSP
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0818-lumberton-redsprings-0,19150818,0,Lumberton,2,Red Springs,3,VDJRNFF
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0819-albemarle-lumberton-0,19150819,0,Lumberton,4,Albemarle,0,QPLKVQK
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0820-albemarle-lumberton-0,19150820,0,Lumberton,5,Albemarle,4,RVQVLDF
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0821-albemarle-lumberton-0,19150821,0,Lumberton,8,Albemarle,7,GTJBWNR
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0823-albemarle-redsprings-0,19150823,0,Red Springs,7,Albemarle,2,LQKDGBV
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0824-albemarle-redsprings-0,19150824,0,Red Springs,5,Albemarle,3,HZMZHMY
boxscores/1915/1915-CN,1915,Eastern North Carolina League,0825-albemarle-redsprings-0,19150825,0,Red Springs,7,Albemarle,8,BXPDFTW
