source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-DMN,1915,Middle Texas League,0415-austin-bartlett-0,19150415,0,Austin,,Bartlett,,JLLJMRV
boxscores/1915/1915-DMN,1915,Middle Texas League,0415-belton-temple-0,19150415,0,Temple,,Belton,,DPXGNTN
boxscores/1915/1915-DMN,1915,Middle Texas League,0415-brenham[i]-schulenburg-0,19150415,0,Brenham [I],5,Schulenburg,1,HZZXHNK
boxscores/1915/1915-DMN,1915,Middle Texas League,0416-austin-bartlett-0,19150416,0,Austin,1,Bartlett,0,ZRLPQCY
boxscores/1915/1915-DMN,1915,Middle Texas League,0416-belton-temple-0,19150416,0,Temple,,Belton,,NPKXTLP
boxscores/1915/1915-DMN,1915,Middle Texas League,0416-brenham[i]-schulenburg-0,19150416,0,Brenham [I],0,Schulenburg,6,LQCXHZR
boxscores/1915/1915-DMN,1915,Middle Texas League,0417-austin-bartlett-0,19150417,0,Bartlett,4,Austin,2,XVZFVZT
boxscores/1915/1915-DMN,1915,Middle Texas League,0417-brenham[i]-schulenburg-0,19150417,0,Schulenburg,0,Brenham [I],5,WBTYRTD
boxscores/1915/1915-DMN,1915,Middle Texas League,0417-belton-temple-0,19150417,0,Belton,,Temple,,YCMTQVY
boxscores/1915/1915-DMN,1915,Middle Texas League,0418-austin-bartlett-0,19150418,0,Bartlett,,Austin,,KYRFRPL
boxscores/1915/1915-DMN,1915,Middle Texas League,0418-brenham[i]-schulenburg-0,19150418,0,Schulenburg,6,Brenham [I],1,QMPRBGD
boxscores/1915/1915-DMN,1915,Middle Texas League,0418-belton-temple-0,19150418,0,Belton,6,Temple,3,QSPCQPZ
boxscores/1915/1915-DMN,1915,Middle Texas League,0419-austin-bartlett-1,19150419,1,Bartlett,11,Austin,1,MFLQDBT
boxscores/1915/1915-DMN,1915,Middle Texas League,0419-austin-bartlett-2,19150419,2,Bartlett,3,Austin,3,YRZGPPP
boxscores/1915/1915-DMN,1915,Middle Texas League,0419-brenham[i]-schulenburg-0,19150419,0,Schulenburg,3,Brenham [I],1,NBVLBSN
boxscores/1915/1915-DMN,1915,Middle Texas League,0419-belton-temple-1,19150419,1,Belton,0,Temple,1,MYNZSKS
boxscores/1915/1915-DMN,1915,Middle Texas League,0419-belton-temple-2,19150419,2,Belton,3,Temple,6,FMDLLMG
