source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-CDO,1915,North Carolina State League,0422-charlotte-greensboro-0,19150422,0,Greensboro,6,Charlotte,3,TBFTMRQ
boxscores/1915/1915-CDO,1915,North Carolina State League,0422-durham-raleigh-0,19150422,0,Durham,3,Raleigh,4,CQBHJDY
boxscores/1915/1915-CDO,1915,North Carolina State League,0422-asheville-winstonsalem-0,19150422,0,Asheville,7,Winston-Salem,1,NXMCPGM
boxscores/1915/1915-CDO,1915,North Carolina State League,0423-charlotte-greensboro-0,19150423,0,Greensboro,8,Charlotte,4,ZBNSLZQ
boxscores/1915/1915-CDO,1915,North Carolina State League,0423-durham-raleigh-0,19150423,0,Durham,5,Raleigh,3,ZDMRHJT
boxscores/1915/1915-CDO,1915,North Carolina State League,0423-asheville-winstonsalem-0,19150423,0,Asheville,7,Winston-Salem,0,WBXKHHQ
boxscores/1915/1915-CDO,1915,North Carolina State League,0424-charlotte-greensboro-0,19150424,0,Greensboro,11,Charlotte,5,YCDCZSW
boxscores/1915/1915-CDO,1915,North Carolina State League,0424-durham-raleigh-0,19150424,0,Durham,2,Raleigh,5,ZMFQPHW
boxscores/1915/1915-CDO,1915,North Carolina State League,0424-asheville-winstonsalem-0,19150424,0,Asheville,4,Winston-Salem,5,BJNNFSS
boxscores/1915/1915-CDO,1915,North Carolina State League,0426-asheville-charlotte-0,19150426,0,Asheville,11,Charlotte,5,FSYKBVL
boxscores/1915/1915-CDO,1915,North Carolina State League,0426-durham-winstonsalem-0,19150426,0,Winston-Salem,7,Durham,8,GHZFLPQ
boxscores/1915/1915-CDO,1915,North Carolina State League,0426-greensboro-raleigh-0,19150426,0,Raleigh,10,Greensboro,1,LNCRKGD
boxscores/1915/1915-CDO,1915,North Carolina State League,0427-asheville-charlotte-0,19150427,0,Asheville,2,Charlotte,0,BBFPKBK
boxscores/1915/1915-CDO,1915,North Carolina State League,0427-durham-winstonsalem-0,19150427,0,Winston-Salem,1,Durham,8,XXSJXYP
boxscores/1915/1915-CDO,1915,North Carolina State League,0427-greensboro-raleigh-0,19150427,0,Raleigh,5,Greensboro,4,LZZVPSC
boxscores/1915/1915-CDO,1915,North Carolina State League,0428-asheville-charlotte-0,19150428,0,Asheville,12,Charlotte,7,DSSJVYR
boxscores/1915/1915-CDO,1915,North Carolina State League,0428-durham-winstonsalem-0,19150428,0,Winston-Salem,5,Durham,7,DLJRFHS
boxscores/1915/1915-CDO,1915,North Carolina State League,0428-greensboro-raleigh-0,19150428,0,Raleigh,0,Greensboro,3,GGXXFNT
boxscores/1915/1915-CDO,1915,North Carolina State League,0429-asheville-greensboro-0,19150429,0,Greensboro,1,Asheville,6,HJWWHRS
boxscores/1915/1915-CDO,1915,North Carolina State League,0429-charlotte-durham-0,19150429,0,Charlotte,2,Durham,5,CHDHJNW
boxscores/1915/1915-CDO,1915,North Carolina State League,0429-raleigh-winstonsalem-0,19150429,0,Winston-Salem,6,Raleigh,4,MBZQCJQ
boxscores/1915/1915-CDO,1915,North Carolina State League,0430-asheville-greensboro-0,19150430,0,Greensboro,3,Asheville,2,SYXNGFJ
boxscores/1915/1915-CDO,1915,North Carolina State League,0430-charlotte-durham-0,19150430,0,Charlotte,1,Durham,6,KJFMNTM
boxscores/1915/1915-CDO,1915,North Carolina State League,0430-raleigh-winstonsalem-0,19150430,0,Winston-Salem,4,Raleigh,3,XNXXCKQ
boxscores/1915/1915-CDO,1915,North Carolina State League,0501-asheville-greensboro-0,19150501,0,Greensboro,1,Asheville,2,BGCTYWY
boxscores/1915/1915-CDO,1915,North Carolina State League,0501-charlotte-durham-0,19150501,0,Charlotte,3,Durham,8,JXSXLXR
boxscores/1915/1915-CDO,1915,North Carolina State League,0501-raleigh-winstonsalem-0,19150501,0,Raleigh,4,Winston-Salem,0,TCHNFGG
boxscores/1915/1915-CDO,1915,North Carolina State League,0503-asheville-durham-0,19150503,0,Durham,3,Asheville,5,YRFFDPP
boxscores/1915/1915-CDO,1915,North Carolina State League,0503-charlotte-raleigh-0,19150503,0,Charlotte,3,Raleigh,5,XFMFGKW
boxscores/1915/1915-CDO,1915,North Carolina State League,0503-greensboro-winstonsalem-0,19150503,0,Greensboro,12,Winston-Salem,10,QYHDGRN
boxscores/1915/1915-CDO,1915,North Carolina State League,0504-asheville-durham-0,19150504,0,Durham,2,Asheville,4,XDGZSTW
boxscores/1915/1915-CDO,1915,North Carolina State League,0504-charlotte-raleigh-0,19150504,0,Charlotte,0,Raleigh,7,BRWMNSX
boxscores/1915/1915-CDO,1915,North Carolina State League,0504-greensboro-winstonsalem-0,19150504,0,Greensboro,8,Winston-Salem,5,DSBRSJP
boxscores/1915/1915-CDO,1915,North Carolina State League,0505-asheville-durham-0,19150505,0,Durham,6,Asheville,3,MLNDZZJ
boxscores/1915/1915-CDO,1915,North Carolina State League,0505-charlotte-raleigh-0,19150505,0,Charlotte,3,Raleigh,9,LGTXFMT
boxscores/1915/1915-CDO,1915,North Carolina State League,0505-greensboro-winstonsalem-0,19150505,0,Greensboro,5,Winston-Salem,1,XWBXDCY
boxscores/1915/1915-CDO,1915,North Carolina State League,0506-charlotte-durham-0,19150506,0,Durham,3,Charlotte,4,MPQGTNF
boxscores/1915/1915-CDO,1915,North Carolina State League,0506-asheville-greensboro-0,19150506,0,Asheville,6,Greensboro,3,DRRJMGK
boxscores/1915/1915-CDO,1915,North Carolina State League,0506-raleigh-winstonsalem-0,19150506,0,Raleigh,8,Winston-Salem,0,LQXPWKN
boxscores/1915/1915-CDO,1915,North Carolina State League,0507-charlotte-durham-0,19150507,0,Durham,,Charlotte,,JDCSQNX
boxscores/1915/1915-CDO,1915,North Carolina State League,0507-asheville-greensboro-0,19150507,0,Asheville,,Greensboro,,LWZQBWR
boxscores/1915/1915-CDO,1915,North Carolina State League,0507-raleigh-winstonsalem-0,19150507,0,Raleigh,,Winston-Salem,,BZBPRQL
boxscores/1915/1915-CDO,1915,North Carolina State League,0508-charlotte-durham-0,19150508,0,Durham,16,Charlotte,12,FDWRXXY
