source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-NNDP,1915,Virginia League,0422-newportnews-suffolk-0,19150422,0,Suffolk,2,Newport News,3,HGKQHSW
boxscores/1915/1915-RTD,1915,Virginia League,0422-newportnews-suffolk-0,19150422,0,Suffolk,2,Newport News,3,NRJSTCC
boxscores/1915/1915-NNDP,1915,Virginia League,0422-norfolk-portsmouth-0,19150422,0,Portsmouth,0,Norfolk,2,CPKXWCM
boxscores/1915/1915-RTD,1915,Virginia League,0422-norfolk-portsmouth-0,19150422,0,Portsmouth,0,Norfolk,2,BXVZYLS
boxscores/1915/1915-NNDP,1915,Virginia League,0422-petersburg-rockymount-0,19150422,0,Rocky Mount,2,Petersburg,5,TMMMSVW
boxscores/1915/1915-RTD,1915,Virginia League,0422-petersburg-rockymount-0,19150422,0,Rocky Mount,2,Petersburg,5,DDPZQKN
boxscores/1915/1915-NNDP,1915,Virginia League,0423-newportnews-suffolk-0,19150423,0,Suffolk,5,Newport News,10,HPJTWRV
boxscores/1915/1915-RTD,1915,Virginia League,0423-newportnews-suffolk-0,19150423,0,Suffolk,5,Newport News,10,SBHRWQC
boxscores/1915/1915-NNDP,1915,Virginia League,0423-petersburg-rockymount-0,19150423,0,Rocky Mount,3,Petersburg,6,QTQKZTZ
boxscores/1915/1915-RTD,1915,Virginia League,0423-petersburg-rockymount-0,19150423,0,Rocky Mount,3,Petersburg,6,RMWYNQF
boxscores/1915/1915-NNDP,1915,Virginia League,0423-norfolk-portsmouth-0,19150423,0,Norfolk,6,Portsmouth,7,NFSVDKX
boxscores/1915/1915-RTD,1915,Virginia League,0423-norfolk-portsmouth-0,19150423,0,Norfolk,6,Portsmouth,7,SBZSBSG
boxscores/1915/1915-NNDP,1915,Virginia League,0424-newportnews-suffolk-0,19150424,0,Suffolk,3,Newport News,3,NXBQCQY
boxscores/1915/1915-RTD,1915,Virginia League,0424-newportnews-suffolk-0,19150424,0,Suffolk,3,Newport News,3,YJWSZTX
boxscores/1915/1915-NNDP,1915,Virginia League,0424-norfolk-portsmouth-0,19150424,0,Portsmouth,2,Norfolk,8,HMKDTQN
boxscores/1915/1915-RTD,1915,Virginia League,0424-norfolk-portsmouth-0,19150424,0,Portsmouth,2,Norfolk,8,VQBFJVJ
boxscores/1915/1915-NNDP,1915,Virginia League,0424-petersburg-rockymount-0,19150424,0,Rocky Mount,1,Petersburg,2,XPPMQQC
