source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-CN,1915,Western North Carolina League,0726-gastonia-lenoir-0,19150726,0,Gastonia,5,Lenoir,7,VWWLVYB
boxscores/1915/1915-CN,1915,Western North Carolina League,0726-morganton-statesville-0,19150726,0,Statesville,7,Morganton,6,SQNZGGH
boxscores/1915/1915-CN,1915,Western North Carolina League,,19150727,,Gastonia,9,Lenoir,1,CMZWRSD
boxscores/1915/1915-CN,1915,Western North Carolina League,0727-morganton-statesville-0,19150727,0,Statesville,0,Morganton,7,QXMWKTV
boxscores/1915/1915-CN,1915,Western North Carolina League,,19150728,,Gastonia,5,Lenoir,6,GFMHGXC
boxscores/1915/1915-CN,1915,Western North Carolina League,0728-morganton-statesville-0,19150728,0,Statesville,2,Morganton,4,PCGDMRK
boxscores/1915/1915-CN,1915,Western North Carolina League,0729-gastonia-morganton-0,19150729,0,Morganton,4,Gastonia,0,VFFKYDJ
boxscores/1915/1915-CN,1915,Western North Carolina League,0729-lenoir-statesville-0,19150729,0,Lenoir,9,Statesville,6,TBVDBPS
boxscores/1915/1915-CN,1915,Western North Carolina League,0730-gastonia-morganton-0,19150730,0,Morganton,,Gastonia,,HSXXLTM
boxscores/1915/1915-CN,1915,Western North Carolina League,0730-lenoir-statesville-0,19150730,0,Lenoir,,Statesville,,XWSWRHC
boxscores/1915/1915-CN,1915,Western North Carolina League,0731-gastonia-morganton-0,19150731,0,Morganton,12,Gastonia,17,DDLXWDS
boxscores/1915/1915-CN,1915,Western North Carolina League,0731-lenoir-statesville-0,19150731,0,Lenoir,5,Statesville,2,XSFRJTC
boxscores/1915/1915-CN,1915,Western North Carolina League,0802-gastonia-statesville-0,19150802,0,Statesville,,Gastonia,,DSBDFWW
boxscores/1915/1915-CN,1915,Western North Carolina League,0802-lenoir-morganton-0,19150802,0,Lenoir,2,Morganton,9,VNFMKGM
boxscores/1915/1915-CN,1915,Western North Carolina League,0803-gastonia-statesville-0,19150803,0,Statesville,4,Gastonia,5,MWWFPXW
boxscores/1915/1915-CN,1915,Western North Carolina League,0803-lenoir-morganton-0,19150803,0,Lenoir,4,Morganton,1,QTHJCJK
boxscores/1915/1915-CN,1915,Western North Carolina League,0804-gastonia-statesville-0,19150804,0,Statesville,3,Gastonia,4,BCVQMFM
boxscores/1915/1915-CN,1915,Western North Carolina League,0804-lenoir-morganton-0,19150804,0,Lenoir,4,Morganton,5,NWJMLRY
boxscores/1915/1915-CN,1915,Western North Carolina League,0805-lenoir-morganton-0,19150805,0,Morganton,6,Lenoir,10,NYSYTLT
boxscores/1915/1915-CN,1915,Western North Carolina League,0805-gastonia-statesville-0,19150805,0,Gastonia,3,Statesville,6,XKBPLNS
boxscores/1915/1915-CN,1915,Western North Carolina League,0806-lenoir-morganton-0,19150806,0,Morganton,5,Lenoir,1,HVFHJNK
boxscores/1915/1915-CN,1915,Western North Carolina League,0806-gastonia-statesville-0,19150806,0,Gastonia,2,Statesville,11,SXPRMLY
boxscores/1915/1915-CN,1915,Western North Carolina League,0807-lenoir-morganton-0,19150807,0,Morganton,2,Lenoir,5,XKPJXLN
boxscores/1915/1915-CN,1915,Western North Carolina League,0807-gastonia-statesville-0,19150807,0,Gastonia,4,Statesville,2,YFWGCPX
