source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1907Reach,1906,Western Association,abbott,B00680,Abbott,,1,Springfield,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,abbott,B00680,Abbott,,2,Hutchinson,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,abbott,B00680,Abbott,,T,,,,108,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,abbott,F20784,Abbott,,1,Joplin,,,,,yes,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,abbott,F20784,Abbott,,2,Hutchinson,,,,,yes,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,abbott,F20784,Abbott,,T,,,,,,60,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,abbott,F21680,Abbott,,0,Springfield,,,,,,,,,48,,,,,,
minoraverages/1907Reach,1906,Western Association,andrews,B00416,Andrews,,0,Topeka,,,133,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,andrews,F21076,Andrews,,0,Topeka,,,,,,,133,,,,,,,,
minoraverages/1907Reach,1906,Western Association,armstrong,B00887,Armstrong,,0,Joplin,,,118,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,armstrong,F20153,Armstrong,,0,Joplin,,,,,,,,,,,,,32,,
minoraverages/1907Reach,1906,Western Association,armstrong,F20776,Armstrong,,0,Joplin,,,,,86,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,arnold,B00362,Arnold,,0,Oklahoma City,,,7,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,arnold,F20287,Arnold,,0,Oklahoma City,,,,,,,,,,,,,,7,
minoraverages/1907Reach,1906,Western Association,arnold,P10361,Arnold,,0,Oklahoma City,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,ashley,B01514,Ashley,,0,Leavenworth,,,38,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,ashley,F20417,Ashley,,0,Leavenworth,,,,,,,,,,,,,,38,
minoraverages/1907Reach,1906,Western Association,ashley,P10231,Ashley,,0,Leavenworth,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,autrey,B00207,Autrey,,0,Webb City,,,96,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,autrey,F21623,Autrey,,0,Webb City,,,,,,,,,96,,,,,,
minoraverages/1907Reach,1906,Western Association,baerwald,B00442,Baerwald,,0,Joplin,,,138,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,baerwald,F21651,Baerwald,,0,Joplin,,,,,,,,,128,,,,,,
minoraverages/1907Reach,1906,Western Association,bailey,B01041,Bailey,,0,Oklahoma City,,,30,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,bailey,F21343,Bailey,,0,Oklahoma City,,,,,,,,30,,,,,,,
minoraverages/1907Reach,1906,Western Association,bankhead,B00783,Bankhead,,1,Wichita,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,bankhead,B00783,Bankhead,,2,Joplin,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,bankhead,B00783,Bankhead,,T,,,,87,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,bankhead,F20886,Bankhead,,1,Wichita,,,,,,yes,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,bankhead,F20886,Bankhead,,2,Joplin,,,,,,yes,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,bankhead,F20886,Bankhead,,T,,,,,,,46,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,bankhead,F21264,Bankhead,,0,Wichita,,,,,,,,41,,,,,,,
minoraverages/1907Reach,1906,Western Association,bayless,B00370,Bayless,,0,Joplin,,,140,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,bayless,F21747,Bayless,,0,Joplin,,,,,,,,,135,,,,,,
minoraverages/1907Reach,1906,Western Association,becker,B00059,Becker,,0,Wichita,,,75,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,becker,F20552,Becker,,0,Wichita,,,,,,,,,,,,,,40,
minoraverages/1907Reach,1906,Western Association,becker,P10113,Becker,,0,Wichita,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,bemis,B01288,Bemis,,0,Oklahoma City,,,45,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,bemis,F20594,Bemis,,0,Oklahoma City,,,,,,,,,,,,,,14,
minoraverages/1907Reach,1906,Western Association,bemis,P10168,Bemis,,0,Oklahoma City,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,brown,B01546,Brown,,0,Hutchinson,,,14,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,brown,F20997,Brown,,0,Hutchinson,,,,,,,14,,,,,,,,
minoraverages/1907Reach,1906,Western Association,burke,B01490,Burke,,0,Wichita,,,5,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,burke,F21434,Burke,,0,Wichita,,,,,,,,,5,,,,,,
minoraverages/1907Reach,1906,Western Association,campanion,B01431,Campanion,,1,Hutchinson,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,campanion,B01431,Campanion,,2,Topeka,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,campanion,B01431,Campanion,,T,,,,43,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,campanion,P10304,Campanion,,1,Hutchinson,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,campanion,P10304,Campanion,,2,Topeka,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,campanion,P10304,Campanion,,T,,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,campbell-wc,B00076,Campbell,,0,Webb City,,,10,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,campbell-hut,B00335,Campbell,,0,Hutchinson,,,49,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,campbell-wc,F20620,Campbell,,0,Webb City,,,,,,,,,,,,,,10,
minoraverages/1907Reach,1906,Western Association,campbell-hut,F20737,Campbell,,0,Hutchinson,,,,,49,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,campbell-wc,P10277,Campbell,,0,Webb City,,,,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,carr,B01601,Carr,,0,Webb City,,,9,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,casey,B00726,Casey,,0,Hutchinson,,,140,,,,,,,,,,,,
minoraverages/1907Reach,1906,Western Association,casey,F21210,Casey,,0,Hutchinson,,,,,,,,140,,,,,,,
minoraverages/1907Reach,1906,Western Association,cavanaugh,B01119,Cavanaugh,,0,Leavenworth,,,18,,,,,,,,,,,,
