source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1908Reach,1907,Cotton States League,adamina,B00531,Adamina,,1,Mobile,,,,,
minoraverages/1908Reach,1907,Cotton States League,adamina,B00531,Adamina,,2,Columbus,,,,,
minoraverages/1908Reach,1907,Cotton States League,adamina,B00531,Adamina,,T,,,,120,,
minoraverages/1908Reach,1907,Cotton States League,adamina,F20539,Adamina,,1,Mobile,,,,,lf.
minoraverages/1908Reach,1907,Cotton States League,adamina,F20539,Adamina,,2,Columbus,,,,,lf.
minoraverages/1908Reach,1907,Cotton States League,adamina,F20539,Adamina,,T,,,,,,lf.
minoraverages/1908Reach,1907,Cotton States League,andrews,B00416,Andrews,,1,Columbus,,,,,
minoraverages/1908Reach,1907,Cotton States League,andrews,B00416,Andrews,,2,Meridian,,,,,
minoraverages/1908Reach,1907,Cotton States League,andrews,B00416,Andrews,,T,,,,10,,
minoraverages/1908Reach,1907,Cotton States League,andrews,F20417,Andrews,,1,Columbus,,,,,
minoraverages/1908Reach,1907,Cotton States League,andrews,F20417,Andrews,,2,Meridian,,,,,
minoraverages/1908Reach,1907,Cotton States League,andrews,F20417,Andrews,,T,,,,,,
minoraverages/1908Reach,1907,Cotton States League,ashton,B00362,Ashton,,1,Vicksburg,,,,,
minoraverages/1908Reach,1907,Cotton States League,ashton,B00362,Ashton,,2,Meridian,,,,,
minoraverages/1908Reach,1907,Cotton States League,ashton,B00362,Ashton,,3,Mobile,,,,,
minoraverages/1908Reach,1907,Cotton States League,ashton,B00362,Ashton,,T,,,,40,,
minoraverages/1908Reach,1907,Cotton States League,ashton,F20369,Ashton,,1,Vicksburg,,,,,
minoraverages/1908Reach,1907,Cotton States League,ashton,F20369,Ashton,,2,Meridian,,,,,
minoraverages/1908Reach,1907,Cotton States League,ashton,F20369,Ashton,,3,Mobile,,,,,
minoraverages/1908Reach,1907,Cotton States League,ashton,F20369,Ashton,,T,,,,,,
minoraverages/1908Reach,1907,Cotton States League,ashton,P10056,Ashton,,0,Vicksburg,,,,,
minoraverages/1908Reach,1907,Cotton States League,barber,B01086,Barber,,1,Vicksburg,,,,,
minoraverages/1908Reach,1907,Cotton States League,barber,B01086,Barber,,2,Jackson,,,,,
minoraverages/1908Reach,1907,Cotton States League,barber,B01086,Barber,,T,,,,44,,
minoraverages/1908Reach,1907,Cotton States League,barber,F21084,Barber,,1,Vicksburg,,,,,p.
minoraverages/1908Reach,1907,Cotton States League,barber,F21084,Barber,,2,Jackson,,,,,p.
minoraverages/1908Reach,1907,Cotton States League,barber,F21084,Barber,,T,,,,,,p.
minoraverages/1908Reach,1907,Cotton States League,barber,P10312,Barber,,1,Vicksburg,,,,,
minoraverages/1908Reach,1907,Cotton States League,barber,P10312,Barber,,2,Jackson,,,,,
minoraverages/1908Reach,1907,Cotton States League,barber,P10312,Barber,,T,,,,,,
minoraverages/1908Reach,1907,Cotton States League,bates,B00667,Bates,,0,Mobile,,,4,,
minoraverages/1908Reach,1907,Cotton States League,bates,F20661,Bates,,0,Mobile,,,,,
minoraverages/1908Reach,1907,Cotton States League,belmont,B01078,Belmont,,0,Mobile,,,5,,
minoraverages/1908Reach,1907,Cotton States League,belmont,F21076,Belmont,,0,Mobile,,,,,p.
minoraverages/1908Reach,1907,Cotton States League,belmont,P10100,Belmont,,0,Mobile,,,,,
minoraverages/1908Reach,1907,Cotton States League,billiard,B00999,Billiard,,0,Meridian,,,57,,
minoraverages/1908Reach,1907,Cotton States League,billiard,F20997,Billiard,,0,Meridian,,,,,
minoraverages/1908Reach,1907,Cotton States League,billiard,P10192,Billiard,,0,Meridian,,,,,
minoraverages/1908Reach,1907,Cotton States League,bishop,B01032,Bishop,,1,Columbus,,,,,
minoraverages/1908Reach,1907,Cotton States League,bishop,B01032,Bishop,,2,Vicksburg,,,,,
minoraverages/1908Reach,1907,Cotton States League,bishop,B01032,Bishop,,T,,,,38,,
minoraverages/1908Reach,1907,Cotton States League,bishop,F21037,Bishop,,1,Columbus,,,,,
minoraverages/1908Reach,1907,Cotton States League,bishop,F21037,Bishop,,2,Vicksburg,,,,,
minoraverages/1908Reach,1907,Cotton States League,bishop,F21037,Bishop,,T,,,,,,
minoraverages/1908Reach,1907,Cotton States League,bishop,P10277,Bishop,,1,Columbus,,,,,
minoraverages/1908Reach,1907,Cotton States League,bishop,P10277,Bishop,,2,Vicksburg,,,,,
minoraverages/1908Reach,1907,Cotton States League,bishop,P10277,Bishop,,T,,,,,,
minoraverages/1908Reach,1907,Cotton States League,blackburn-jac,B00450,Blackburn,,0,Jackson,,,135,,
minoraverages/1908Reach,1907,Cotton States League,blackburn-vic,B00488,Blackburn,,0,Vicksburg,,,73,,
minoraverages/1908Reach,1907,Cotton States League,blackburn-jac,F20458,Blackburn,,0,Jackson,,,,,
minoraverages/1908Reach,1907,Cotton States League,blackburn-vic,F20482,Blackburn,,0,Vicksburg,,,,,
minoraverages/1908Reach,1907,Cotton States League,blackburn-vic,P10043,Blackburn,,0,Vicksburg,,,,,
minoraverages/1908Reach,1907,Cotton States League,boyd,B00324,Boyd,,0,Mobile,,,131,,
minoraverages/1908Reach,1907,Cotton States League,boyd,F20327,Boyd,,0,Mobile,,,,,
minoraverages/1908Reach,1907,Cotton States League,brazeall,B01064,Brazeall,,0,Columbus,,,5,,
minoraverages/1908Reach,1907,Cotton States League,brazeall,F21068,Brazeall,,0,Columbus,,,,,p.
minoraverages/1908Reach,1907,Cotton States League,brazeall,P10432,Brazeall,,0,Columbus,,,,,
