source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/Howard,1907,Eastern League,abel,B00013,Abel,,,Providence,19070727,19070727,1,,
minoraverages/1908Reach,1907,Eastern League,abstein,B00241,Abstein,,0,Providence,,,136,,
minoraverages/1908Reach,1907,Eastern League,abstein,F20080,Abstein,,0,Providence,,,,,1b135
minoraverages/Howard,1907,Eastern League,abstein,B00021,Abstein,"William H. ""Bill""*",,Providence,19070425,19070924,136,,1b136
minoraverages/Howard,1907,Eastern League,ackerman,B00059,Ackerman,Robert B.,,Providence,19070425,19070501,7,,1b12b6
minoraverages/1908Reach,1907,Eastern League,adkins,B00577,Adkins,,0,Baltimore,,,39,,
minoraverages/1908Reach,1907,Eastern League,adkins,F21528,Adkins,,0,Baltimore,,,,,p39
minoraverages/1908Reach,1907,Eastern League,adkins,P10070,Adkins,,0,Baltimore,,,,,
minoraverages/Howard,1907,Eastern League,adkins,B00037,Adkins,"Merle T. ""Doc""*",,Baltimore,19070426,19070920,39,,p39
minoraverages/Howard,1907,Eastern League,adkins,P10019,Adkins,"Merle T. ""Doc""*",0,Baltimore,,,,39,
minoraverages/Howard,1907,Eastern League,ainsmith,B00068,Ainsmith,Edward W.*,,Toronto,19070920,19070920,1,,c1
minoraverages/Howard,1907,Eastern League,alcott,B00045,Alcott,,,Providence,19070427,19070429,3,,ss2
minoraverages/1908Reach,1907,Eastern League,applegate,B01124,Applegate,,0,Toronto,,,23,,
minoraverages/1908Reach,1907,Eastern League,applegate,F21255,Applegate,,0,Toronto,,,,,p23
minoraverages/1908Reach,1907,Eastern League,applegate,P10231,Applegate,,0,Toronto,,,,,
minoraverages/Howard,1907,Eastern League,applegate,B00076,Applegate,"Frederick R. ""Fred""*",,Toronto,19070520,19070904,23,,p23
minoraverages/Howard,1907,Eastern League,applegate,P10805,Applegate,"Frederick R. ""Fred""*",0,Toronto,,,,23,
minoraverages/Howard,1907,Eastern League,bailey,B00084,Bailey,M. H.,,Toronto,19070424,19070424,1,,c1
minoraverages/Howard,1907,Eastern League,baker,B00092,Baker,"John ""Home Run""*",,Baltimore,19070914,19070920,5,,3b1lf3
minoraverages/1908Reach,1907,Eastern League,bannister,B01288,Bannister,,0,Rochester,,,41,,
minoraverages/1908Reach,1907,Eastern League,bannister,F21370,Bannister,,0,Rochester,,,,,p40
minoraverages/1908Reach,1907,Eastern League,bannister,P10385,Bannister,,0,Rochester,,,,,
minoraverages/Howard,1907,Eastern League,bannister,B00101,Bannister,"Alex S. ""Sandy""",,Rochester,19070429,19070924,41,,p40rf1
minoraverages/Howard,1907,Eastern League,bannister,P10687,Bannister,"Alex S. ""Sandy""",0,Rochester,,,,40,
minoraverages/1908Reach,1907,Eastern League,bannon,B00752,Bannon,,0,Rochester,,,114,,
minoraverages/1908Reach,1907,Eastern League,bannon,F20893,Bannon,,0,Rochester,,,,,cf87
minoraverages/Howard,1907,Eastern League,bannon,B00117,Bannon,"James H. ""Jimmy""*",,Rochester,19070424,19070909,114,,3b2ss9lf9cf87rf5
minoraverages/1908Reach,1907,Eastern League,barger,B00101,Barger,,1,Montreal,,,,,
minoraverages/1908Reach,1907,Eastern League,barger,B00101,Barger,,2,Rochester,,,,,
minoraverages/1908Reach,1907,Eastern League,barger,B00101,Barger,,T,,,,20,,
minoraverages/1908Reach,1907,Eastern League,barger,F21182,Barger,,0,Rochester,,,,,p16
minoraverages/1908Reach,1907,Eastern League,barger,P10516,Barger,,1,Montreal,,,,,
minoraverages/1908Reach,1907,Eastern League,barger,P10516,Barger,,2,Rochester,,,,,
minoraverages/1908Reach,1907,Eastern League,barger,P10516,Barger,,T,,,,,,
minoraverages/Howard,1907,Eastern League,barger,B00125,Barger,"Eros B. ""Cy""*",1,Montreal,19070515,19070706,12,,p10cf1
minoraverages/Howard,1907,Eastern League,barger,B00130,Barger,"Eros B. ""Cy""*",2,Rochester,19070714,19070919,9,,p5rf3
minoraverages/Howard,1907,Eastern League,barger,B00149,Barger,"Eros B. ""Cy""*",T,,19070515,19070919,21,,p15cf1rf3
minoraverages/Howard,1907,Eastern League,barger,P10407,Barger,"Eros B. ""Cy""*",0,Montreal,,,,10,
minoraverages/Howard,1907,Eastern League,barger,P10738,Barger,"Eros B. ""Cy""*",0,Rochester,,,,5,
minoraverages/Howard,1907,Eastern League,barger,P10860,Barger,"Eros B. ""Cy""*",1,Montreal,,,,,
minoraverages/Howard,1907,Eastern League,barger,P10860,Barger,"Eros B. ""Cy""*",2,Rochester,,,,,
minoraverages/Howard,1907,Eastern League,barger,P10860,Barger,"Eros B. ""Cy""*",T,,,,,15,
minoraverages/1908Reach,1907,Eastern League,barry,B01466,Barry,,0,Providence,,,23,,
minoraverages/1908Reach,1907,Eastern League,barry,F21264,Barry,,0,Providence,,,,,p22
minoraverages/1908Reach,1907,Eastern League,barry,P10348,Barry,,0,Providence,,,,,
minoraverages/Howard,1907,Eastern League,barry,B00158,Barry,"Edward ""Ed""*",,Providence,19070425,19070922,22,,p22
minoraverages/Howard,1907,Eastern League,barry,P10591,Barry,"Edward ""Ed""*",0,Providence,,,,22,
minoraverages/Howard,1907,Eastern League,bartley,B00163,Bartley,"William J. ""Bill""*",,Baltimore,19070427,19070427,1,,p1
minoraverages/Howard,1907,Eastern League,bartley,P10097,Bartley,"William J. ""Bill""*",0,Baltimore,,,,1,
minoraverages/Howard,1907,Eastern League,barton,B00174,Barton,"James A. ""Jimmy""",,Prov,19070512,19070530,5,,ss5
minoraverages/1908Reach,1907,Eastern League,beach,F20552,Beach,,0,Baltimore,,,,,ss70
minoraverages/Howard,1907,Eastern League,beach,B00182,Beach,Harry T.,,Baltimore,19070711,19070924,71,,ss71
minoraverages/1908Reach,1907,Eastern League,bean,B00794,Bean,,0,Jersey City,,,132,,
minoraverages/1908Reach,1907,Eastern League,bean,F20526,Bean,,0,Jersey City,,,,,ss132
minoraverages/Howard,1907,Eastern League,bean,B00196,Bean,"Joseph W. ""Joe""*",,Jersey City,19070425,19070924,132,,ss132
minoraverages/Howard,1907,Eastern League,bean,M90047,Bean,"Joseph W. ""Joe""*",,Jersey City,,,,,
minoraverages/Howard,1907,Eastern League,black,B00207,Black,,,Providence,19070721,19070729,8,,lf4cf1rf3
minoraverages/Howard,1907,Eastern League,blake,B00210,Blake,,,Jersey City,19070514,19070514,1,,p1
minoraverages/Howard,1907,Eastern League,blake,P10320,Blake,,0,Jersey City,,,,1,
minoraverages/1908Reach,1907,Eastern League,brockett,B01291,Brocket,,0,Montreal,,,36,,
minoraverages/1908Reach,1907,Eastern League,brockett,F20721,Brocket,,0,Montreal,,,,,cf26
minoraverages/1908Reach,1907,Eastern League,brockett,F21609,Brocket,,0,Montreal,,,,,p7
minoraverages/1908Reach,1907,Eastern League,brockett,P10176,Brockett,,0,Montreal,,,,,
minoraverages/Howard,1907,Eastern League,brockett,B00229,Brockett,"Louis A. ""Lew""*",,Montreal,19070704,19070921,37,,p72b1cf26
minoraverages/Howard,1907,Eastern League,brockett,P10410,Brockett,"Louis A. ""Lew""*",0,Montreal,,,,7,
minoraverages/1908Reach,1907,Eastern League,brown,B00590,Brown,,0,Montreal,,,132,,
minoraverages/1908Reach,1907,Eastern League,brown,F20072,Brown,,0,Montreal,,,,,1b132
minoraverages/Howard,1907,Eastern League,brown,B00232,Brown,Arthur,,Montreal,19070424,19070924,132,,1b132
minoraverages/Howard,1907,Eastern League,buckenberger,M90094,Buckenberger,Albert C.*,,Rochester,,,,,
minoraverages/Howard,1907,Eastern League,burchell,B00241,Burchel,"Frederick D. ""Fred""*",,Baltimore,19070425,19070917,35,,p34cf1
minoraverages/Howard,1907,Eastern League,burchell,P10035,Burchel,"Frederick D. ""Fred""*",0,Baltimore,,,,34,
minoraverages/1908Reach,1907,Eastern League,burchell,B01135,Burchell,,0,Baltimore,,,34,,
minoraverages/1908Reach,1907,Eastern League,burchell,F21319,Burchell,,0,Baltimore,,,,,p34
minoraverages/1908Reach,1907,Eastern League,burchell,P10290,Burchell,,0,Baltimore,,,,,
minoraverages/Howard,1907,Eastern League,burnham,M90071,Burnham,Walter W.,,Newark,,,,,
minoraverages/1908Reach,1907,Eastern League,burrell,B00920,Burrell,,0,Baltimore,,,140,,
minoraverages/1908Reach,1907,Eastern League,burrell,F20369,Burrell,,0,Baltimore,,,,,3b140
minoraverages/Howard,1907,Eastern League,burrell,B00255,Burrell,Lennius Ordway,,Baltimore,19070425,19070924,140,,3b140
minoraverages/1908Reach,1907,Eastern League,butler,B00084,Butler,,0,Jersey City,,,24,,
minoraverages/1908Reach,1907,Eastern League,butler,F21646,Butler,,0,Jersey City,,,,,c24
minoraverages/Howard,1907,Eastern League,butler,B00264,Butler,John A.*,,Jersey City,19070725,19070924,24,,c24
minoraverages/1908Reach,1907,Eastern League,byers,B00059,Byers,,0,Baltimore,,,70,,
minoraverages/1908Reach,1907,Eastern League,byers,F21806,Byers,,0,Baltimore,,,,,c61
minoraverages/Howard,1907,Eastern League,byers,B00278,Byers,"James Wm. ""Bill""*",,Baltimore,19070425,19070924,70,,c61
minoraverages/Howard,1907,Eastern League,byrne,B00286,Bymes,"James J. ""Jim""*",,Rochester,19070522,19070717,22,,c20
minoraverages/1908Reach,1907,Eastern League,byrne,B01156,Byrne,,0,Rochester,,,22,,
minoraverages/1908Reach,1907,Eastern League,byrne,F21811,Byrne,,0,Rochester,,,,,c20
minoraverages/1908Reach,1907,Eastern League,carrick,B01313,Carrick,,0,Newark,,,20,,
minoraverages/1908Reach,1907,Eastern League,carrick,F21210,Carrick,,0,Newark,,,,,p20
minoraverages/1908Reach,1907,Eastern League,carrick,P10277,Carrick,,0,Newark,,,,,
minoraverages/Howard,1907,Eastern League,carrick,B00293,Carrick,"William M. ""Bill""*",,Newark,19070425,19070725,20,,p20
minoraverages/Howard,1907,Eastern League,carrick,P10478,Carrick,"William M. ""Bill""*",0,Newark,,,,20,
minoraverages/1908Reach,1907,Eastern League,carrigan,B00092,Carrigan,,0,Toronto,,,86,,
minoraverages/1908Reach,1907,Eastern League,carrigan,F21739,Carrigan,,0,Toronto,,,,,c82
minoraverages/Howard,1907,Eastern League,carrigan,B00308,Carrigan,"William F. ""Bill""*",,Toronto,19070509,19070922,86,,c801b13b1cf1rf2
minoraverages/Howard,1907,Eastern League,carver,B00319,Carver,,,Buffalo,19070702,19070702,1,,3b1
minoraverages/1908Reach,1907,Eastern League,chadbourne,B00163,Chadbourne,,0,Providence,,,128,,
minoraverages/1908Reach,1907,Eastern League,chadbourne,F20673,Chadbourne,,0,Providence,,,,,lf118
minoraverages/Howard,1907,Eastern League,chadbourne,B00324,Chadbourne,"Chester J. ""Chet""*",,Prov,19070425,19070924,128,,ss6lf117cf5
minoraverages/1908Reach,1907,Eastern League,clancy,B00210,Clancy,,0,Rochester,,,15,,
minoraverages/1908Reach,1907,Eastern League,clancy,F20023,Clancy,,0,Rochester,,,,,1b115
minoraverages/Howard,1907,Eastern League,clancy,B00335,Clancy,"William E. ""Bill""*",,Rochester,19070424,19070924,115,,1b115
minoraverages/1908Reach,1907,Eastern League,clark,B00904,Clark,,0,Montreal,,,42,,
minoraverages/1908Reach,1907,Eastern League,clark,F21747,Clark,,0,Montreal,,,,,c42
minoraverages/Howard,1907,Eastern League,clark,B00343,Clarke,"Thomas A. ""Tommy""*",,Montreal,19070716,19070924,42,,c42
minoraverages/Howard,1907,Eastern League,cleary,B00356,Cleary,James A.,1,Rochester,19070514,19070615,2,,p2
minoraverages/Howard,1907,Eastern League,cleary,B00362,Cleary,James A.,2,Buffalo,19070803,19070812,2,,p2
minoraverages/Howard,1907,Eastern League,cleary,B00370,Cleary,James A.,T,,19070514,19070812,4,,p4
minoraverages/Howard,1907,Eastern League,cleary,P10192,Cleary,James A.,0,Buffalo,,,,2,
minoraverages/Howard,1907,Eastern League,cleary,P10751,Cleary,James A.,0,Rochester,,,,2,
minoraverages/Howard,1907,Eastern League,cleary,P10871,Cleary,James A.,1,Rochester,,,,,
minoraverages/Howard,1907,Eastern League,cleary,P10871,Cleary,James A.,2,Buffalo,,,,,
minoraverages/Howard,1907,Eastern League,cleary,P10871,Cleary,James A.,T,,,,,4,
minoraverages/1908Reach,1907,Eastern League,clement,B00232,Clement,,0,Jersey City,,,133,,
minoraverages/1908Reach,1907,Eastern League,clement,F20612,Clement,,0,Jersey City,,,,,lf133
minoraverages/Howard,1907,Eastern League,clement,B00381,Clement,"Wallace O. ""Wally""*",,Jersey City,19070425,19070924,133,,lf133
minoraverages/1908Reach,1907,Eastern League,clinton,B00948,Clinton,,0,Providence,,,42,,
minoraverages/1908Reach,1907,Eastern League,clinton,F21068,Clinton,,0,Providence,,,,,rf21
minoraverages/1908Reach,1907,Eastern League,clinton,F21450,Clinton,,0,Providence,,,,,p17
minoraverages/1908Reach,1907,Eastern League,clinton,P10429,Clinton,,0,Providence,,,,,
minoraverages/Howard,1907,Eastern League,clinton,B00397,Clinton,Jimmy L.,,Providence,19070425,19070731,42,,p21cf2rf20
minoraverages/Howard,1907,Eastern League,clinton,P10611,Clinton,Jimmy L.,0,Providence,,,,21,
minoraverages/1908Reach,1907,Eastern League,cockman,B00718,Cockman,,0,Newark,,,125,,
minoraverages/1908Reach,1907,Eastern League,cockman,F20342,Cockman,,0,Newark,,,,,3b125
minoraverages/Howard,1907,Eastern League,cockman,B00403,Cockman,"James ""Jim""*",,Newark,19070425,19070922,125,,3b125
minoraverages/Howard,1907,Eastern League,collins,B00416,Collins,"Edward T. ""Eddie""*",,Newark,19070807,19070810,4,,ss4
minoraverages/1908Reach,1907,Eastern League,connor-tor,B00021,Connor,,0,Toronto,,,14,,
