source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/Howard,1907,Empire State League,adams,B00013,Adams,,,Seneca Falls,19070906,19070906,1,,0,0,0,0,,0,1,0,0,0,
minoraverages/Howard,1907,Empire State League,agnew,B00021,Agnew,(John J.?),,Seneca Falls,19070828,19070906,11,,0,0,0,6,,0,4,1,0,0,
minoraverages/Howard,1907,Empire State League,akey,B00037,Akey,,,Lyons,19070525,19070603,7,,0,0,0,0,,0,2,5,0,0,
minoraverages/Howard,1907,Empire State League,allen,B00045,Allen,(Thomas?),,Geneva,19070723,19070907,39,,0,36,0,2,,0,1,0,0,0,
minoraverages/Howard,1907,Empire State League,anderson,B00059,Anderson,,,Fulton,19070615,19070702,6,,0,0,0,0,,0,0,1,0,5,
minoraverages/Howard,1907,Empire State League,baker,B00068,Baker,,,Auburn,19070617,19070617,1,,0,0,0,0,,0,0,0,0,1,
minoraverages/Howard,1907,Empire State League,barrett,B00076,Barrett,,,Fulton,19070603,19070604,2,,0,0,0,0,,0,0,0,2,0,
minoraverages/Howard,1907,Empire State League,barry,B00084,Barry,"Lawrence ""Larry""",1,Oswego,19070718,19070730,4,,0,0,0,0,,0,0,1,0,3,
minoraverages/Howard,1907,Empire State League,barry,B00092,Barry,"Lawrence ""Larry""",2,Geneva,19070821,19070907,15,,1,1,0,1,,0,0,7,0,6,
minoraverages/Howard,1907,Empire State League,barry,B00101,Barry,"Lawrence ""Larry""",T,,19070718,19070907,19,,1,1,0,1,,0,0,8,0,9,
minoraverages/Howard,1907,Empire State League,baum,B00117,Baum,,,Fulton,19070524,19070907,71,,0,0,0,71,,0,0,0,0,0,
minoraverages/Howard,1907,Empire State League,bayliss,B00125,Bayliss,Harry,,Oswego,19070525,19070531,3,,0,0,0,0,,0,0,0,0,3,
minoraverages/Howard,1907,Empire State League,bergen,B00130,Bergen,,1,Auburn,19070728,19070728,1,,0,0,0,0,,0,1,0,0,0,
minoraverages/Howard,1907,Empire State League,bergen,B00149,Bergen,,2,Lyons,19070831,19070831,2,,0,0,0,0,,0,0,0,0,0,
minoraverages/Howard,1907,Empire State League,bergen,B00158,Bergen,,T,,19070728,19070831,3,,0,0,0,0,,0,1,0,0,0,
minoraverages/Howard,1907,Empire State League,boland,B00163,Boland,Patrick,,Lyons,19070624,19070906,59,,17,0,1,0,,1,10,0,29,0,
minoraverages/Howard,1907,Empire State League,bonham,B00174,Bonham,"""Doug""",,Geneva,19070617,19070620,4,,0,0,0,0,,4,0,0,0,0,
