source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1908Reach,1907,Gulf Coast League,addington,B00308,Addington,,0,Monroe,,,79,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,addington,F20784,Addington,,0,Monroe,,,,,,,79,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,alexander,B01007,Alexander,,0,Monroe,,,11,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,alexander,P10215,Alexander,,0,all,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,andrews,B00961,Andrews,,0,Orange,,,12,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,andrews,F21553,Andrews,,0,Orange,,,,,,,,,12,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,ashton,B00335,Ashton,,0,Monroe,,,15,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,ashton,F21544,Ashton,,0,Monroe,,,,,,,,,13,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,badger,B00163,Badger,,1,Monroe,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,badger,B00163,Badger,,2,Lake Charles,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,badger,B00163,Badger,,T,,,,117,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,badger,F20648,Badger,,0,Lake Charles,,,,,,83,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,badger,F20792,Badger,,0,Lake Charles,,,,,,,34,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bauer,B00553,Bauer,,0,Alexandria,,,94,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bauer,F20115,Bauer,,0,Alexandria,,,,,,,,,,,,,,33,
minoraverages/1908Reach,1907,Gulf Coast League,bauer,F21427,Bauer,,0,Alexandria,,,,,,,,,59,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bauer,P10231,Bauer,,0,all,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,baxter,B00999,Bax'r,,1,Lake Charles,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,baxter,B00999,Bax'r,,2,Lafayette,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,baxter,B00999,Bax'r,,3,Opelousas,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,baxter,B00999,Bax'r,,T,,,,22,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,baxter,F20190,Baxter,,1,Lake Charles,,,,,,,,,,,,,,yes,
minoraverages/1908Reach,1907,Gulf Coast League,baxter,F20190,Baxter,,2,Lafayette,,,,,,,,,,,,,,yes,
minoraverages/1908Reach,1907,Gulf Coast League,baxter,F20190,Baxter,,3,Opelousas,,,,,,,,,,,,,,yes,
minoraverages/1908Reach,1907,Gulf Coast League,baxter,F20190,Baxter,,T,,,,,,,,,,,,,,,14,
minoraverages/1908Reach,1907,Gulf Coast League,baxter,P10121,Baxter,,0,all,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bessey,B00076,Bessey,,1,Monroe,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bessey,B00076,Bessey,,2,Lafayette,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bessey,B00076,Bessey,,T,,,,17,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bheau,B00771,Bheau,,1,Opelousas,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bheau,B00771,Bheau,,2,Lafayette,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bheau,B00771,Bheau,,T,,,,17,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bheau,F20759,Bheau,,0,Opelousas,,,,,,17,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,blanchfield,F21343,Blanch'd,,1,Opelousas,,,,,,,,,yes,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,blanchfield,F21343,Blanch'd,,2,Lafayette,,,,,,,,,yes,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,blanchfield,F21343,Blanch'd,,3,Lake Charles,,,,,,,,,yes,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,blanchfield,F21343,Blanch'd,,T,,,,,,,,,,34,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,blanchett,B00059,Blanchett,,0,Opelousas,,,103,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,blanchett,F20583,Blanchette,,0,Opelousas,,,,,90,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,blanchfield,B00037,Blanchfield,,1,Opelousas,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,blanchfield,B00037,Blanchfield,,2,Lake Charles,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,blanchfield,B00037,Blanchfield,,T,,,,34,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bolles,B00833,Bolles,,1,Alexandria,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bolles,B00833,Bolles,,2,Orange,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bolles,B00833,Bolles,,T,,,,34,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bolles,F20189,Bolles,,1,Alexandria,,,,,,,,,,,,,,yes,
minoraverages/1908Reach,1907,Gulf Coast League,bolles,F20189,Bolles,,2,Orange,,,,,,,,,,,,,,yes,
minoraverages/1908Reach,1907,Gulf Coast League,bolles,F20189,Bolles,,T,,,,,,,,,,,,,,,27,
minoraverages/1908Reach,1907,Gulf Coast League,bolles,P10043,Bolles,,0,all,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bordeaux,F20102,Bordeau,,0,Lafayette,,,,,,,,,,,,,,21,
minoraverages/1908Reach,1907,Gulf Coast League,bordeaux,B00590,Bordeaux,,0,Lafayette,,,56,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bordeaux,F21174,Bordeaux,,0,Lafayette,,,,,,,,,31,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,bordeaux,P10290,Bordeaux,,0,all,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,braun,B00021,Braun,,0,Alexandria,,,99,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,braun,F20303,Braun,,0,Alexandria,,,,,,,,,,,,,91,,
minoraverages/1908Reach,1907,Gulf Coast League,brazelle,B00638,Brazelle,,0,Monroe,,,36,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,brazelle,F20153,Brazelle,,0,Monroe,,,,,,,,,,,,,,25,
minoraverages/1908Reach,1907,Gulf Coast League,brazelle,F21319,Brazelle,,0,Monroe,,,,,,,,,11,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,brazelle,P10081,Brazelle,,0,all,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,breeding,B00241,Breeding,,1,Orange,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,breeding,B00241,Breeding,,2,Lafayette,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,breeding,B00241,Breeding,,T,,,,100,,,,,,,,,,,,
minoraverages/1908Reach,1907,Gulf Coast League,breeding,F20417,Breeding,,1,Orange,,,,,,,,,,,,,yes,,
minoraverages/1908Reach,1907,Gulf Coast League,breeding,F20417,Breeding,,2,Lafayette,,,,,,,,,,,,,yes,,
minoraverages/1908Reach,1907,Gulf Coast League,breeding,F20417,Breeding,,T,,,,,,,,,,,,,,35,,
minoraverages/1908Reach,1907,Gulf Coast League,breeding,F20526,Breeding,,1,Orange,,,,,yes,,,,,,,,,,
