source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1908Reach,1907,Interstate League,,B00667,Adams,,0,Punxsutawney,,,12,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00718,Allen,,0,Punxsutawney,,,51,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B01300,Allen,,0,Olean,,,15,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20177,Allen,,0,Olean,,,,,,,15,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00335,Bailey,,0,Punxsutawney,,,52,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20924,Bailey,,0,Punxsutawney,,,,,,,,,,,,,52,,
minoraverages/1908Reach,1907,Interstate League,,B01055,Bannister,,0,Bradford,,,14,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B01288,Barndollar,,0,Punxsutawney,,,2,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00822,Barrett,,0,Kane,,,15,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20095,Barrett,,0,Kane,,,,,,15,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,P10121,Beckenbach,,0,Oil City,,,,12,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00936,Bell,,0,Olean,,,8,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B01392,Benson,,0,Punxsutawney,,,7,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B01029,Blanchard,,0,Punxsutawney,,,19,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20759,Blanchard,,0,Punxsutawney,,,,,,,,,,,,,,19,
minoraverages/1908Reach,1907,Interstate League,,P10056,Blanchard,,1,DuBois,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,P10056,Blanchard,,2,Punxsutawney,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,P10056,Blanchard,,T,,,,,18,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00646,Blough,,0,Kane,,,8,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B01291,Breckenbach,,0,Oil City,,,12,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00794,Buck,,0,Erie,,,71,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20482,Buck,,0,Erie,,,,,,,,,71,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00488,Burton,,0,Erie,,,89,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20144,Burton,,0,Erie,,,,,,89,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B01156,Businskey,,0,Erie,,,46,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F21000,Businskey,,0,Erie,,,,,,,,,,,,,46,,
minoraverages/1908Reach,1907,Interstate League,,B01064,Bussey,,0,Bradford,,,25,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20829,Bussey,,0,Bradford,,,,,,,,,,,,,,25,
minoraverages/1908Reach,1907,Interstate League,,P10070,Bussey,,0,Bradford,,,,24,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B01234,Calhoun,,0,Punxsutawney,,,14,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00076,Callopy,,0,Oil City,,,41,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20425,Callopy,,0,Oil City,,,,,,,,,41,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00491,Campbell,,0,Punxsutawney,,,38,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00771,Campbell,,0,DuBois,,,52,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20046,Campbell,,0,Punxsutawney,,,,,38,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20369,Campbell,,0,DuBois,,,,,,,,52,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B01250,Cavanaugh,,0,Erie,,,16,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20699,Cavanaugh,,0,Erie,,,,,,,,,,,,,,16,
minoraverages/1908Reach,1907,Interstate League,,P10137,Cavanaugh,,0,Erie,,,,18,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00920,Clark,,0,Erie,,,6,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00811,Clougher,,0,Oil City,,,26,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20919,Clougher,,0,Oil City,,,,,,,,,,,,,26,,
minoraverages/1908Reach,1907,Interstate League,,B01135,Clunn,,0,Franklin,,,7,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,B00059,Clyde,,0,Oil City,,,23,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,F20768,Clyde,,1,DuBois,,,,,,,,,,,,,,yes,
minoraverages/1908Reach,1907,Interstate League,,F20768,Clyde,,2,Oil City,,,,,,,,,,,,,,yes,
minoraverages/1908Reach,1907,Interstate League,,F20768,Clyde,,T,,,,,,,,,,,,,,,23,
minoraverages/1908Reach,1907,Interstate League,,P10043,Clyde,,1,DuBois,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Interstate League,,P10043,Clyde,,2,Oil City,,,,,,,,,,,,,,,
