source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1908Reach,1907,New England League,,B00450,Abbott,,1,Lowell,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,B00450,Abbott,,2,Lynn,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,B00450,Abbott,,T,,,,26,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,F20038,Abbott,,1,Lowell,,,,,,,,,,,,,,yes,
minoraverages/1908Reach,1907,New England League,,F20038,Abbott,,2,Lynn,,,,,,,,,,,,,,yes,
minoraverages/1908Reach,1907,New England League,,F20038,Abbott,,T,,,,,,,,,,,,,,,27,
minoraverages/1908Reach,1907,New England League,,P10176,Abbott,,1,Lowell,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,P10176,Abbott,,2,Lynn,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,P10176,Abbott,,T,,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,B00999,Adler,,0,Lynn,,,59,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,F20943,Adler,,0,Lynn,,,,,,,,58,,,,,,,
minoraverages/1908Reach,1907,New England League,,B01170,Ahearn,,0,Haverhill,,,35,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,F20458,Ahearn,,0,Haverhill,,,,,,,,,,,,,29,,
minoraverages/1908Reach,1907,New England League,,B00726,Ashmore,,0,Lowell,,,23,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,F20571,Ashmore,,0,Lowell,,,,,23,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,B00174,Austin,,1,New Bedford,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,B00174,Austin,,2,Fall River,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,B00174,Austin,,T,,,,103,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,F21229,Austin,,1,New Bedford,,,,,,,,,yes,,,,,,
minoraverages/1908Reach,1907,New England League,,F21229,Austin,,2,Fall River,,,,,,,,,yes,,,,,,
minoraverages/1908Reach,1907,New England League,,F21229,Austin,,T,,,,,,,,,,98,,,,,,
minoraverages/1908Reach,1907,New England League,,B01078,Bagley,,0,Lawrence,,,32,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,F20539,Bagley,,0,Lawrence,,,,,32,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,B00854,Ball,,0,Lynn,,,15,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,B00695,Bannon,,1,Lynn,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,B00695,Bannon,,2,Lawrence,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,B00695,Bannon,,T,,,,86,,,,,,,,,,,,
minoraverages/1908Reach,1907,New England League,,F21319,Bannon,,1,Lynn,,,,,,,,,yes,,,,,,
minoraverages/1908Reach,1907,New England League,,F21319,Bannon,,2,Lawrence,,,,,,,,,yes,,,,,,
minoraverages/1908Reach,1907,New England League,,F21319,Bannon,,T,,,,,,,,,,88,,,,,,
minoraverages/1908Reach,1907,New England League,,B01216,Barberich,,0,Lawrence,,,38,,,,,,,,,,,,
