source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,alford,B00488,Alford,,0,Tulsa,,,68,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,anderson-bar+fs,B00241,Anderson,,1,Bartlesville,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,anderson-bar+fs,B00241,Anderson,,2,Fort Smith,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,anderson-bar+fs,B00241,Anderson,,T,,,,80,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,anderson-mus,B00651,Anderson,,0,Muskogee,,,19,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,anderson-bar+fs,B01032,Anderson,,0,all,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,anderson-bar+fs,B01337,Anderson,,0,all,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bankhead,B00469,Bankhead,,0,Fort Smith,,,62,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bankhead,B01197,Bankhead,,0,all,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,barry,B00609,Barry,,0,Fort Smith,,,24,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bartley,B00442,Bartley,,1,Bartlesville,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bartley,B00442,Bartley,,2,Independence,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bartley,B00442,Bartley,,T,,,,58,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bates.r,B00196,Bates,R.,1,Tulsa,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bates.r,B00196,Bates,R.,2,Muskogee,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bates.r,B00196,Bates,R.,T,,,,100,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bates.j,B00680,Bates,J.,0,Tulsa,,,56,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bates.r,B01086,Bates,R.,0,all,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bisley,B00370,Bisley,,0,Muskogee,,,75,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bisley,B01010,Bisley,,0,all,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bradbury,B00475,Bradbury,,0,Bartlesville,,,50,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,bradley,B00589,Bradley,,0,Muskogee,,,22,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,brandon,B00577,Brandon,,0,Independence,,,24,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,brown.dn,B00117,Brown,D. N.,0,Independence,,,101,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,brown.r,B00718,Brown,R.,0,Independence,,,116,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,brown.dn,B01041,Brown,D. N.,0,all,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,brown.r,B01300,Brown,R.,0,all,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,brown.dn,B01321,Brown,D. N.,0,all,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,burkett,B00646,Burkett,,0,Coffeyville,,,83,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,burkett,B01135,Burkett,,0,all,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,campbell-bar,B00068,Campbell,,0,Bartlesville,,,29,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,campbell-ind+tul,B00362,Campbell,,1,Independence,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,campbell-ind+tul,B00362,Campbell,,2,Tulsa,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,campbell-ind+tul,B00362,Campbell,,T,,,,41,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,carr,B00806,Carr,,1,Tulsa,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,carr,B00806,Carr,,2,Muskogee,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,carr,B00806,Carr,,T,,,,28,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,carter,B00811,Carter,,1,Fort Smith,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,carter,B00811,Carter,,2,Coffeyville,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,carter,B00811,Carter,,3,Independence,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,carter,B00811,Carter,,T,,,,24,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,cheney,B00125,Cheney,,0,Bartlesville,,,68,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,clark,B00822,Clark,R.,0,Muskogee,,,24,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,collins,B00416,Collins,,0,Independence,,,121,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,collins,B01143,Collins,,0,all,,,,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,crutcher,B00865,Crutcher,,0,Independence,,,31,,
minoraverages/1908Reach,1907,Oklahoma-Arkansas-Kansas League,deconier,B00879,Deconier,,0,Independence,,,35,,
