source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1908Reach,1907,South Carolina League,armstrong,B00403,Armstrong,,1,Greenville,,,,,
minoraverages/1908Reach,1907,South Carolina League,armstrong,B00403,Armstrong,,2,Spartanburg,,,,,
minoraverages/1908Reach,1907,South Carolina League,armstrong,B00403,Armstrong,,T,,,,37,,
minoraverages/1908Reach,1907,South Carolina League,armstrong,F20648,Armstrong,,1,Greenville,,,,,p.
minoraverages/1908Reach,1907,South Carolina League,armstrong,F20648,Armstrong,,2,Spartanburg,,,,,p.
minoraverages/1908Reach,1907,South Carolina League,armstrong,F20648,Armstrong,,T,,,,,,p32
minoraverages/1908Reach,1907,South Carolina League,armstrong,P10081,Armstrong,,1,Greenville,,,,,
minoraverages/1908Reach,1907,South Carolina League,armstrong,P10081,Armstrong,,2,Spartanburg,,,,,
minoraverages/1908Reach,1907,South Carolina League,armstrong,P10081,Armstrong,,T,,,,,27,
minoraverages/1908Reach,1907,South Carolina League,bagwell,F20038,Bagwell,,0,Anderson,,,,,1b19
minoraverages/1908Reach,1907,South Carolina League,benbow,B00232,Benbow,,0,Spartanburg,,,70,,
minoraverages/1908Reach,1907,South Carolina League,benbow,F20023,Benbow,,0,Spartanburg,,,,,1b70
minoraverages/1908Reach,1907,South Carolina League,hennegar,B00623,Benneger,,1,Greenville,,,,,
minoraverages/1908Reach,1907,South Carolina League,hennegar,B00623,Benneger,,2,Darlington,,,,,
minoraverages/1908Reach,1907,South Carolina League,hennegar,B00623,Benneger,,3,Spartanburg,,,,,
minoraverages/1908Reach,1907,South Carolina League,hennegar,B00623,Benneger,,T,,,,23,,
minoraverages/1908Reach,1907,South Carolina League,betscher,F20240,Betcher,,0,Anderson,,,,,3b36
minoraverages/1908Reach,1907,South Carolina League,betscher,B00726,Betscher,,0,Anderson,,,39,,
minoraverages/1908Reach,1907,South Carolina League,betscher,B00904,Betscher,,0,all,,,,,
minoraverages/1908Reach,1907,South Carolina League,buesse.f,F20233,Beusse,F.,1,Darlington,,,,,3b.
minoraverages/1908Reach,1907,South Carolina League,buesse.f,F20233,Beusse,F.,2,Orangeburg,,,,,3b.
minoraverages/1908Reach,1907,South Carolina League,buesse.f,F20233,Beusse,F.,T,,,,,,3b16
minoraverages/1908Reach,1907,South Carolina League,buesse.f,B00553,Beussee,F.,1,Darlington,,,,,
minoraverages/1908Reach,1907,South Carolina League,buesse.f,B00553,Beussee,F.,2,Orangeburg,,,,,
minoraverages/1908Reach,1907,South Carolina League,buesse.f,B00553,Beussee,F.,T,,,,56,,
minoraverages/1908Reach,1907,South Carolina League,bissel,B00752,Bissel,,0,Spartanburg,,,29,,
minoraverages/1908Reach,1907,South Carolina League,bissel,F20700,Bissel,,0,Spartanburg,,,,,c28
minoraverages/1908Reach,1907,South Carolina League,blanton,B00544,Blanton,,0,Anderson,,,58,,
minoraverages/1908Reach,1907,South Carolina League,blanton,B00936,Blanton,,0,all,,,,,
minoraverages/1908Reach,1907,South Carolina League,blanton,F20430,Blanton,,0,Anderson,,,,,of58
minoraverages/1908Reach,1907,South Carolina League,buesse.c,B00021,Buesse,C.,0,Orangeburg,,,54,,
minoraverages/1908Reach,1907,South Carolina League,buesse.c,B00879,Buesse,C.,0,all,,,,,
minoraverages/1908Reach,1907,South Carolina League,buesse.f,F20177,Buesse,F.,1,Darlington,,,,,2b.
minoraverages/1908Reach,1907,South Carolina League,buesse.f,F20177,Buesse,F.,2,Orangeburg,,,,,2b.
