source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1908Reach,1907,Southern Michigan League,agler,B00515,Agler,,0,Lansing,,,73,,,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,agler,F20115,Agler,,0,Lansing,,,,,73,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,andrews,B00502,Andrews,,0,Kalamazoo,,,112,,,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,andrews,F20222,Andrews,,0,Kalamazoo,,,,,,,113,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,atkins,B00747,Atkins,,0,Bay City,,,35,,,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,atkins,F20970,Atkins,,0,Battle Creek,,,,,,,,,,,,,,35,
minoraverages/1908Reach,1907,Southern Michigan League,atkins,P10097,Atkins,,0,Bay City,,,,34,,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,barber,B00469,Barber,,0,Battle Creek,,,43,,,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,barber,F21163,Barber,,0,Battle Creek,,,,,,,,,,,,,43,,
minoraverages/1908Reach,1907,Southern Michigan League,barney,B00920,Barney,,0,Flint,,,82,,,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,barney,F20190,Barney,,0,Bay City,,,,,,82,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,beasley,B01093,Beasley,,0,Flint,,,12,,,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,beasley,F20067,Beasley,,0,Flint,,,,,12,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,behrendt,P10429,Behrendt,,0,Flint,,,,6,,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,bell,B00308,Bell,,0,Kalamazoo,,,112,,,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,bell,F20131,Bell,,0,Kalamazoo,,,,,,112,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,bensley,B00174,Bensley,,0,Bay City,,,97,,,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,bensley,F20648,Bensley,,0,Bay City,,,,,,,,,97,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,blair,B00149,Blair,,0,Bay City,,,99,,,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,blair,F20425,Blair,,0,Bay City,,,,,,,,99,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,blake,B00362,Blake,,0,Kalamazoo,,,108,,,,,,,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,blake,F20474,Blake,,0,Kalamazoo,,,,,,,,,107,,,,,,
minoraverages/1908Reach,1907,Southern Michigan League,bouckart,B00912,Bouckart,,0,Flint,,,50,,,,,,,,,,,,
