source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1908Reach,1907,Western Canada League,adams,B00158,Adams,,0,Edmonton,,,30,,
minoraverages/1908Reach,1907,Western Canada League,adams,F20449,Adams,,0,Edmonton,,,,,of30
minoraverages/1908Reach,1907,Western Canada League,baker,B00397,Baker,,0,Edmonton,,,84,,
minoraverages/1908Reach,1907,Western Canada League,baker,F20233,Baker,,0,Edmonton,,,,,3b84
minoraverages/1908Reach,1907,Western Canada League,barnstead,B00319,Barnstead,,0,Calgary,,,45,,
minoraverages/1908Reach,1907,Western Canada League,barnstead,P10137,Barnstead,,0,Calgary,,,,29,
minoraverages/1908Reach,1907,Western Canada League,barrett,B00491,Barrett,,1,Calgary,,,,,
minoraverages/1908Reach,1907,Western Canada League,barrett,B00491,Barrett,,2,Medicine Hat,,,,,
minoraverages/1908Reach,1907,Western Canada League,barrett,B00491,Barrett,,T,,,,25,,
minoraverages/1908Reach,1907,Western Canada League,barrett,P10100,Barrett,,1,Calgary,,,,,
minoraverages/1908Reach,1907,Western Canada League,barrett,P10100,Barrett,,2,Medicine Hat,,,,,
minoraverages/1908Reach,1907,Western Canada League,barrett,P10100,Barrett,,T,,,,,8,
minoraverages/1908Reach,1907,Western Canada League,bennett,B00210,Bennett,,0,Edmonton,,,88,,
minoraverages/1908Reach,1907,Western Canada League,bennett,F20401,Bennett,,0,Edmonton,,,,,of88
minoraverages/1908Reach,1907,Western Canada League,benny,B00427,Benny,,0,Medicine Hat,,,87,,
minoraverages/1908Reach,1907,Western Canada League,benny,F20051,Benny,,0,Medicine Hat,,,,,c87
minoraverages/1908Reach,1907,Western Canada League,blexrud,B00037,Blexrud,,0,Edmonton,,,67,,
minoraverages/1908Reach,1907,Western Canada League,blexrud,P10043,Blexrud,,0,Edmonton,,,,17,
minoraverages/1908Reach,1907,Western Canada League,boylan,B00589,Boylan,,1,Medicine Hat,,,,,
minoraverages/1908Reach,1907,Western Canada League,boylan,B00589,Boylan,,2,Lethbridge,,,,,
minoraverages/1908Reach,1907,Western Canada League,boylan,B00589,Boylan,,T,,,,25,,
minoraverages/1908Reach,1907,Western Canada League,boylan,F20211,Boylan,,1,Medicine Hat,,,,,3b
minoraverages/1908Reach,1907,Western Canada League,boylan,F20211,Boylan,,2,Lethbridge,,,,,3b
minoraverages/1908Reach,1907,Western Canada League,boylan,F20211,Boylan,,T,,,,,,3b25
minoraverages/1908Reach,1907,Western Canada League,bues,B00370,Bues,,0,Lethbridge,,,88,,
minoraverages/1908Reach,1907,Western Canada League,bues,F20265,Bues,,0,Lethbridge,,,,,3b88
minoraverages/1908Reach,1907,Western Canada League,chandler,B00076,Chandler,,0,Calgary,,,88,,
minoraverages/1908Reach,1907,Western Canada League,chandler,F20240,Chandler,,0,Calgary,,,,,3b88
minoraverages/1908Reach,1907,Western Canada League,cook,B00646,Cook,,0,Medicine Hat,,,10,,
minoraverages/1908Reach,1907,Western Canada League,cook,P10062,Cook,,0,Medicine Hat,,,,5,
minoraverages/1908Reach,1907,Western Canada League,crist,B00469,Crist,,0,Edmonton,,,38,,
minoraverages/1908Reach,1907,Western Canada League,crist,P10035,Crist,,0,Edmonton,,,,32,
minoraverages/1908Reach,1907,Western Canada League,driscoll,B00502,Driscoll,,0,Calgary,,,11,,
minoraverages/1908Reach,1907,Western Canada League,driscoll,F20095,Driscoll,,0,Calgary,,,,,c11
minoraverages/1908Reach,1907,Western Canada League,egan,B00381,Egan,,0,Lethbridge,,,13,,
minoraverages/1908Reach,1907,Western Canada League,egan,F20316,Egan,,0,Lethbridge,,,,,ss13
minoraverages/1908Reach,1907,Western Canada League,erickson,B00196,Erickson,,0,Edmonton,,,23,,
minoraverages/1908Reach,1907,Western Canada League,erickson,P10056,Erickson,,0,Edmonton,,,,9,
minoraverages/1908Reach,1907,Western Canada League,farrell,B00356,Farrell,,0,Calgary,,,15,,
minoraverages/1908Reach,1907,Western Canada League,farrell,F20190,Farrell,,0,Calgary,,,,,2b15
minoraverages/1908Reach,1907,Western Canada League,fogarty,B00488,Fogarty,,0,Lethbridge,,,64,,
minoraverages/1908Reach,1907,Western Canada League,fogarty,P10081,Fogarty,,0,Lethbridge,,,,20,
minoraverages/1908Reach,1907,Western Canada League,ford,B00092,Ford,,0,Edmonton,,,93,,
minoraverages/1908Reach,1907,Western Canada League,ford,F20023,Ford,,0,Edmonton,,,,,c93
minoraverages/1908Reach,1907,Western Canada League,foster,B00434,Foster,,0,Lethbridge,,,84,,
minoraverages/1908Reach,1907,Western Canada League,foster,F20369,Foster,,0,Lethbridge,,,,,of82
minoraverages/1908Reach,1907,Western Canada League,gouche,B00045,Gouche,,0,Calgary,,,24,,
minoraverages/1908Reach,1907,Western Canada League,gouche,F20014,Gouche,,0,Calgary,,,,,c24
minoraverages/1908Reach,1907,Western Canada League,grimes,B00403,Grimes,,0,Edmonton,,,60,,
minoraverages/1908Reach,1907,Western Canada League,grimes,F20254,Grimes,,0,Edmonton,,,,,3b60
minoraverages/1908Reach,1907,Western Canada League,hamilton,B00059,Hamilton,,0,Medicine Hat,,,87,,
minoraverages/1908Reach,1907,Western Canada League,hamilton,F20166,Hamilton,,0,Medicine Hat,,,,,2b87
minoraverages/1908Reach,1907,Western Canada League,harper,B00528,Harper,,0,Edmonton,,,76,,
minoraverages/1908Reach,1907,Western Canada League,harper,F20287,Harper,,0,Edmonton,,,,,ss76
minoraverages/1908Reach,1907,Western Canada League,harris,B00442,Harris,,0,Medicine Hat,,,20,,
minoraverages/1908Reach,1907,Western Canada League,harris,F20222,Harris,,0,Medicine Hat,,,,,3b20
minoraverages/1908Reach,1907,Western Canada League,hollis,B00174,Hollis,,0,Medicine Hat,,,52,,
minoraverages/1908Reach,1907,Western Canada League,hollis,P10024,Hollis,,0,Medicine Hat,,,,31,
minoraverages/1908Reach,1907,Western Canada League,hopkins,B00207,Hopkins,,1,Medicine Hat,,,,,
minoraverages/1908Reach,1907,Western Canada League,hopkins,B00207,Hopkins,,2,Calgary,,,,,
minoraverages/1908Reach,1907,Western Canada League,hopkins,B00207,Hopkins,,T,,,,91,,
minoraverages/1908Reach,1907,Western Canada League,hopkins,F20417,Hopkins,,1,Calgary,,,,,of
minoraverages/1908Reach,1907,Western Canada League,hopkins,F20417,Hopkins,,2,Medicine Hat,,,,,of
minoraverages/1908Reach,1907,Western Canada League,hopkins,F20417,Hopkins,,T,,,,,,of91
minoraverages/1908Reach,1907,Western Canada League,jansa,B00531,Jansa,,0,Calgary,,,43,,
minoraverages/1908Reach,1907,Western Canada League,jansa,F20080,Jansa,,0,Calgary,,,,,c43
minoraverages/1908Reach,1907,Western Canada League,kinnear,B00609,Kinnear,,0,Calgary,,,22,,
minoraverages/1908Reach,1907,Western Canada League,kinnear,P10159,Kinnear,,0,Calgary,,,,21,
minoraverages/1908Reach,1907,Western Canada League,kippert,B00149,Kippert,,0,Lethbridge,,,88,,
minoraverages/1908Reach,1907,Western Canada League,kippert,P10097,Kippert,,0,Lethbridge,,,,11,
minoraverages/1908Reach,1907,Western Canada League,lussi,B00068,Lussi,,0,Edmonton,,,93,,
minoraverages/1908Reach,1907,Western Canada League,lussi,F20128,Lussi,,0,Edmonton,,,,,1b92
minoraverages/1908Reach,1907,Western Canada League,mcdonough,F20072,M'Donough,,1,Calgary,,,,,c
minoraverages/1908Reach,1907,Western Canada League,mcdonough,F20072,M'Donough,,2,Medicine Hat,,,,,c
minoraverages/1908Reach,1907,Western Canada League,mcdonough,F20072,M'Donough,,T,,,,,,c17
minoraverages/1908Reach,1907,Western Canada League,mackin,F20177,Machin,,0,Lethbridge,,,,,2b85
minoraverages/1908Reach,1907,Western Canada League,mackin,B00125,Mackin,,0,Lethbridge,,,85,,
minoraverages/1908Reach,1907,Western Canada League,mcclaire,F20463,McClair,,0,Medicine Hat,,,,,of53
minoraverages/1908Reach,1907,Western Canada League,mcclaire,B00255,McClaire,,0,Edmonton,,,34,,
