source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1908Reach,1907,Wisconsin State League,ames,B01250,Ames,,0,Fond du Lac,,,24,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,bailey,B00335,Bailey,,0,Eau Claire,,,92,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,bailles,B01143,Bailles,,0,La Crosse,,,41,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,baker,B01108,Baker,,0,Madison,,,52,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,balliet,B00920,Balliet,,0,Wausau,,,24,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,balliet,B01313,Balliet,,0,Madison,,,28,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,becker,B01170,Becker,,0,La Crosse,,,43,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,bond,B01093,Bond,,0,La Crosse,,,109,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,boyle,B00531,Boyle,,0,Green Bay,,,73,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,brady,B00747,Brady,,0,Wausau,,,51,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,brodenhagen,B00130,Brodenhagen,,0,Wausau,,,66,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,brookins,B00125,Brookins,,0,Green Bay,,,30,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,bubser,B01078,Bubser,,0,Oshkosh,,,32,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,burgoise,B00475,Burgoise,,0,Oshkosh,,,111,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,burke,B00961,Burke,,1,La Crosse,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,burke,B00961,Burke,,2,Eau Claire,,,,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,burke,B00961,Burke,,T,,,,96,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,cahill,B00084,Cahill,,0,La Crosse,,,115,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,caldwell,B00771,Caldwell,,0,Oshkosh,,,79,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,campbell,B00794,Campbell,,0,Wausau,,,68,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,carney,B00948,Carney,,0,Fond du Lac,,,35,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,charles,B00149,Charles,,0,Green Bay,,,18,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,chase,B00865,Chase,,0,Wausau,,,119,,,,,,,,,,,,
minoraverages/1908Reach,1907,Wisconsin State League,converse,B00985,Converse,,0,Oshkosh,,,36,,,,,,,,,,,,
