source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/Howard,1908,Atlantic Association,baggans,B00013,Baggans,"John ""Jack""",0,Portland,19080505,19080520,10,,"2b,ss"
minoraverages/Howard,1908,Atlantic Association,beede,M90026,Beede,George,,Lewiston,,,,,
minoraverages/Howard,1908,Atlantic Association,black,B00021,Black,"Robert ""Bob""",0,Pawtucket,19080502,19080518,9,,cf
minoraverages/Howard,1908,Atlantic Association,bonner,B00037,Bonner,,0,Portland,19080505,19080520,10,,3b
minoraverages/Howard,1908,Atlantic Association,bosie,B00045,Bosie,,0,Attleboro,19080502,19080502,1,,c
minoraverages/Howard,1908,Atlantic Association,breen,B00059,Breen,"Henry Francis ""Dick""",0,Lewiston,19080506,19080506,1,,cf
minoraverages/Howard,1908,Atlantic Association,brown,B00068,Brown,,0,Newport,19080502,19080506,2,,p
minoraverages/Howard,1908,Atlantic Association,brown,P10019,Brown,,0,Newport,,,,2,
minoraverages/Howard,1908,Atlantic Association,burns.f,B00076,Burns,F. (Frank?),0,Attleboro,19080502,19080520,12,,"1b,rf"
minoraverages/Howard,1908,Atlantic Association,burns.r,B00084,Burns,Robert,0,Attleboro,19080513,19080516,3,,"p,cf"
minoraverages/Howard,1908,Atlantic Association,burns.r,P10024,Burns,Robert,0,Attleboro,,,,2,
minoraverages/Howard,1908,Atlantic Association,burrell,M90060,Burrell,"Frank A. ""Buster""",,Woonsocket,,,,,
minoraverages/Howard,1908,Atlantic Association,butler.a,B00092,Butler,Art,0,Attleboro,19080502,19080504,2,,"3b,ss"
minoraverages/Howard,1908,Atlantic Association,butler.m,B00101,Butler,M.,0,Attleboro,19080504,19080504,1,,p
minoraverages/Howard,1908,Atlantic Association,butler.m,P10035,Butler,M.,0,Attleboro,,,,1,
minoraverages/Howard,1908,Atlantic Association,chase,B00117,Chase,,0,Portland,19080506,19080515,2,,p
minoraverages/Howard,1908,Atlantic Association,chase,P10043,Chase,,0,Portland,,,,2,
minoraverages/Howard,1908,Atlantic Association,clarke,B00158,Clarke,,0,Newport,19080505,19080505,1,,p
