source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1909Reach,1908,Carolina Association,anthony,B00117,Anthony,,0,Greenville,,,54,,,,,,,,,,,,
minoraverages/1909Reach,1908,Carolina Association,anthony,B00999,Anthony,,0,all,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Carolina Association,anthony,F20458,Anthony,,0,Greenville,,,,,,,,,54,,,,,,
minoraverages/Newspaper,1908,Carolina Association,anthony,F20547,Anthony,,0,Greenville,,,,,,,,,54,,,,,,
minoraverages/1909Reach,1908,Carolina Association,barre,B00059,Barre,,0,Greenville,,,85,,,,,,,,,,,,
minoraverages/1909Reach,1908,Carolina Association,barre,B00920,Barre,,0,all,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Carolina Association,barre,F20571,Barre,,0,Greenville,,,,,,,,,36,,,,,,
minoraverages/1909Reach,1908,Carolina Association,barre,F20841,Barre,,0,Greenville,,,,,,,,,,,,,,20,
minoraverages/1909Reach,1908,Carolina Association,barre,P10043,Barre,,0,Greenville,,,,,,,,,,,,,,,
minoraverages/Newspaper,1908,Carolina Association,barre,F20166,Barre,,0,Greenville,,,,,,14,,,,,,,,,
minoraverages/Newspaper,1908,Carolina Association,barre,F20699,Barre,,0,Greenville,,,,,,,,,36,,,,,,
minoraverages/Newspaper,1908,Carolina Association,barre,F21045,Barre,,0,Greenville,,,,,,,,,,,,,,20,
minoraverages/1909Reach,1908,Carolina Association,bateman,B00638,Bateman,,0,Charlotte,,,29,,,,,,,,,,,,
minoraverages/1909Reach,1908,Carolina Association,bateman,F20673,Bateman,,0,Charlotte,,,,,,,,,29,,,,,,
minoraverages/Newspaper,1908,Carolina Association,bateman,F20807,Bateman,,0,Charlotte,,,,,,,,,29,,,,,,
minoraverages/1909Reach,1908,Carolina Association,benbow,B00577,Benbow,,0,Spartanburg,,,64,,,,,,,,,,,,
minoraverages/1909Reach,1908,Carolina Association,benbow,B01143,Benbow,,0,all,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Carolina Association,benbow,F20046,Benbow,,0,Spartanburg,,,,,45,,,,,,,,,,
minoraverages/1909Reach,1908,Carolina Association,benbow,F20401,Benbow,,0,Spartanburg,,,,,,,,,17,,,,,,
minoraverages/Newspaper,1908,Carolina Association,benbow,F20046,Benbow,,0,Spartanburg,,,,,45,,,,,,,,,,
minoraverages/Newspaper,1908,Carolina Association,benbow,F20482,Benbow,,0,Spartanburg,,,,,,,,,17,,,,,,
minoraverages/1909Reach,1908,Carolina Association,bertrand,B00566,Bertrand,,0,Greensboro,,,15,,,,,,,,,,,,
minoraverages/Newspaper,1908,Carolina Association,bertrand,F21163,Bertrand,,0,Greensboro,,,,,,,,,,,,,,11,
minoraverages/1909Reach,1908,Carolina Association,betscher,B00739,Betscher,,0,Anderson,,,33,,,,,,,,,,,,
minoraverages/1909Reach,1908,Carolina Association,betscher,F20240,Betscher,,0,Anderson,,,,,,,24,,,,,,,,
