source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
boxscores/1908/1908-SDU,1908,Central Kansas League,almquist,P9291108,ALimquist,,,McPherson,19080702,19080702,1,0,"of1,rf1"
boxscores/1908/1908-SDU,1908,Central Kansas League,abbott,P7183408,Abbott,,,Salina,19080622,19080810,24,1,"p1,c5,1b12,of8,cf1,rf7"
boxscores/1908/1908-SEJ,1908,Central Kansas League,abbott,P2704966,Abbott,,,Salina,19080709,19080818,17,0,"c16,1b1"
minoraverages/Howard,1908,Central Kansas League,abbott,B00013,Abbott,Paine Ingersoll,0,Salina,19080622,19080818,40,,"p1,c21,1b11,cf1,rf7"
minoraverages/Howard,1908,Central Kansas League,abbott,P10550,Abbott,Paine Ingersoll,0,Salina,,,,1,
boxscores/1908/1908-SDU,1908,Central Kansas League,almquist,P6584795,Almquist,,,McPherson,19080703,19080703,1,0,"of1,lf1"
minoraverages/Howard,1908,Central Kansas League,almquist,B00021,Almquist,Martin Fillipus,0,McPherson,19080702,19080703,2,,"lf1,rf1"
boxscores/1908/1908-SDU,1908,Central Kansas League,alton,P4038185,Alton,,,McPherson,19080723,19080723,1,0,1b1
minoraverages/Howard,1908,Central Kansas League,alton,B00037,Alton,Bill,0,McPherson,19080622,19080723,2,,"1b1,lf1"
boxscores/1908/1908-SDU,1908,Central Kansas League,anderson,P1045882,Anderson,,,Ellsworth,19080807,19080810,2,0,2b2
boxscores/1908/1908-SEJ,1908,Central Kansas League,anderson,P3348176,Anderson,,,Ellsworth,19080811,19080815,2,0,2b2
minoraverages/Howard,1908,Central Kansas League,anderson,B00045,Anderson,,0,Ellsworth,19080807,19080815,8,,2b8
boxscores/1908/1908-SDU,1908,Central Kansas League,alton,P7773359,Arton,,,McPherson,19080622,19080622,1,0,"of1,lf1"
boxscores/1908/1908-EKR,1908,Central Kansas League,ashton@ump,P1380977,Ashton,,,#umpire,19080703,19080703,,,
boxscores/1908/1908-EM,1908,Central Kansas League,ashton@ump,P3767297,Ashton,,,#umpire,19080627,19080627,,,
boxscores/1908/1908-MDR,1908,Central Kansas League,ashton@ump,P9941586,Ashton,,,#umpire,19080711,19080711,,,
boxscores/1908/1908-SDU,1908,Central Kansas League,ashton@ump,P7869979,Ashton,,,#umpire,19080622,19080724,,,
boxscores/1908/1908-SEJ,1908,Central Kansas League,ashton@ump,P3391537,Ashton,,,#umpire,19080716,19080716,,,
boxscores/1908/1908-SEJ,1908,Central Kansas League,ashton@ump,P4120585,Aston,,,#umpire,19080714,19080718,,,
boxscores/1908/1908-SDU,1908,Central Kansas League,august,P6613572,August,,,McPherson,19080727,19080727,1,0,c1
minoraverages/Howard,1908,Central Kansas League,august,B00059,August,,0,McPherson,19080727,19080727,1,,c1
boxscores/1908/1908-MM,1908,Central Kansas League,bacon,P7810531,Bacon,,,Little River,19080622,19080622,1,0,ss1
boxscores/1908/1908-SDU,1908,Central Kansas League,bacon,P2607029,Bacon,,,Little River,19080623,19080706,9,0,"3b4,ss5"
boxscores/1908/1908-SDU,1908,Central Kansas League,bacon,P3170702,Bacon,,,McPherson,19080722,19080722,1,0,3b1
minoraverages/Howard,1908,Central Kansas League,bacon,B00068,Bacon,,0,Little River,19080622,19080706,10,,"3b5,ss5"
minoraverages/Howard,1908,Central Kansas League,bacon,B00076,Bacon,,0,McPherson,19080722,19080722,1,,3b1
minoraverages/Howard,1908,Central Kansas League,bacon,B00084,Bacon,,1,Little River,,,,,
minoraverages/Howard,1908,Central Kansas League,bacon,B00084,Bacon,,2,McPherson,,,,,
minoraverages/Howard,1908,Central Kansas League,bacon,B00084,Bacon,,T,,19080622,19080722,11,,"3b6,ss5"
boxscores/1908/1908-SDU,1908,Central Kansas League,baird.h,P7931126,Baird,,,Salina,19080622,19080810,12,12,p12
boxscores/1908/1908-SEJ,1908,Central Kansas League,baird.h,P2394242,Baird,H.,,Salina,19080817,19080817,1,1,p1
boxscores/1908/1908-SEJ,1908,Central Kansas League,baird.c,P2721929,Baird,O.,,Salina,19080817,19080817,1,0,c1
boxscores/1908/1908-SEJ,1908,Central Kansas League,baird.h,P4159052,Baird,,,Salina,19080709,19080813,9,6,"p6,of3,rf3"
minoraverages/Howard,1908,Central Kansas League,baird.c,B00092,Baird,Chas. Olin,0,Salina,19080817,19080817,1,,c1
minoraverages/Howard,1908,Central Kansas League,baird.h,B00101,Baird,"Harry S. ""Jocko""",0,Salina,19080622,19080817,22,,"p19,rf3"
minoraverages/Howard,1908,Central Kansas League,baird.h,P10464,Baird,"Harry S. ""Jocko""",0,Salina,,,,19,
boxscores/1908/1908-SDU,1908,Central Kansas League,bankhead,P5805998,Bankhead,,,Ellsworth,19080727,19080728,2,0,2b2
minoraverages/Howard,1908,Central Kansas League,bankhead,B00117,Bankhead,Cecil G.,0,Ellsworth,19080727,19080728,2,,2b2
boxscores/1908/1908-MDR,1908,Central Kansas League,barker,P3586873,Barker,,,McPherson,19080711,19080711,1,1,p1
minoraverages/Howard,1908,Central Kansas League,barker,B00125,Barker,,0,McPherson,19080711,19080711,1,,p1
minoraverages/Howard,1908,Central Kansas League,barker,P10253,Barker,,0,McPherson,,,,1,
boxscores/1908/1908-EKR,1908,Central Kansas League,becker,P7030297,Becker,,,Newton,19080703,19080805,11,0,1b11
boxscores/1908/1908-EM,1908,Central Kansas League,becker,P9416617,Becker,,,Newton,19080627,19080627,1,0,1b1
boxscores/1908/1908-MDR,1908,Central Kansas League,becker,P5590906,Becker,,,Newton,19080708,19080801,4,0,1b4
boxscores/1908/1908-SDU,1908,Central Kansas League,becker,P3519299,Becker,,,Newton,19080622,19080729,15,0,1b15
boxscores/1908/1908-SEJ,1908,Central Kansas League,becker,P9040857,Becker,,,Newton,19080709,19080710,2,0,1b2
minoraverages/Howard,1908,Central Kansas League,becker,B00130,Becker,Karl Mennefee,0,Newton,19080622,19080806,37,,1b37
minoraverages/Howard,1908,Central Kansas League,becker,M90083,Becker,Karl M.,,Newton,,19080805,,,
boxscores/1908/1908-EKR,1908,Central Kansas League,benedix,P1361607,Benedix,,,Little River,19080727,19080727,1,0,3b1
boxscores/1908/1908-MDR,1908,Central Kansas League,benedix,P6254600,Benedix,,,Little River,19080724,19080725,2,0,3b2
boxscores/1908/1908-SDU,1908,Central Kansas League,benedix,P6000561,Benedix,,,Little River,19080722,19080728,3,0,3b3
minoraverages/Howard,1908,Central Kansas League,benedix,B00149,Benedix,Herman Arthur,0,Little River,19080721,19080728,6,,3b6
boxscores/1908/1908-SDU,1908,Central Kansas League,becker,P9421554,Berker,,,Newton,19080625,19080625,1,0,1b1
boxscores/1908/1908-EKR,1908,Central Kansas League,bidwell,P2433323,Bidwell,,,Little River,19080713,19080715,2,0,1b2
boxscores/1908/1908-LRM,1908,Central Kansas League,bidwell,P2360820,Bidwell,,,Little River,19080720,19080721,2,0,
boxscores/1908/1908-MDR,1908,Central Kansas League,bidwell,P7326316,Bidwell,,,Little River,19080724,19080724,1,0,1b1
boxscores/1908/1908-SDU,1908,Central Kansas League,bidwell,P2211363,Bidwell,,,Ellsworth,19080729,19080731,2,0,2b2
boxscores/1908/1908-SDU,1908,Central Kansas League,bidwell,P7072277,Bidwell,,,Little River,19080722,19080723,2,0,1b2
boxscores/1908/1908-SEJ,1908,Central Kansas League,bidwell,P4270443,Bidwell,,,Little River,19080709,19080718,3,0,"1b1,of2,lf1,rf1"
minoraverages/Howard,1908,Central Kansas League,bidwell,B00158,Bidwell,,0,Little River,19080709,19080724,11,,"1b8,lf1,rf2"
minoraverages/Howard,1908,Central Kansas League,bidwell,B00163,Bidwell,,0,Ellsworth,19080729,19080731,2,,2b2
minoraverages/Howard,1908,Central Kansas League,bidwell,B00174,Bidwell,,1,Little River,,,,,
minoraverages/Howard,1908,Central Kansas League,bidwell,B00174,Bidwell,,2,Ellsworth,,,,,
minoraverages/Howard,1908,Central Kansas League,bidwell,B00174,Bidwell,,T,,19080709,19080731,13,,"1b8,2b2,lf1,rf2"
boxscores/1908/1908-EKR,1908,Central Kansas League,bond,P3138489,Bond,,,Ellsworth,19080723,19080725,3,0,3b3
boxscores/1908/1908-LRM,1908,Central Kansas League,bond,P1201602,Bond,,,Ellsworth,19080721,19080721,1,0,
boxscores/1908/1908-MDR,1908,Central Kansas League,bond,P5638586,Bond,,,Ellsworth,19080630,19080701,2,0,3b2
boxscores/1908/1908-SDU,1908,Central Kansas League,bond,P7275555,Bond,,,Ellsworth,19080622,19080807,15,0,"2b3,3b11"
boxscores/1908/1908-SEJ,1908,Central Kansas League,bond,P9486969,Bond,,,Ellsworth,19080709,19080815,8,0,"2b1,3b7,of1,rf1"
minoraverages/Howard,1908,Central Kansas League,bond,B00182,Bond,,0,Ellsworth,19080622,19080815,36,,"2b3,3b30,rf1"
boxscores/1908/1908-EM,1908,Central Kansas League,bothwell,P6888551,Bothwell,,,Ellsworth,19080627,19080627,1,0,"of1,cf1"
boxscores/1908/1908-MDR,1908,Central Kansas League,bothwell,P3399128,Bothwell,,,Ellsworth,19080630,19080630,1,0,"of1,lf1"
boxscores/1908/1908-SDU,1908,Central Kansas League,bothwell,P9312577,Bothwell,,,Ellsworth,19080622,19080626,3,0,"of3,lf1,cf2"
minoraverages/Howard,1908,Central Kansas League,bothwell,B00196,Bothwell,,0,Ellsworth,19080625,19080630,5,,"lf2,cf3"
boxscores/1908/1908-SDU,1908,Central Kansas League,bowen,P0042071,Bowan,,,Ellsworth,19080626,19080626,1,0,"of1,lf1"
boxscores/1908/1908-EKR,1908,Central Kansas League,bowen,P7951715,Bowen,,,Little River,19080715,19080715,1,0,c1
boxscores/1908/1908-SDU,1908,Central Kansas League,bowen,P1399501,Bowen,,,Little River,19080701,19080722,8,0,"c4,of4,lf3,rf1"
boxscores/1908/1908-SEJ,1908,Central Kansas League,bowen,P3701795,Bowen,,,Little River,19080709,19080718,3,0,"of3,lf1,cf2"
minoraverages/Howard,1908,Central Kansas League,bowen,B00207,Bowen,,0,Little River,19080630,19080722,15,,"c6,lf5,cf2,rf2"
boxscores/1908/1908-SEJ,1908,Central Kansas League,bidwell,P2145373,Bridwell,,,Little River,19080717,19080717,1,0,1b1
boxscores/1908/1908-SDU,1908,Central Kansas League,burton,P1229038,Briton,,,Ellsworth,19080625,19080625,1,0,ss1
boxscores/1908/1908-SDU,1908,Central Kansas League,brown,P1065884,Brown,,,Salina,19080722,19080808,10,1,"p1,3b8,ss1"
boxscores/1908/1908-SEJ,1908,Central Kansas League,brown,P7293810,Brown,,,Salina,19080716,19080721,5,0,"2b1,3b4"
minoraverages/Howard,1908,Central Kansas League,brown,B00210,Brown,"Richard ""Dick""",0,Salina,19080716,19080808,15,,"p1,3b13,ss1"
minoraverages/Howard,1908,Central Kansas League,brown,M90110,Brown,Richard,,Salina,19080730,,,,
minoraverages/Howard,1908,Central Kansas League,brown,P10569,Brown,"Richard ""Dick""",0,Salina,,,,1,
boxscores/1908/1908-EM,1908,Central Kansas League,brumley,P4451709,Brumley,,,Newton,19080627,19080627,1,0,c1
boxscores/1908/1908-SDU,1908,Central Kansas League,brumley,P9840215,Brumley,,,Newton,19080622,19080629,6,0,"c4,2b2,of1,lf1"
minoraverages/Howard,1908,Central Kansas League,brumley,B00229,Brumley,Claude Albro,0,Newton,19080622,19080629,7,,"c5,2b2"
minoraverages/Howard,1908,Central Kansas League,bryan,B00232,Bryan,,0,Newton,19080818,19080818,1,,lf1
boxscores/1908/1908-EKR,1908,Central Kansas League,burgess,P2965256,Burgess,,,Newton,19080703,19080815,7,3,"p3,of4,lf1,rf3"
boxscores/1908/1908-MDR,1908,Central Kansas League,burgess,P4424605,Burgess,,,McPherson,19080625,19080630,2,0,"of2,rf2"
boxscores/1908/1908-MDR,1908,Central Kansas League,burgess,P5465353,Burgess,,,Newton,19080708,19080801,3,2,"p2,of1,rf1"
boxscores/1908/1908-SDU,1908,Central Kansas League,burgess,P2179558,Burgess,,,McPherson,19080622,19080629,5,2,"p2,of3,rf3"
boxscores/1908/1908-SDU,1908,Central Kansas League,burgess,P7102322,Burgess,,,Newton,19080702,19080728,6,3,"p3,of4,lf1,cf1,rf2"
boxscores/1908/1908-SEJ,1908,Central Kansas League,burgess,P9313736,Burgess,,,Newton,19080709,19080817,3,3,p3
minoraverages/Howard,1908,Central Kansas League,burgess,B00241,Burgess,Earl A.,0,McPherson,19080622,19080630,7,,"p3,rf4"
minoraverages/Howard,1908,Central Kansas League,burgess,B00255,Burgess,Earl A.,0,Newton,19080702,19080817,22,,"p12,lf3,cf1,rf6"
minoraverages/Howard,1908,Central Kansas League,burgess,B00264,Burgess,Earl A.,1,McPherson,,,,,
minoraverages/Howard,1908,Central Kansas League,burgess,B00264,Burgess,Earl A.,2,Newton,,,,,
