source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/Nemec,1908,Eastern Illinois League,adams,B00013,Adams,Joseph H.,0,Shelbyville,19080514,19080816,45,,,yes,,,yes,,,,,yes,
minoraverages/Nemec,1908,Eastern Illinois League,adams,M90155,Adams,Joseph H.,,Shelbyville,,,,,,,,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,adams,P10019,Adams,,0,Shelbyville,,,,19,,,,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,ahring,B00021,Ahring,Arthur J. (Dutch),0,Charleston,19080514,19080729,52,,,yes,,yes,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,alexander,B00037,Alexander,Wm. H. (Nin),0,Pana,19080619,19080704,3,,,,,,yes,,,,yes,,
minoraverages/Nemec,1908,Eastern Illinois League,atwell,B00045,Atwell,Ernest (Harvey),0,Charleston,19080516,19080727,22,,,,,,yes,,,,,yes,
minoraverages/Nemec,1908,Eastern Illinois League,atwell,P10024,Atwell,,0,Charleston,,,,19,,,,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,baker,B00059,Baker,,0,Taylorville,19080514,19080515,2,,,,,,yes,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,bales,B00068,Bales,Clifford,1,Vincennes,19080526,19080614,20,,,,,yes,yes,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,bales,B00076,Bales,Clifford,2,Charleston,19080615,19080729,26,,yes,,yes,,yes,,,,,yes,
minoraverages/Nemec,1908,Eastern Illinois League,bales,B00084,Bales,Clifford,T,,19080526,19080729,46,,,,,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,bales,P10035,Bales,,0,Charleston,,,,3,,,,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,beach,B00092,Beach,Edward A.,0,Vincennes,19080517,19080803,18,,,,,,yes,,,,,yes,
minoraverages/Nemec,1908,Eastern Illinois League,beach,P10043,Beach,,0,Vincennes,,,,17,,,,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,beck,B00101,Beck,Zinn B.,0,Vincennes,19080728,19080819,19,,,,yes,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,bennett,B00117,Bennett,William,0,Vincennes,19080515,19080818,36,,,,,,yes,,,,,yes,
minoraverages/Nemec,1908,Eastern Illinois League,bennett,P10056,Bennett,,0,Vincennes,,,,27,,,,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,biddles,B00125,Biddles,,0,Charleston,19080530,19080530,1,,,,,,yes,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,biltz,B00130,Biltz,Andrew J.,0,Shelbyville,19080610,19080816,48,,,,,,yes,,,,,yes,
minoraverages/Nemec,1908,Eastern Illinois League,biltz,P10062,Biltz,,0,Shelbyville,,,,8,,,,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,bishop,B00149,Bishop,,0,Shelbyville,19080801,19080809,2,,,,,,,,,,,yes,
minoraverages/Nemec,1908,Eastern Illinois League,bishop,P10070,Bishop,,0,Shelbyville,,,,2,,,,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,blausser,B00158,Blosser (Blauser),Roy,0,Taylorville,19080514,19080819,88,,,yes,,,yes,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,botorff,B00163,Botorff,Arthur,0,Shelbyville,19080525,19080610,5,,,,,,yes,,,,,yes,
minoraverages/Nemec,1908,Eastern Illinois League,botorff,P10081,Botorff,,0,Shelbyville,,,,3,,,,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,bradshaw,B00174,Bradshaw,,0,Pana,19080514,19080524,6,,,,yes,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,brady,B00182,Brady,Frank,0,Vincennes,19080514,19080519,6,,,,yes,,yes,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,brahic,B00196,Brahic,Dick,0,Vincennes,19080517,19080526,9,,,yes,,,yes,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,brouillette,B00207,Brouillette,Hershcel,0,Linton,19080719,19080728,3,,,,,,,,,,,yes,
minoraverages/Nemec,1908,Eastern Illinois League,brouillette,P10097,Brouillette,,0,Linton,,,,3,,,,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,brown,B00210,Brown,,0,Pana,19080620,19080622,3,,,,,,,,,,yes,,
minoraverages/Nemec,1908,Eastern Illinois League,brunton,B00229,Brunton,Jimmy,0,Vincennes,19080514,19080819,91,,,yes,yes,yes,yes,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,burke,B00232,Burke,,0,Vincennes,19080704,19080727,22,,,yes,,yes,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,burns,B00241,Burns,,0,Taylorville,19080605,19080609,3,,yes,,,,yes,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,butts,B00255,Butts,,0,Linton,19080724,19080809,3,,,,,,yes,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,byrd,B00264,Byrd,,0,Charleston,19080624,19080624,1,,,,,,,,,,,yes,
minoraverages/Nemec,1908,Eastern Illinois League,byrd,P10100,Byrd,,0,Charleston,,,,1,,,,,,,,,,,
minoraverages/Nemec,1908,Eastern Illinois League,callahan,B00278,Callahan,,0,Linton,19080727,19080816,9,,,,,yes,,,,,yes,,
minoraverages/Nemec,1908,Eastern Illinois League,campbell,B00286,Campbell,Ed,1,Danville,19080514,19080716,54,,,,,,,,,,yes,,
