source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1909Reach,1908,Northern League,baker,B00362,Baker,,0,Duluth,,,67,,
minoraverages/1909Reach,1908,Northern League,baker,F20388,Baker,,0,Duluth,,,,,3b
minoraverages/1909Reach,1908,Northern League,beatty,B00174,Beatty,W.,0,Winnipeg,,,78,,
minoraverages/1909Reach,1908,Northern League,beatty,F20189,Beatty,W.,0,Winnipeg,,,,,1b
minoraverages/1909Reach,1908,Northern League,bond,B00182,Bond,H. H.,0,Winnipeg,,,40,,
minoraverages/1909Reach,1908,Northern League,bond,F20190,Bond,H. H.,0,Winnipeg,,,,,p10
minoraverages/1909Reach,1908,Northern League,bond,F20206,Bond,H. H.,0,Winnipeg,,,,,of30
minoraverages/1909Reach,1908,Northern League,bond,P10113,Bond,,0,Winnipeg,,,,,
minoraverages/1909Reach,1908,Northern League,brandt,B00403,Brandt,,0,Duluth,,,30,,
minoraverages/1909Reach,1908,Northern League,brandt,F20425,Brandt,,0,Duluth,,,,,p
minoraverages/1909Reach,1908,Northern League,brandt,P10100,Brandt,,0,Duluth,,,,,
minoraverages/1909Reach,1908,Northern League,brookins,B00502,Brookins,,0,Fargo,,,65,,
minoraverages/1909Reach,1908,Northern League,brookins,F20526,Brookins,,0,Fargo,,,,,3b
minoraverages/1909Reach,1908,Northern League,burke,B00531,Burke,,0,Fargo,,,80,,
minoraverages/1909Reach,1908,Northern League,burke,F20552,Burke,,0,Fargo,,,,,1b
minoraverages/1909Reach,1908,Northern League,burns,B00450,Burns,,0,Fargo,,,20,,
minoraverages/1909Reach,1908,Northern League,burns,F20474,Burns,,0,Fargo,,,,,lf
minoraverages/1909Reach,1908,Northern League,carroll,B00293,Carroll,,0,Duluth,,,25,,
minoraverages/1909Reach,1908,Northern League,carroll,F20316,Carroll,,0,Duluth,,,,,cf
minoraverages/1909Reach,1908,Northern League,clark,B00590,Clark,,0,Fargo,,,28,,
minoraverages/1909Reach,1908,Northern League,clark,F20612,Clark,,0,Fargo,,,,,
minoraverages/1909Reach,1908,Northern League,clark,P10192,Clark,,0,Fargo,,,,,
minoraverages/1909Reach,1908,Northern League,cleringer,B00469,Cleringer,,0,Fargo,,,32,,
minoraverages/1909Reach,1908,Northern League,cleringer,F20482,Cleringer,,0,Fargo,,,,,ss
minoraverages/1909Reach,1908,Northern League,cook,B00544,Cook,,0,Fargo,,,48,,
minoraverages/1909Reach,1908,Northern League,cook,F20560,Cook,,0,Fargo,,,,,
minoraverages/1909Reach,1908,Northern League,cook,P10184,Cook,,0,Fargo,,,,,
minoraverages/1909Reach,1908,Northern League,cox,B00210,Cox,,0,Winnipeg,,,57,,
minoraverages/1909Reach,1908,Northern League,cox,F20233,Cox,,0,Winnipeg,,,,,lf
minoraverages/1909Reach,1908,Northern League,crum,B00149,Crum,,0,Winnipeg,,,65,,
minoraverages/1909Reach,1908,Northern League,crum,F20144,Crum,,0,Winnipeg,,,,,of
minoraverages/1909Reach,1908,Northern League,custer,B00076,Custer,,0,Brandon,,,63,,
minoraverages/1909Reach,1908,Northern League,custer,F20072,Custer,,0,Brandon,,,,,c
minoraverages/1909Reach,1908,Northern League,dahlgren,B00117,Dahlgren,,0,Brandon,,,36,,
minoraverages/1909Reach,1908,Northern League,dahlgren,F20115,Dahlgren,,0,Brandon,,,,,p
minoraverages/1909Reach,1908,Northern League,dahlgren,P10056,Dahlgren,,0,Brandon,,,,,
minoraverages/1909Reach,1908,Northern League,gienke,B00163,Gienke,,0,Winnipeg,,,46,,
minoraverages/1909Reach,1908,Northern League,gienke,F20166,Gienke,,0,Winnipeg,,,,,p33
minoraverages/1909Reach,1908,Northern League,gienke,F20177,Gienke,,0,Winnipeg,,,,,of13
minoraverages/1909Reach,1908,Northern League,gienke,P10043,Gienke,,0,Winnipeg,,,,,
minoraverages/1909Reach,1908,Northern League,godfrey,B00528,Godfrey,,0,Fargo,,,56,,
minoraverages/1909Reach,1908,Northern League,godfrey,F20547,Godfrey,,0,Fargo,,,,,2b
minoraverages/1909Reach,1908,Northern League,haney,B00356,Haney,J.,0,Duluth,,,25,,
minoraverages/1909Reach,1908,Northern League,haney,F20375,Haney,J.,0,Duluth,,,,,
minoraverages/1909Reach,1908,Northern League,haney,P10062,Haney,,0,Duluth,,,,,
minoraverages/1909Reach,1908,Northern League,heater,B00566,Heater,,0,Fargo,,,13,,
minoraverages/1909Reach,1908,Northern League,heater,F20583,Heater,,0,Fargo,,,,,lf
minoraverages/1909Reach,1908,Northern League,henderson,B00229,Henderson,C.,0,Winnipeg,,,35,,
minoraverages/1909Reach,1908,Northern League,henderson,F20240,Henderson,C.,0,Winnipeg,,,,,rf
minoraverages/1909Reach,1908,Northern League,hopkins,B00308,Hopkins,,0,Duluth,,,39,,
minoraverages/1909Reach,1908,Northern League,hopkins,F20327,Hopkins,,0,Duluth,,,,,lf
minoraverages/1909Reach,1908,Northern League,keller,P10176,Keller,,0,Brandon,,,,,
minoraverages/1909Reach,1908,Northern League,king,B00207,King,,0,Winnipeg,,,79,,
minoraverages/1909Reach,1908,Northern League,king,F20222,King,,0,Winnipeg,,,,,2b
minoraverages/1909Reach,1908,Northern League,koepping,B00278,Koepping,,0,Duluth,,,66,,
minoraverages/1909Reach,1908,Northern League,koepping,F20298,Koepping,,0,Duluth,,,,,ss
minoraverages/1909Reach,1908,Northern League,krick,B00381,Krick,,0,Duluth,,,29,,
minoraverages/1909Reach,1908,Northern League,krick,F20401,Krick,,0,Duluth,,,,,p
minoraverages/1909Reach,1908,Northern League,krick,P10168,Krick,,0,Duluth,,,,,
minoraverages/1909Reach,1908,Northern League,leighty,B00125,Leighty,J.,0,Brandon,,,80,,
minoraverages/1909Reach,1908,Northern League,leighty,F20128,Leighty,J.,0,Brandon,,,,,ss
minoraverages/1909Reach,1908,Northern League,lindamen,B00577,Lindamen,,0,Fargo,,,13,,
minoraverages/1909Reach,1908,Northern League,lindamen,F20594,Lindamen,,0,Fargo,,,,,
minoraverages/1909Reach,1908,Northern League,lindamen,P10215,Lindamen,,0,Fargo,,,,,
minoraverages/1909Reach,1908,Northern League,livingston,B00084,Livingston,,0,Brandon,,,80,,
minoraverages/1909Reach,1908,Northern League,livingston,F20080,Livingston,,0,Brandon,,,,,2b
minoraverages/1909Reach,1908,Northern League,mcgaw,B00045,McGaw,,0,Brandon,,,50,,
minoraverages/1909Reach,1908,Northern League,mcgaw,F20046,McGaw,,0,Brandon,,,,,lf
minoraverages/1909Reach,1908,Northern League,meneice,B00013,Meneice,S.,0,Brandon,,,80,,
minoraverages/1909Reach,1908,Northern League,meneice,F20014,Meneice,S.,0,Brandon,,,,,rf
minoraverages/1909Reach,1908,Northern League,metcalf,B00589,Metcalf,,0,Fargo,,,23,,
minoraverages/1909Reach,1908,Northern League,metcalf,F20604,Metcalf,,0,Fargo,,,,,rf
minoraverages/1909Reach,1908,Northern League,metzger,B00158,Metzger,,0,Winnipeg,,,83,,
