source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/Hamilton,1908,Ohio-Indiana League,aresmith,B00623,Aresmith,,0,Richmond,,,8,,p.
minoraverages/Hamilton,1908,Ohio-Indiana League,aresmith,F20620,Aresmith,,0,Richmond,,,,,p.
minoraverages/Hamilton,1908,Ohio-Indiana League,aresmith,P10228,Aresmith,,0,Richmond,,,,8,
minoraverages/Hamilton,1908,Ohio-Indiana League,bambaugh.jonas,B00229,Bambaugh,Jonas,0,Van Wert,,,8,,2b.
minoraverages/Hamilton,1908,Ohio-Indiana League,bambaugh.harry,B00286,Bambaugh,Harry,0,Muncie,,,19,,ss.
minoraverages/Hamilton,1908,Ohio-Indiana League,bambaugh.jonas,B00335,Bambaugh,Jonas,0,Muncie,,,15,,
minoraverages/Hamilton,1908,Ohio-Indiana League,bambaugh.john,B00577,Bambaugh,John,0,Richmond,,,25,,3b.
minoraverages/Hamilton,1908,Ohio-Indiana League,bambaugh.jonas,F20222,Bambaugh,Jonas,0,Van Wert,,,,,
minoraverages/Hamilton,1908,Ohio-Indiana League,bambaugh.harry,F20287,Bambaugh,Harry,0,Muncie,,,,,ss.
minoraverages/Hamilton,1908,Ohio-Indiana League,bambaugh.jonas,F20334,Bambaugh,Jonas,0,Muncie,,,,,lf.
minoraverages/Hamilton,1908,Ohio-Indiana League,bambaugh.john,F20571,Bambaugh,John,0,Richmond,,,,,3b.
minoraverages/Hamilton,1908,Ohio-Indiana League,bauman,B00544,Bauman,Patsy,0,Richmond,,,25,,ss.
minoraverages/Hamilton,1908,Ohio-Indiana League,bauman,F20547,Bauman,Patsy,0,Richmond,,,,,ss.
minoraverages/Hamilton,1908,Ohio-Indiana League,beck,B00356,Beck,,0,Muncie,,,14,,3b.
minoraverages/Hamilton,1908,Ohio-Indiana League,beck,F20350,Beck,,0,Muncie,,,,,3b.
minoraverages/Hamilton,1908,Ohio-Indiana League,berwald,B00021,Berwald,,0,Huntington,,,23,,ss.
minoraverages/Hamilton,1908,Ohio-Indiana League,berwald,F20023,Berwald,,0,Huntington,,,,,ss.
minoraverages/Hamilton,1908,Ohio-Indiana League,brown,B00638,Brown,,0,Richmond,,,8,,p.
minoraverages/Hamilton,1908,Ohio-Indiana League,brown,F20636,Brown,,0,Richmond,,,,,p.
minoraverages/Hamilton,1908,Ohio-Indiana League,brown,P10215,Brown,,0,Richmond,,,,8,
minoraverages/Hamilton,1908,Ohio-Indiana League,burns-mun,B00343,Burns,Biddy,0,Muncie,,,19,,2b.
minoraverages/Hamilton,1908,Ohio-Indiana League,burns-ric,B00590,Burns,,0,Richmond,,,4,,1b.
minoraverages/Hamilton,1908,Ohio-Indiana League,burns-mun,F20342,Burns,Biddy,0,Muncie,,,,,2b.
minoraverages/Hamilton,1908,Ohio-Indiana League,burns-ric,F20594,Burns,,0,Richmond,,,,,1b.
minoraverages/Hamilton,1908,Ohio-Indiana League,cameron,B00528,Cameron,,0,Richmond,,,25,,1b.
minoraverages/Hamilton,1908,Ohio-Indiana League,cameron,F20526,Cameron,,0,Richmond,,,,,
minoraverages/Hamilton,1908,Ohio-Indiana League,campbell,B00163,Campbell,,0,Van Wert,,,25,,
minoraverages/Hamilton,1908,Ohio-Indiana League,campbell,F20166,Campbell,,0,Van Wert,,,,,
minoraverages/Hamilton,1908,Ohio-Indiana League,carmichael,B00491,Carmichael,,0,Muncie,,,1,,p.
minoraverages/Hamilton,1908,Ohio-Indiana League,carmichael,F20496,Carmichael,,0,Muncie,,,,,p.
minoraverages/Hamilton,1908,Ohio-Indiana League,carmichael,P10081,Carmichael,,0,Muncie,,,,1,
minoraverages/Hamilton,1908,Ohio-Indiana League,carmony,B00210,Carmony,,0,Van Wert,,,25,,1b.
minoraverages/Hamilton,1908,Ohio-Indiana League,carmony,F20211,Carmony,,0,Van Wert,,,,,1b.
minoraverages/Hamilton,1908,Ohio-Indiana League,carroll,B00434,Carroll,,0,Muncie,,,4,,p.
minoraverages/Hamilton,1908,Ohio-Indiana League,carroll,F20430,Carroll,,0,Muncie,,,,,p.
minoraverages/Hamilton,1908,Ohio-Indiana League,carroll,P10062,Carroll,,0,Muncie,,,,4,
minoraverages/Hamilton,1908,Ohio-Indiana League,clarke-mun,B00403,Clarke,,0,Muncie,,,2,,c.
minoraverages/Hamilton,1908,Ohio-Indiana League,clarke-ric,B00609,Clarke,,0,Richmond,,,8,,c.
minoraverages/Hamilton,1908,Ohio-Indiana League,clarke-mun,F20401,Clarke,,0,Muncie,,,,,c.
minoraverages/Hamilton,1908,Ohio-Indiana League,clarke-ric,F20604,Clarke,,0,Richmond,,,,,c.
minoraverages/Hamilton,1908,Ohio-Indiana League,collins,B00362,Collins,,0,Muncie,,,7,,ss.
