source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1909Reach,1908,Southern Michigan League,andrews,B00488,Andrews,,0,Kalamazoo,,,118,,
minoraverages/1909Reach,1908,Southern Michigan League,andrews,F21207,Andrews,,0,Kalamazoo,,,,,3b118
minoraverages/1909Reach,1908,Southern Michigan League,balliett,B01291,Balliett,,0,Lansing,,,15,,
minoraverages/1909Reach,1908,Southern Michigan League,balliett,F20745,Balliett,,0,Lansing,,,,,p15
minoraverages/1909Reach,1908,Southern Michigan League,balliett,P10289,Balliett,,0,Lansing,,,,13,
minoraverages/1909Reach,1908,Southern Michigan League,barker,B00335,Barker,,0,Bay City,,,11,,
minoraverages/1909Reach,1908,Southern Michigan League,barker,F20316,Barker,,0,Bay City,,,,,of11
minoraverages/1909Reach,1908,Southern Michigan League,beales,B00854,Beales,,0,Saginaw,,,11,,
minoraverages/1909Reach,1908,Southern Michigan League,beales,F20115,Beales,,0,Saginaw,,,,,of11
minoraverages/1909Reach,1908,Southern Michigan League,beard,B00117,Beard,,0,Jackson,,,87,,
minoraverages/1909Reach,1908,Southern Michigan League,beard,F20829,Beard,,0,Jackson,,,,,c87
minoraverages/1909Reach,1908,Southern Michigan League,bell,B00515,Bell,,0,Kalamazoo,,,127,,
minoraverages/1909Reach,1908,Southern Michigan League,bell,F21059,Bell,,0,Kalamazoo,,,,,
minoraverages/1909Reach,1908,Southern Michigan League,bensley,B00232,Bensley,,0,Bay City,,,110,,
minoraverages/1909Reach,1908,Southern Michigan League,bensley,F20287,Bensley,,0,Bay City,,,,,of110
minoraverages/1909Reach,1908,Southern Michigan League,buechner,F20265,Beuchner,,0,Flint,,,,,of22
minoraverages/1909Reach,1908,Southern Michigan League,bishop,B01300,Bishop,,0,Tecumseh,,,21,,
minoraverages/1909Reach,1908,Southern Michigan League,bishop,F20560,Bishop,,0,Tecumseh,,,,,p21
