source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/Howard,1908,Union Association,andre,B00013,Andre,,0,Paterson,,,,,
minoraverages/Howard,1908,Union Association,atherton,B00021,Atherton,Charles M. H.*,0,Washington,,,,,
minoraverages/Howard,1908,Union Association,barry,B00037,Barry,,0,Brooklyn,,,,,
minoraverages/Howard,1908,Union Association,beard,B00045,Beard,"James A. ""Jimmy""",0,Baltimore,,,,,
minoraverages/Howard,1908,Union Association,beihl,B00059,Beihl,"Joseph E. ""Joe""",0,Elizabeth,,,,,
minoraverages/Howard,1908,Union Association,betcher,B00068,Betcher,"Franklin L. ""Frank""*",1,Philadelphia,,,,,
minoraverages/Howard,1908,Union Association,betcher,B00068,Betcher,"Franklin L. ""Frank""*",2,Baltimore,,,,,
minoraverages/Howard,1908,Union Association,betcher,B00068,Betcher,"Franklin L. ""Frank""*",T,,,,,,
minoraverages/Howard,1908,Union Association,boice,B00076,Boice,George W.,0,Elizabeth,,,,,
minoraverages/Howard,1908,Union Association,borden,B00084,Borden,,0,Washington,,,,,
minoraverages/Howard,1908,Union Association,brent,B00092,Brent,"Milford Myer ""Myer""",0,Paterson,,,,,
minoraverages/Howard,1908,Union Association,brewer,B00101,Brewer,,0,Brooklyn,,,,,
minoraverages/Howard,1908,Union Association,burke-was,B00117,Burke,Tom,0,Washington,,,,,
minoraverages/Howard,1908,Union Association,burke-all,B00125,Burke,W.,0,Allentown,,,,,
minoraverages/Howard,1908,Union Association,bussey,B00130,Bussey,Harvey L.,0,Wilmington,,,,,
minoraverages/Howard,1908,Union Association,cadwaller,B00149,Cadwaller,,0,Elizabeth,,,,,
minoraverages/Howard,1908,Union Association,cariss,B00158,Cariss,Dr. Walter Linfoot,0,Wilmington,,,,,
minoraverages/Howard,1908,Union Association,cassidy,B00163,Cassidy,(Pete?),0,Allentown,,,,,
minoraverages/Howard,1908,Union Association,childs,B00174,Childs,"Peter P. ""Pete""*",1,Paterson,,,,,
minoraverages/Howard,1908,Union Association,childs,B00174,Childs,"Peter P. ""Pete""*",2,Philadelphia,,,,,
minoraverages/Howard,1908,Union Association,childs,B00174,Childs,"Peter P. ""Pete""*",T,,,,,,
minoraverages/Howard,1908,Union Association,clark,B00182,Clark,William W.,0,Washington,,,,,
minoraverages/Howard,1908,Union Association,clayton,B00196,Clayton,Harry D.,0,Paterson,,,,,
minoraverages/Howard,1908,Union Association,clements,B00207,Clements,,0,Washington,,,,,
minoraverages/Howard,1908,Union Association,conavery,B00210,Conavery,J. E.,0,Washington,,,,,
minoraverages/Howard,1908,Union Association,conly,B00229,Conly,,0,Philadelphia,,,,,
minoraverages/Howard,1908,Union Association,connors,B00232,Connors,"Edward J. ""Ed""",0,Washington,,,,,
minoraverages/Howard,1908,Union Association,cotter,B00241,Cotter,,0,Reading,,,,,
minoraverages/Howard,1908,Union Association,courtney,B00255,Courtney,,0,Brooklyn,,,,,
minoraverages/Howard,1908,Union Association,coveleski,B00264,Coveleski,Frank,0,Philadelphia,,,,,
minoraverages/Howard,1908,Union Association,cox,B00278,Cox,,0,Paterson,,,,,
minoraverages/Howard,1908,Union Association,cuddy,B00286,Cuddy,"Joseph S. ""Joe""",0,Brooklyn,,,,,
minoraverages/Howard,1908,Union Association,danford,B00293,Danford,L. B. Danny,0,Reading,,,,,
minoraverages/Howard,1908,Union Association,davis,B00308,Davis,"""Lefty""",0,Brooklyn,,,,,
minoraverages/Howard,1908,Union Association,dechert,B00319,Dechert,Otto,0,Brooklyn,,,,,
minoraverages/Howard,1908,Union Association,demay,B00324,Demay,,0,Brooklyn,,,,,
minoraverages/Howard,1908,Union Association,dempfel,B00335,Dempfel,"Robert ""Bob""",0,Philadelphia,,,,,
minoraverages/Howard,1908,Union Association,deverau,B00343,Devereau,,0,Paterson,,,,,
minoraverages/Howard,1908,Union Association,donovan,B00356,Donovan,,0,Washington,,,,,
minoraverages/Howard,1908,Union Association,dowd,B00362,Dowd,,0,Brooklyn,,,,,
minoraverages/Howard,1908,Union Association,dwyer,B00370,Dwyer,,0,Paterson,,,,,
minoraverages/Howard,1908,Union Association,eastley,B00381,Eastley,"Frank H. ""Pat""",0,Reading,,,,,
minoraverages/Howard,1908,Union Association,edgar,B00397,Edgar,"Jacob Ralph ""Red""",0,Reading,,,,,
minoraverages/Howard,1908,Union Association,essler,B00403,Essler,Elmer Edward,0,Philadelphia,,,,,
minoraverages/Howard,1908,Union Association,fallon,B00416,Fallon,,0,Philadelphia,,,,,
minoraverages/Howard,1908,Union Association,fish,B00427,Fish,,0,Paterson,,,,,
minoraverages/Howard,1908,Union Association,foster.f,B00434,Foster,F.,0,Philadelphia,,,,,
minoraverages/Howard,1908,Union Association,foster.e,B00442,Foster,E. - form Roch,0,Philadelphia,,,,,
minoraverages/Howard,1908,Union Association,gaiser,B00450,Gaiser,"Frederick J. ""Fritz""*",0,Elizabeth,,,,,
minoraverages/Howard,1908,Union Association,gery,B00469,Gery,,0,Brooklyn,,,,,
minoraverages/Howard,1908,Union Association,gilbert,B00475,Gilbert,"John R. ""Jack""*",0,Washington,,,,,
minoraverages/Howard,1908,Union Association,goldstein,B00488,Goldstein,Sid,0,Philadelphia,,,,,
minoraverages/Howard,1908,Union Association,gray,B00491,Gray,,0,Paterson,,,,,
minoraverages/Howard,1908,Union Association,hagen,B00502,Hagen,"""Kid""",0,Baltimore,,,,,
minoraverages/Howard,1908,Union Association,hahn,B00515,Hahn,,0,Elizabeth,,,,,
minoraverages/Howard,1908,Union Association,harbusch,B00528,Harbusch,George,0,Brooklyn,,,,,
minoraverages/Howard,1908,Union Association,hargraves,B00531,Hargraves,,0,Washington,,,,,
minoraverages/Howard,1908,Union Association,harrison,B00544,Harrison,,0,Allentown,,,,,
minoraverages/Howard,1908,Union Association,hartman-rea,B00553,Hartman,"Francis A. ""Hartie""",0,Reading,,,,,
minoraverages/Howard,1908,Union Association,hartman-all,B00566,Hartman,(Louis?),0,Allentown,,,,,
minoraverages/Howard,1908,Union Association,henderson,B00577,Henderson,Ed.,0,Paterson,,,,,
minoraverages/Howard,1908,Union Association,hicky,B00589,Hicky,,0,Elizabeth,,,,,
minoraverages/Howard,1908,Union Association,hilley,B00590,Hilley,,0,Allentown,,,,,
