source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1910Spalding,1909,Blue Grass League,adolf,B00783,Adolf,,1,Shelbyville,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,adolf,B00783,Adolf,,2,Lexington,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,adolf,B00783,Adolf,,T,,,,74,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,adolf,F20768,Adolf,,1,Shelbyville,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,adolf,F20768,Adolf,,2,Lexington,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,adolf,F20768,Adolf,,T,,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,allison,B00760,Allison,,0,Shelbyville,,,87,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,allison,F20745,Allison,,0,Shelbyville,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,allison,P10081,Allison,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,alloway,B00577,Alloway,,0,Frankfort,,,8,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,alloway,F20552,Alloway,,0,Frankfort,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,angemier,B00488,Angemier,,0,Frankfort,,,112,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,angemier,F20463,Angemier,,0,Frankfort,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,baird,B00174,Baird,,0,Richmond,,,74,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,baird,F20166,Baird,,0,Richmond,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,baker,B00566,Baker,,1,Frankfort,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,baker,B00566,Baker,,2,Lexington,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Blue Grass League,baker,B00566,Baker,,T,,,,49,,,,,,,,,,,,
