source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1910Spalding,1909,Eastern Carolina League,anderson,B00794,Anderson,,0,Wilson,,,18,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,anderson,F20518,Anderson,,0,Wilson,,,,,,,,,,,,,,18,
minoraverages/1910Spalding,1909,Eastern Carolina League,anderson,P10097,Anderson,,0,Wilson,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,armstrong,B00149,Armstrong,,0,Wilson,,,85,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,armstrong,F20391,Armstrong,,0,Wilson,,,,,,,,,85,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,ashton,B00806,Ashton,,0,Wilmington,,,16,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,ashton,F20594,Ashton,,0,Wilmington,,,,,,,,,,,,,,16,
minoraverages/1910Spalding,1909,Eastern Carolina League,ashton,P10113,Ashton,,0,Wilmington,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,bebe,B00553,Bebe,,0,Fayetteville,,,8,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,bebe,F20807,Bebe,,0,Fayetteville,,,,,,,,,,,,,8,,
minoraverages/1910Spalding,1909,Eastern Carolina League,bird,B00293,Bird,,0,Wilson,,,76,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,bird,F20832,Bird,,0,Wilson,,,,,,,,,,,,,76,,
minoraverages/1910Spalding,1909,Eastern Carolina League,bird,F20886,Bird,,0,Wilson,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,booles,P10121,Booles,,0,Raleigh,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,brandon,B00695,Brandon,,0,Raleigh,,,26,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,brandon,F20612,Brandon,,0,Raleigh,,,,,,,,,,,,,,26,
minoraverages/1910Spalding,1909,Eastern Carolina League,brandon,P10043,Brandon,,0,Raleigh,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,brennan,B00125,Brennan,,0,Wilmington,,,16,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,brennan,F20072,Brennan,,0,Wilmington,,,,,,16,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,brodie,B00101,Brodie,,0,Wilmington,,,80,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,brodie,F20316,Brodie,,0,Wilmington,,,,,,,,,80,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,brumfield,B00502,Brumfield,,0,Raleigh,,,84,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,brumfield,F20287,Brumfield,,0,Raleigh,,,,,,,,84,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,buckingham,B00469,Buckingham,,0,Wilson,,,22,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,buckingham,F20496,Buckingham,,0,Wilson,,,,,,,,,,,,,,23,
minoraverages/1910Spalding,1909,Eastern Carolina League,buckingham,P10168,Buckingham,,0,Wilson,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,burke,B00623,Burke,,0,Rocky Mount,,,39,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,burke,F20240,Burke,,0,Rocky Mount,,,,,,,39,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,bussey,B00811,Bussey,,0,Goldsboro,,,9,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Eastern Carolina League,bussy,F20571,Bussey,,0,Goldsboro,,,,,,,,,,,,,,9,
minoraverages/1910Spalding,1909,Eastern Carolina League,galvin,F20759,Calvin,,0,Fayetteville,,,,,,,,,,,,,77,,
minoraverages/1910Spalding,1909,Eastern Carolina League,clancy,B00822,Clancy,,0,Fayetteville,,,8,,,,,,,,,,,,
