source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00646,Ahring,,0,Dubuque,,,101,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F20303,Ahring,,0,Dubuque,,,,,,90,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00957,Andrews,,0,Springfield,,,55,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F20425,Andrews,,0,Springfield,,,,,,,46,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00609,Backoff,,0,Dubuque,,,134,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F20878,Backoff,,0,Dubuque,,,,,,,,,,,129,,,,
researchers/blau,1909,Illinois-Indiana-Iowa League,,KYYKGGX,Barber,Jack,,Dubuque,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00544,Barkwell,,0,Decatur,,,137,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F20482,Barkwell,,0,Decatur,,,,,,,137,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00999,Bell,R.,0,Springfield,,,16,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F20206,Bell,R.,0,Springfield,,,,,,138,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F21343,Bell,,0,Springfield,,,,,,,,,,,,,,16,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,P10145,Bell,R.,0,Springfield,,,,16,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B01321,Benz,,0,Decatur,,,12,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F21229,Benz,,0,Decatur,,,,,,,,,,,,,,12,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,P10215,Benz,,0,Decatur,,,,12,,,,,,,,,,,
researchers/blau,1909,Illinois-Indiana-Iowa League,,FPRBGNP,Benz,Howard,,Decatur,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00362,Berger,,0,Rock Island,,,137,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F20547,Berger,,0,Rock Island,,,,,,,,137,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F20962,Bertz,,0,Springfield,,,,,,,,,,,,16,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00726,Biltz,,0,Peoria,,,118,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F21013,Biltz,,0,Peoria,,,,,,,,,,,,104,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F21324,Biltz,,0,Peoria,,,,,,,,,,,,,,10,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,P10432,Biltz,,0,Peoria,,,,10,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00667,Blausser,,0,Springfield,,,138,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F20604,Blausser,,0,Springfield,,,,,,,,138,,,,,,,
researchers/blau,1909,Illinois-Indiana-Iowa League,,FHHGQNY,Blausser,Roy,,Springfield,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B01490,Bomar,,0,Decatur,,,16,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F21544,Bomar,,0,Decatur,,,,,,,,,,,,,,11,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,P10348,Bomar,,0,Decatur,,,,11,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B01055,Boucher,,0,Decatur,,,62,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F21760,Boucher,,0,Decatur,,,,,,,,,,,,,51,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B01041,Brown,,0,Cedar Rapids,,,18,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F21840,Brown,,0,Cedar Rapids,,,,,,,,,,,,,10,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00904,Buelow,,0,Dubuque,,,33,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F20458,Buelow,,0,Dubuque,,,,,,,33,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00308,Burns,,0,Decatur,,,101,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00948,Burns,,0,Springfield,,,14,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F20287,Burns,,0,Decatur,,,,,,22,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F20737,Burns,,0,Decatur,,,,,,,,,,55,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F21084,Burns,,0,Springfield,,,,,,,,,,,,14,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F21416,Burns,,0,Decatur,,,,,,,,,,,,,,14,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,P10407,Burns,,0,Decatur,,,,15,,,,,,,,,,,
researchers/blau,1909,Illinois-Indiana-Iowa League,,XDHSNJC,Burns,Albert,,Springfield,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00196,Bush,L.,0,Springfield,,,138,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00397,Caffryn,,0,Peoria,,,37,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,F20924,Caffryn,,0,Peoria,,,,,,,,,,,26,,,,
minoraverages/1910Spalding,1909,Illinois-Indiana-Iowa League,,B00286,Callahan,,0,Springfield,,,132,,,,,,,,,,,,
