source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baerer,B00948,Baerer,,0,Wausau,,,42,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baerer,F20474,Baerer,,0,Wausau,,,,,,,,42,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baertschi,F20956,Baertschi,,0,Superior,,,,,,,,,,,,,,28,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baertschi,P10290,Baertschi,,0,Superior,,,,29,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,bailey,B00021,Bailey,,0,Eau Claire,,,121,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,bailey,F20552,Bailey,,0,Eau Claire,,,,,,,,,121,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baillies,B00912,Baillies,,0,Winona,,,34,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baillies,F21000,Baillies,,0,Winona,,,,,,,,,,,,,,34,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baillies,P10266,Baillies,,0,Winona,,,,36,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baker,B00752,Baker,,1,Superior,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baker,B00752,Baker,,2,Wausau,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baker,B00752,Baker,,T,,,,114,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baker,F20298,Baker,,1,Superior,,,,,,,yes,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baker,F20298,Baker,,2,Wausau,,,,,,,yes,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baker,F20298,Baker,,T,,,,,,,,114,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,bancroft,B00488,Bancroft,,1,Duluth,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,bancroft,B00488,Bancroft,,2,Superior,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,bancroft,B00488,Bancroft,,T,,,,111,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,bancroft,F20375,Bancroft,,0,Superior,,,,,,,,111,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,barlow,B00783,Barlow,,0,La Crosse,,,34,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,barlow,F20014,Barlow,,0,La Crosse,,,,,34,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,benrud,B00651,Benrud,,0,Eau Claire,,,94,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,benrud,F20841,Benrud,,0,Eau Claire,,,,,,,,,43,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,benrud,F21278,Benrud,,0,Eau Claire,,,,,,,,,,,,,51,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baertschi,B00638,Bertschi,,1,Duluth,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baertschi,B00638,Bertschi,,2,Superior,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,baertschi,B00638,Bertschi,,T,,,,28,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,bourgeois,B00130,Bourgeois,,0,Wausau,,,120,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,bourgeois,F20153,Bourgeois,,0,Wausau,,,,,,16,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,bourgeois,F20745,Bourgeois,,0,Wausau,,,,,,,,,102,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,breen,B00158,Breen,,0,Duluth,,,115,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,breen,F20265,Breen,,0,Duluth,,,,,,,102,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,breyette,B00207,Breyette,,0,Eau Claire,,,87,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,breyette,F20369,Breyette,,0,Eau Claire,,,,,,,,87,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,burkhart,B01064,Burkhart,,0,Wausau,,,13,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,burns,B00999,Burns,,1,Wausau,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,burns,B00999,Burns,,2,Winona,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,burns,B00999,Burns,,T,,,,21,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,burns,F21308,Burns,,0,Wausau,,,,,,,,,,,,,12,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,byers,B00726,Byers,,0,Winona,,,27,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,byers,F21158,Byers,,0,Winona,,,,,,,,,,,,,,27,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,byers,P10145,Byers,,0,Winona,,,,28,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,caldwell,B00577,Caldwell,,1,Eau Claire,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,caldwell,B00577,Caldwell,,2,Superior,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,caldwell,B00577,Caldwell,,T,,,,118,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,caldwell,F20316,Caldwell,,1,Eau Claire,,,,,,,yes,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,caldwell,F20316,Caldwell,,2,Superior,,,,,,,yes,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,caldwell,F20316,Caldwell,,T,,,,,,,,104,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,caldwell,F20458,Caldwell,,0,Eau Claire,,,,,,,,10,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,carlislie,B00771,Carlisle,,0,Winona,,,40,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,carlislie,F20784,Carlisle,,0,Winona,,,,,,,,,40,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,casey,B00920,Casey,,0,Wausau,,,24,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,casey,F20254,Casey,,0,Wausau,,,,,,,24,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,cates,B00806,Cates,,0,Winona,,,18,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,cates,F20908,Cates,,0,Winona,,,,,,,,,,,,,,18,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,cates,P10168,Cates,,0,Winona,,,,15,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,clapper,B00125,Clapper,,0,Superior,,,74,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,clapper,F21286,Clapper,,0,Superior,,,,,,,,,,,,,71,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,connell,B00887,Connell,,0,Superior,,,37,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,connell,F20604,Connell,,0,Superior,,,,,,,,,37,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,converse,B01108,Converse,,0,Winona,,,10,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,converse,P10024,Converse,,0,Winona,,,,12,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,cooper,B00286,Cooper,,1,Duluth,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,cooper,B00286,Cooper,,2,Superior,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,cooper,B00286,Cooper,,T,,,,24,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,cooper,F20737,Cooper,,0,Duluth,,,,,,,,,12,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,cooper,F21293,Cooper,,0,Duluth,,,,,,,,,,,,,10,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,corbett,B00854,Corbet,,0,Winona,,,46,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,corbett,F21013,Corbett,,0,Winona,,,,,,,,,,,,,,46,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,corbett,P10121,Corbett,,0,Winona,,,,24,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,crangle,B00149,Crangle,,0,Winona,,,112,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,crangle,F20810,Crangle,,0,Winona,,,,,,,,,112,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,crowe,B00335,Crowe,,1,La Crosse,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,crowe,B00335,Crowe,,2,Superior,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,crowe,B00335,Crowe,,T,,,,58,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,crowe,F20327,Crowe,,1,La Crosse,,,,,,,yes,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,crowe,F20327,Crowe,,2,Superior,,,,,,,yes,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,crowe,F20327,Crowe,,T,,,,,,,,49,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,crowe,F20832,Crowe,,1,La Crosse,,,,,,,,,yes,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,crowe,F20832,Crowe,,2,Superior,,,,,,,,,yes,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,crowe,F20832,Crowe,,T,,,,,,,,,,10,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,cummings,B00747,Cummings,,0,Duluth,,,49,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,cummings,F20505,Cummings,,0,Duluth,,,,,,,,,18,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,cummings,F21084,Cummings,,0,Duluth,,,,,,,,,,,,,,31,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,cummings,P10081,Cummings,,0,Duluth,,,,27,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,curtis,B00232,Curtis,,0,Winona,,,113,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,curtis,F20067,Curtis,,0,Winona,,,,,113,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,daley,B00528,Daley,,0,Winona,,,101,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,daley,F20388,Daley,,0,Winona,,,,,,,,101,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dauss,B00241,Dauss,,0,Duluth,,,50,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dauss,F20547,Dauss,,0,Duluth,,,,,,,,,13,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dauss,F20943,Dauss,,0,Duluth,,,,,,,,,,,,,,37,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dauss,P10056,Dauss,,0,Duluth,,,,33,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dexter,B00718,Dexter,,1,Winona,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dexter,B00718,Dexter,,2,Eau Claire,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dexter,B00718,Dexter,,T,,,,37,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dexter,F20759,Dexter,,1,Winona,,,,,,,,,yes,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dexter,F20759,Dexter,,2,Eau Claire,,,,,,,,,yes,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dexter,F20759,Dexter,,T,,,,,,,,,,18,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dexter,F21232,Dexter,,1,Winona,,,,,,,,,,,,,yes,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dexter,F21232,Dexter,,2,Eau Claire,,,,,,,,,,,,,yes,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dexter,F21232,Dexter,,T,,,,,,,,,,,,,,16,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dolan,B00117,Dolan,,0,Wausau,,,118,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dolan,F20072,Dolan,,0,Wausau,,,,,104,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dolan,F20222,Dolan,,0,Wausau,,,,,,10,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,doll,B00068,Doll,,0,La Crosse,,,40,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,doll,F20287,Doll,,0,La Crosse,,,,,,,40,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,drill,B00059,Drill,,0,Superior,,,43,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,drill,F21207,Drill,,0,Superior,,,,,,,,,,,,,43,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dunbar,B00794,Dunbar,,0,Wausau,,,40,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dunbar,F21059,Dunbar,,0,Wausau,,,,,,,,,,,,,,38,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,dunbar,P10176,Dunbar,,0,Wausau,,,,38,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,eis,B00898,Eis,,0,Eau Claire,,,21,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,eis,F20997,Eis,,0,Eau Claire,,,,,,,,,,,,,,21,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,eis,P10289,Eis,,0,Eau Claire,,,,19,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,everett,B00370,Everett,,0,Wausau,,,60,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Minnesota-Wisconsin League,everett,F20829,Everett,,0,Wausau,,,,,,,,,60,,,,,,
