source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1909/1909-AG,1909,Northeast Arkansas League,allen-mar,P3839376,Allen,,,Marianna,19090730,19090730,1,0,0,0,0,0,1,1,0,0,0,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,allen-mar,P8954521,Allen,,,Marianna,19090726,19090730,4,0,0,0,0,0,4,4,0,0,0,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,allen-jon,P6697689,Allen [Jon],,,Jonesboro,19090729,19090731,2,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,allen-jon,P8284354,Allen [Jon],,,Jonesboro,19090729,19090731,2,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,allen-mar,P3351592,Allen [Mar],,,Marianna,19090729,19090731,2,0,0,0,0,0,2,1,1,0,0,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,allen-mar,P7642097,Allen [Mar],,,Marianna,19090729,19090731,2,0,0,0,0,0,2,1,1,0,0,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,austelle,P2003755,Austelle,,,Newport,19090730,19090730,1,0,1,0,0,0,0,0,0,0,0,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,austelle,P2396660,Austelle,,,Newport,19090730,19090730,1,0,1,0,0,0,0,0,0,0,0,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,bacon,P1324583,Bacon,,,Marianna,19090729,19090731,3,0,0,0,3,0,0,0,0,0,0,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,bacon,P6439728,Bacon,,,Marianna,19090726,19090731,6,0,0,0,6,0,0,0,0,0,0,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,bradford,P2392688,Bradford,,,Newport,19090730,19090730,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,bradford,P2785593,Bradford,,,Newport,19090730,19090730,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,bryant,P5270110,Bryant,,,Jonesboro,19090729,19090731,3,0,0,0,0,0,3,2,0,1,0,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,bryant,P5663015,Bryant,,,Jonesboro,19090729,19090731,3,0,0,0,0,0,3,2,0,1,0,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,campbell,P5023820,Campbell,,,Newport,19090726,19090730,3,2,0,0,0,0,1,1,0,0,0,2,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,campbell,P5416725,Campbell,,,Newport,19090726,19090730,3,2,0,0,0,0,1,1,0,0,0,2,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,copeland,P0971869,Copeland,,,Jonesboro,19090726,19090728,3,0,0,1,1,0,2,0,1,1,0,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,costen,P0576547,Costen,,,Jonesboro,19090726,19090726,1,0,0,0,1,0,1,0,0,1,0,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,crotty@ump,P5004788,Crotty,,,#umpire,19090731,19090731,,,,,,,,,,,,,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,crotty@ump,P5765853,Crotty,,,#umpire,19090731,19090731,,,,,,,,,,,,,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,davidson,P3072727,Dav'son,,,Paragould,19090727,19090727,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,davidson,P4965684,Davidson,,,Paragould,19090726,19090731,6,0,0,0,0,0,0,0,0,0,6,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,davidson,P2839229,Davidson,,,Paragould,19090726,19090731,5,0,0,0,0,0,0,0,0,0,5,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,davis,P7943621,Davis,,,Jonesboro,19090730,19090731,2,1,1,0,0,0,0,0,0,0,0,1,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,davis,P6743406,Davis,,,Jonesboro,19090730,19090731,2,1,1,0,0,0,0,0,0,0,0,1,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,deardorff,P5968475,Deardorff,,,Jonesboro,19090726,19090726,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,deardorff,P5795460,Deardorff,,,Jonesboro,19090726,19090727,2,1,1,0,0,0,1,0,0,1,0,1,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,durdy,P1735293,Derdy,,,Paragould,19090726,19090726,1,0,0,0,0,0,1,1,0,0,0,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,dodge,P1858424,Dodge,,,Newport,19090727,19090728,2,0,0,0,0,0,2,2,0,0,0,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,donaldson,P0721679,Don'son,,,Jonesboro,19090727,19090727,1,0,0,0,0,0,1,1,0,0,0,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,doty,P2701764,Doty,,,Marianna,19090726,19090731,6,0,0,0,0,0,0,0,0,0,6,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,doty,P3462829,Doty,,,Marianna,19090726,19090731,6,0,0,0,0,0,0,0,0,0,6,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,duncan,P2155760,Duncan,,,Jonesboro,19090726,19090726,1,0,0,0,0,1,0,0,0,0,0,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,duncan,P0256515,Dunklin,,,Jonesboro,19090729,19090731,3,0,0,0,0,3,0,0,0,0,0,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,duncan,P3222380,Dunklin,,,Jonesboro,19090727,19090731,5,0,0,1,0,4,1,0,1,0,0,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,durdy,P1695757,Durdy,,,Paragould,19090727,19090728,2,0,0,0,0,0,2,1,0,2,0,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,ellis,P0297767,Ellis,,,Jonesboro,19090729,19090730,2,2,0,0,0,0,1,1,0,0,0,2,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,ellis,P9097552,Ellis,,,Jonesboro,19090729,19090730,2,2,0,0,0,0,1,1,0,0,0,2,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,farabee@ump,P1654357,Farabee,,,#umpire,19090729,19090729,,,,,,,,,,,,,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,farabee@ump,P6769502,Farabee,,,#umpire,19090729,19090729,,,,,,,,,,,,,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,finger,P7494535,Finger,,,Newport,19090729,19090731,3,1,0,0,0,0,2,0,0,2,0,1,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,finger,P2609680,Finger,,,Newport,19090729,19090731,3,1,0,0,0,0,2,0,0,2,0,1,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,francis,P0217647,Frances,,,Marianna,19090726,19090726,1,0,0,0,0,0,1,0,0,1,0,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,francis,P4732010,Francis,,,Marianna,19090729,19090731,3,1,0,0,0,0,3,0,0,3,0,1,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,francis,P5124915,Francis,,,Marianna,19090727,19090731,5,1,0,0,0,0,5,0,0,5,0,1,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,gallagher,P7954883,Gallagher,,,Paragould,19090729,19090731,3,1,2,0,0,0,0,0,0,0,0,1,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,gallagher,P7781868,Gallagher,,,Paragould,19090729,19090731,3,1,2,0,0,0,0,0,0,0,0,1,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,garber,P5529473,Garber,,,Jonesboro,19090730,19090730,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,garber,P5922378,Garber,,,Jonesboro,19090730,19090730,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1909/1909-AG,1909,Northeast Arkansas League,garrison,P1271049,Garrison,,,Marianna,19090729,19090731,3,0,3,0,0,0,0,0,0,0,0,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,garrison,P4236914,Garrison,,,Marianna,19090726,19090731,5,0,5,0,0,0,0,0,0,0,0,0,
boxscores/1909/1909-MCA,1909,Northeast Arkansas League,garrison,P0294080,Garrisonn,,,Marianna,19090728,19090728,1,0,1,0,0,0,0,0,0,0,0,0,
