source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,abbott,B00651,Abbott,,0,New Castle,,,108,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,abbott,F20636,Abbott,,0,New Castle,,,,,of108
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,agler,B00264,Agler,,0,Canton,,,117,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,agler,F20072,Agler,,0,Canton,,,,,1b117
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,bailey,B00084,Bailey,,0,Canton,,,74,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,bailey,F20571,Bailey,,0,Canton,,,,,of74
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,bair,B00381,Bair,,0,Steubenville,,,91,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,bair,F20759,Bair,,0,Steubenville,,,,,p91
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,bair,P10184,Bair,,0,Steubenville,,,,27,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,barton,B00434,Barton,,0,New Castle,,,122,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,barton,F20401,Barton,,0,New Castle,,,,,ss122
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,beatty,B00442,Beatty,,1,Erie,,,,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,beatty,B00442,Beatty,,2,McKeesport,,,,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,beatty,B00442,Beatty,,T,,,,27,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,beatty,F20962,Beatty,,0,Erie,,,,,p27
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,beatty,P10253,Beatty,,1,Erie,,,,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,beatty,P10253,Beatty,,2,McKeesport,,,,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,beatty,P10253,Beatty,,T,,,,,26,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,begley,B00158,Begley,,0,Steubenville,,,27,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,begley,F20051,Begley,,0,Steubenville,,,,,1b27
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,belinke,B00475,Belinke,,0,McKeesport,,,33,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,belinke,F21158,Belinke,,0,McKeesport,,,,,c33
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,biever,P10244,Biever,,0,McKeesport,,,,12,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,bradley,B00125,Bradley,,0,New Castle,,,117,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,bradley,F21163,Bradley,,0,New Castle,,,,,c117
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,braun,B00747,Braun,,0,Youngstown,,,25,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,braun,F21196,Braun,,0,Youngstown,,,,,c25
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,broderick,B00324,Broderick,,1,Akron,,,,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,broderick,B00324,Broderick,,2,Erie,,,,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,broderick,B00324,Broderick,,T,,,,116,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,broderick,F20388,Broderick,,1,Akron,,,,,ss.
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,broderick,F20388,Broderick,,2,Erie,,,,,ss.
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,broderick,F20388,Broderick,,T,,,,,,ss116
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,burkett,B00822,Burkett,,0,Steubenville,,,45,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,burkett,F21013,Burkett,,0,Steubenville,,,,,p45
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,burkett,P10312,Burkett,,0,Steubenville,,,,33,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,camnitz,B01078,Camnitz,,0,McKeesport,,,39,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,camnitz,F20970,Camnitz,,0,McKeesport,,,,,p39
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,camnitz,P10024,Camnitz,,0,McKeesport,,,,39,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,campbell,B00182,Campbell,,0,Erie,,,91,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,campbell,F20240,Campbell,,0,Erie,,,,,2b91
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,carroll,B00752,Carroll,,0,Akron,,,44,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,carroll,F20981,Carroll,,0,Akron,,,,,p44
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,carroll,P10035,Carroll,,0,Akron,,,,39,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,cefula,B01029,Cefula,,0,East Liverpool,,,49,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,cefula,F20878,Cefula,,0,East Liverpool,,,,,p49
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,cefula,P10056,Cefula,,0,East Liverpool,,,,34,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,clark,B01216,Clark,,1,Erie,,,,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,clark,B01216,Clark,,2,New Castle,,,,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,clark,B01216,Clark,,T,,,,21,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,clark,F21021,Clark,,0,Erie,,,,,p21
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,clark,P10231,Clark,,0,Erie,,,,22,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,clever,B00427,Clever,,0,Steubenville,,,114,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,clever,F20206,Clever,,0,Steubenville,,,,,2b114
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,conway,B00210,Conway,,0,Youngstown,,,65,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,conway,F20700,Conway,,0,Youngstown,,,,,of65
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,cooper,B00278,Cooper,,0,Akron,,,108,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,cooper,F20458,Cooper,,0,Akron,,,,,of108
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,crane,B00059,Crane,,0,Youngstown,,,32,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,crane,F20046,Crane,,0,Youngstown,,,,,1b32
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,croft,B01064,Croft,,0,New Castle,,,45,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,croft,F20908,Croft,,0,New Castle,,,,,p45
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,croft,P10289,Croft,,0,New Castle,,,,38,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,crompton,B00469,Crompton,,0,New Castle,,,119,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,crompton,F20648,Crompton,,0,New Castle,,,,,of119
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,cullen,B00638,Cullen,,0,McKeesport,,,117,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,cullen,F20233,Cullen,,0,McKeesport,,,,,2b117
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,cummings,B00553,Cummings,,0,New Castle,,,105,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,cummings,F20190,Cummings,,0,New Castle,,,,,2b105
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,curtis,B00101,Curtis,,0,East Liverpool,,,120,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,curtis,F20661,Curtis,,0,East Liverpool,,,,,of120
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,davidson,B00760,Davidson,,0,McKeesport,,,38,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,davidson,F20539,Davidson,,0,McKeesport,,,,,of38
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,davis,B00403,Davis,,0,Erie,,,114,,
minoraverages/1910Spalding,1909,Ohio-Pennsylvania League,davis,F20463,Davis,,0,Erie,,,,,of114
