source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
boxscores/1909/1909-AG,1909,Southern Association,allen-lr,P0903932,Allen,,,Little Rock,19090623,19090623,1,1,p1
boxscores/1909/1909-AG,1909,Southern Association,allen,P3262935,Allen,,,Mobile,19090828,19090918,7,6,"p6,of1,rf1"
boxscores/1909/1909-MCA,1909,Southern Association,allen-lr,P3351237,Allen,,,Little Rock,19090623,19090623,1,1,p1
boxscores/1909/1909-MCA,1909,Southern Association,allen,P8760320,Allen,,,Mobile,19090828,19090918,7,6,"p6,of1,rf1"
minoraverages/1910Reach,1909,Southern Association,allen,B01546,Allen,,0,Mobile,,,5,,
minoraverages/1910Reach,1909,Southern Association,allen,F21667,Allen,,0,Mobile,,,,,p5
minoraverages/1910Reach,1909,Southern Association,allen,P10493,Allen,,0,Mobile,,,,5,
boxscores/1909/1909-AG,1909,Southern Association,atkins,P7295330,Atkins,,,Atlanta,19090417,19090915,34,34,p34
boxscores/1909/1909-MCA,1909,Southern Association,atkins,P3947595,Atkins,,,Atlanta,19090417,19090915,34,34,p34
minoraverages/1910Reach,1909,Southern Association,atkins,B00811,Atkins,,0,Atlanta,,,34,,
minoraverages/1910Reach,1909,Southern Association,atkins,F21158,Atkins,,0,Atlanta,,,,,p34
minoraverages/1910Reach,1909,Southern Association,atkins,P10056,Atkins,,0,Atlanta,,,,32,
boxscores/1909/1909-MCA,1909,Southern Association,buchanan,P7988554,B'chnan,,,Little Rock,19090913,19090913,1,0,"of1,rf1"
boxscores/1909/1909-MCA,1909,Southern Association,buchanan,P1573352,B'hanan,,,Little Rock,19090720,19090720,1,0,"of1,rf1"
boxscores/1909/1909-MCA,1909,Southern Association,baerwald,P1193586,B'rwald,,,Memphis,19090531,19090531,1,0,"of1,rf1"
boxscores/1909/1909-MCA,1909,Southern Association,breitenstein,P3993711,B'teinst'n,,,New Orleans,19090605,19090605,1,0,"of1,cf1"
boxscores/1909/1909-MCA,1909,Southern Association,breitenstein,P4406918,B'tenst'n,,,New Orleans,19090606,19090825,2,0,"of1,cf1"
boxscores/1909/1909-AG,1909,Southern Association,babb,P6421165,Babb,,,Memphis,19090415,19090918,118,0,"1b1,3b38,ss78"
boxscores/1909/1909-MCA,1909,Southern Association,babb,P1918550,Babb,,,Memphis,19090415,19090918,120,0,"1b3,3b37,ss79"
minoraverages/1910Reach,1909,Southern Association,babb,B00502,Babb,,0,Memphis,,,124,,
minoraverages/1910Reach,1909,Southern Association,babb,F20388,Babb,,0,Memphis,,,,,3b41
minoraverages/1910Reach,1909,Southern Association,babb,F20496,Babb,,0,Memphis,,,,,ss80
boxscores/1909/1909-MCA,1909,Southern Association,baerwald,P4595425,Baer'ald,,,Memphis,19090705,19090705,1,0,"of1,rf1"
boxscores/1909/1909-MCA,1909,Southern Association,baerwald,P5671808,Baer'ld,,,Memphis,19090727,19090727,1,0,"of1,rf1"
