source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1910Spalding,1909,Texas League,ables,B00794,Ables,,0,San Antonio,,,40,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,ables,F21229,Ables,,0,San Antonio,,,,,,,,,,,,,,40,
minoraverages/1910Spalding,1909,Texas League,ables,P10100,Ables,,0,San Antonio,,,,36,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,adams,F21771,Adams,,0,San Antonio,,,,,,,,,,,,,11,,
minoraverages/1910Spalding,1909,Texas League,alexander,B00912,Alexander,,0,San Antonio,,,112,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,alexander,F21752,Alexander,,0,San Antonio,,,,,,,,,,,,,67,,
minoraverages/1910Spalding,1909,Texas League,andrews,B00092,Andrews,,0,Oklahoma City,,,77,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,andrews,F20391,Andrews,,0,Oklahoma City,,,,,,,77,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,badger,B00760,Badger,,1,Galveston,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,badger,B00760,Badger,,2,Houston,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,badger,B00760,Badger,,T,,,,145,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,badger,F20102,Badger,,1,Galveston,,,,,yes,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,badger,F20102,Badger,,2,Houston,,,,,yes,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,badger,F20102,Badger,,T,,,,,,80,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,badger,F20458,Badger,,1,Galveston,,,,,,,yes,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,badger,F20458,Badger,,2,Houston,,,,,,,yes,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,badger,F20458,Badger,,T,,,,,,,,65,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bandy,B01010,Bandy,,0,Oklahoma City,,,58,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bandy,F20878,Bandy,,0,Oklahoma City,,,,,,,,,,,11,,,,
minoraverages/1910Spalding,1909,Texas League,bandy,F21335,Bandy,,0,Oklahoma City,,,,,,,,,,,,,,58,
minoraverages/1910Spalding,1909,Texas League,bandy,P10202,Bandy,,0,Oklahoma City,,,,46,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,barenkamp,B01337,Barenkamp,,0,Waco,,,33,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,barenkamp,F21528,Barenkamp,,0,Waco,,,,,,,,,,,,,,33,
minoraverages/1910Spalding,1909,Texas League,barenkamp,P10478,Barenkamp,,0,Waco,,,,29,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bastian,B00475,Bastian,,0,San Antonio,,,133,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bastian,F20115,Bastian,,0,San Antonio,,,,,133,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bauer,B01029,Bauer,,0,Shreveport,,,28,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bauer,F21278,Bauer,,0,Shreveport,,,,,,,,,,,,,,28,
minoraverages/1910Spalding,1909,Texas League,bauer,P10253,Bauer,,0,Shreveport,,,,23,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,beeker,B01345,Beeker,,0,Shreveport,,,28,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,beeker,F21182,Beeker,,0,Shreveport,,,,,,,,,,,,,,28,
minoraverages/1910Spalding,1909,Texas League,beeker,P10361,Beeker,,0,Shreveport,,,,28,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bell,B00370,Bell,,1,Houston,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bell,B00370,Bell,,2,Oklahoma City,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bell,B00370,Bell,,T,,,,86,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bell,F20316,Bell,,0,Oklahoma City,,,,,,51,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bell,F20721,Bell,,1,Houston,,,,,,,,yes,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bell,F20721,Bell,,2,Oklahoma City,,,,,,,,yes,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bell,F20721,Bell,,T,,,,,,,,,30,,,,,,,
minoraverages/1910Spalding,1909,Texas League,besse,B00695,Besse,,0,Shreveport,,,19,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,besse,F20864,Besse,,0,Shreveport,,,,,,,,,,19,,,,,
researchers/blau,1909,Texas League,*blackburn,PFZKDND,Blackburn,Joe,,Shreveport,,,,,,,,,,,,,,,
researchers/blau,1909,Texas League,*blackburn,SDVMMBD,Blackburn,Roscoe,,Shreveport,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,blakely,F21076,Blakeley,,0,Houston,,,,,,,,,,,,90,,,
minoraverages/1910Spalding,1909,Texas League,blakely,B00117,Blakely,,0,Houston,,,90,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,blakeney,B01477,Blakeney,,1,Houston,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,blakeney,B01477,Blakeney,,2,Shreveport,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,blakeney,B01477,Blakeney,,3,Waco,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,blakeney,B01477,Blakeney,,T,,,,20,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,blakeney,F21488,Blakeney,,1,Houston,,,,,,,,,,,,,,yes,
minoraverages/1910Spalding,1909,Texas League,blakeney,F21488,Blakeney,,2,Shreveport,,,,,,,,,,,,,,yes,
minoraverages/1910Spalding,1909,Texas League,blakeney,F21488,Blakeney,,3,Waco,,,,,,,,,,,,,,yes,
minoraverages/1910Spalding,1909,Texas League,blakeney,F21488,Blakeney,,T,,,,,,,,,,,,,,,20,
minoraverages/1910Spalding,1909,Texas League,blakeney,P10290,Blakeney,,1,Houston,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,blakeney,P10290,Blakeney,,2,Shreveport,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,blakeney,P10290,Blakeney,,3,Waco,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,blakeney,P10290,Blakeney,,T,,,,,19,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,booles,B00515,Booles,,0,Shreveport,,,26,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,booles,F21381,Booles,,0,Shreveport,,,,,,,,,,,,,,26,
minoraverages/1910Spalding,1909,Texas League,booles,P10266,Booles,,0,Shreveport,,,,19,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bradford,B01291,Bradford,,1,San Antonio,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bradford,B01291,Bradford,,2,Galveston,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bradford,B01291,Bradford,,T,,,,18,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bradford,F21609,Bradford,,1,San Antonio,,,,,,,,,,,,,,yes,
minoraverages/1910Spalding,1909,Texas League,bradford,F21609,Bradford,,2,Galveston,,,,,,,,,,,,,,yes,
minoraverages/1910Spalding,1909,Texas League,bradford,F21609,Bradford,,T,,,,,,,,,,,,,,,18,
minoraverages/1910Spalding,1909,Texas League,bradford,P10455,Bradford,,1,San Antonio,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bradford,P10455,Bradford,,2,Galveston,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Texas League,bradford,P10455,Bradford,,T,,,,,17,,,,,,,,,,,
