source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1910Spalding,1909,Tri-State League,,B00985,Agnew,,0,York,,,114,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01538,Agnew,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03327,Agnew,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03864,Agnew,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B04219,Agnew,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20166,Agnew,,0,York,,,,,,79,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20449,Agnew,,0,York,,,,,,,,35,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00403,Anthony,,0,Harrisburg,,,56,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02035,Anthony,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02930,Anthony,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B04568,Anthony,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20222,Anthony,,0,Harrisburg,,,,,,33,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20886,Anthony,,1,York,,,,,,,,,yes,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20886,Anthony,,2,Harrisburg,,,,,,,,,yes,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20886,Anthony,,T,,,,,,,,,,22,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00059,Ayres,,0,Altoona,,,52,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01682,Ayres,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02860,Ayres,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03594,Ayres,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20745,Ayres,,0,Altoona,,,,,,,,,47,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00898,Baker,,0,Altoona,,,116,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01947,Baker,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03190,Baker,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B04139,Baker,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20425,Baker,,0,Altoona,,,,,,,,113,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01234,Barr,,0,Johnstown,,,25,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02289,Barr,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03401,Barr,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B04105,Barr,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20496,Barr,,0,Johnstown,,,,,,,,25,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00125,Barthold,,0,Reading,,,59,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01754,Barthold,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03046,Barthold,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20685,Barthold,,0,Reading,,,,,,,,,18,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20919,Barthold,,0,Reading,,,,,,,,,,,,,,41,
minoraverages/1910Spalding,1909,Tri-State League,,P10121,Barthold,,0,Reading,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00319,Barton,,0,Reading,,,105,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01300,Barton,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02569,Barton,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03430,Barton,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B04183,Barton,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20240,Barton,,0,Reading,,,,,,32,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F21293,Barton,,0,Reading,,,,,,,,,,,,,64,,
minoraverages/1910Spalding,1909,Tri-State League,,B00794,Becker,,0,Reading,,,22,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F21037,Becker,,0,Reading,,,,,,,,,,,,,,22,
minoraverages/1910Spalding,1909,Tri-State League,,P10228,Becker,,0,Reading,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01216,Boultes,,0,Johnstown,,,30,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02410,Boultes,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20908,Boultes,,0,Johnstown,,,,,,,,,,,,,,19,
minoraverages/1910Spalding,1909,Tri-State League,,P10244,Boultes,,0,Johnstown,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00739,Braun,,0,Trenton,,,67,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01706,Braun,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02795,Braun,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F21335,Braun,,0,Trenton,,,,,,,,,,,,,62,,
minoraverages/1910Spalding,1909,Tri-State League,,B00286,Bressler,,0,Trenton,,,19,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01971,Bressler,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20539,Bressler,,0,Trenton,,,,,,,,,16,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00705,Britton,,0,Williamsport,,,37,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02056,Britton,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03388,Britton,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03997,Britton,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F21000,Britton,,0,Williamsport,,,,,,,,,,,,,,35,
minoraverages/1910Spalding,1909,Tri-State League,,P10097,Britton,,0,Williamsport,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01227,Brittsen,,0,Lancaster,,,27,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02277,Brittsen,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F21045,Brittsen,,0,Lancaster,,,,,,,,,,,,,,27,
minoraverages/1910Spalding,1909,Tri-State League,,P10024,Brittsen,,0,Lancaster,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00553,Brown,,0,Trenton,,,113,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01431,Brown,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02709,Brown,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03924,Brown,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B04147,Brown,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20067,Brown,,0,Trenton,,,,,113,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B04311,Cannel,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00037,Cannell,,0,Williamsport,,,116,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01453,Cannell,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02441,Cannell,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03547,Cannell,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20661,Cannell,,0,Williamsport,,,,,,,,,116,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00278,Clark,,0,Trenton,,,71,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01551,Clark,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02746,Clark,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03745,Clark,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20841,Clark,,0,Trenton,,,,,,,,,71,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00045,Clay,,0,Reading,,,114,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01313,Clay,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02606,Clay,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03648,Clay,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B04262,Clay,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20648,Clay,,0,Reading,,,,,,,,,114,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00343,Clayton,,1,Altoona,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00343,Clayton,,2,Reading,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00343,Clayton,,T,,,,109,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01601,Clayton,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02974,Clayton,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03721,Clayton,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B04224,Clayton,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20254,Clayton,,1,Altoona,,,,,,yes,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20254,Clayton,,2,Reading,,,,,,yes,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20254,Clayton,,T,,,,,,,105,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00264,Conn,,0,Williamsport,,,100,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01489,Conn,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02527,Conn,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03425,Conn,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20211,Conn,,0,Williamsport,,,,,,100,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00397,Coughlin,,0,Williamsport,,,88,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01509,Coughlin,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02982,Coughlin,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B04387,Coughlin,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20279,Coughlin,,0,Williamsport,,,,,,,88,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01143,Coutts,,0,Altoona,,,27,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02231,Coutts,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B04096,Coutts,,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,F20759,Coutts,,0,Altoona,,,,,,,,,27,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00232,Coveleskie,J.,0,Lancaster,,,113,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B00920,Coveleskie,S.,0,Lancaster,,,43,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B01392,Coveleskie,J.,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02137,Coveleskie,S.,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B02687,Coveleskie,J.,0,all,,,,,,,,,,,,,,,
minoraverages/1910Spalding,1909,Tri-State League,,B03287,Coveleskie,S.,0,all,,,,,,,,,,,,,,,
