source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1910Spalding,1909,Western Association,adkins,B00531,Ackins,,0,Guthrie,,,22,,
minoraverages/1910Spalding,1909,Western Association,addington,B01119,Addington,,0,El Reno,,,25,,
minoraverages/1910Spalding,1909,Western Association,addington,F20298,Addington,,0,El Reno,,,,,2b25
minoraverages/1910Spalding,1909,Western Association,adkins,F20661,Adkins,,0,Guthrie,,,,,ss22
minoraverages/1910Spalding,1909,Western Association,alford,B00822,Alford,,0,Pittsburg,,,91,,
minoraverages/1910Spalding,1909,Western Association,alford,F20547,Alford,,0,Pittsburg,,,,,ss91
minoraverages/1910Spalding,1909,Western Association,allen,B00450,Allen,,0,Enid,,,108,,
minoraverages/1910Spalding,1909,Western Association,allen,F21680,Allen,,0,Enid,,,,,c108
minoraverages/1910Spalding,1909,Western Association,anderson,B00566,Anderson,,0,Guthrie,,,57,,
minoraverages/1910Spalding,1909,Western Association,anderson,F20463,Anderson,,1,Bartlesville,,,,,3b.
minoraverages/1910Spalding,1909,Western Association,anderson,F20463,Anderson,,2,Guthrie,,,,,3b.
minoraverages/1910Spalding,1909,Western Association,anderson,F20463,Anderson,,T,,,,,,3b54
minoraverages/1910Spalding,1909,Western Association,ashley,B01234,Ashley,,0,Enid,,,35,,
minoraverages/1910Spalding,1909,Western Association,ashley,F21488,Ashley,,0,Enid,,,,,p35
minoraverages/1910Spalding,1909,Western Association,ashley,P10024,Ashley,,0,Enid,,,,29,
minoraverages/1910Spalding,1909,Western Association,ballenti,B00293,Ballenti,,0,El Reno,,,43,,
minoraverages/1910Spalding,1909,Western Association,ballenti,F20784,Ballenti,,0,El Reno,,,,,of43
minoraverages/1910Spalding,1909,Western Association,balliett,B00760,Balliett,,1,Enid,,,,,
minoraverages/1910Spalding,1909,Western Association,balliett,B00760,Balliett,,2,Bartlesville,,,,,
minoraverages/1910Spalding,1909,Western Association,balliett,B00760,Balliett,,T,,,,38,,
minoraverages/1910Spalding,1909,Western Association,balliett,F21502,Balliett,,1,Enid,,,,,p.
minoraverages/1910Spalding,1909,Western Association,balliett,F21502,Balliett,,2,Bartlesville,,,,,p.
minoraverages/1910Spalding,1909,Western Association,balliett,F21502,Balliett,,T,,,,,,p38
minoraverages/1910Spalding,1909,Western Association,balliett,P10228,Balliett,,1,Enid,,,,,
minoraverages/1910Spalding,1909,Western Association,balliett,P10228,Balliett,,2,Bartlesville,,,,,
minoraverages/1910Spalding,1909,Western Association,balliett,P10228,Balliett,,T,,,,,36,
minoraverages/1910Spalding,1909,Western Association,barber,B00434,Barber,,0,Bartlesville,,,61,,
minoraverages/1910Spalding,1909,Western Association,barber,F20700,Barber,,0,Bartlesville,,,,,of13
minoraverages/1910Spalding,1909,Western Association,barber,F21174,Barber,,0,Bartlesville,,,,,p34
minoraverages/1910Spalding,1909,Western Association,barber,P10043,Barker,,0,Bartlesville,,,,23,
minoraverages/1910Spalding,1909,Western Association,beckenbaugh,F21475,Beckenbaugh,,0,El Reno,,,,,p12
minoraverages/1910Spalding,1909,Western Association,beckenbaugh,P10357,Beckenbaugh,,0,El Reno,,,,15,
minoraverages/1910Spalding,1909,Western Association,bell,B01093,Bell,,0,Pittsburg,,,29,,
minoraverages/1910Spalding,1909,Western Association,bell,F21255,Bell,,0,Pittsburg,,,,,p29
minoraverages/1910Spalding,1909,Western Association,bell,P10244,Bell,,0,Pittsburg,,,,23,
minoraverages/1910Spalding,1909,Western Association,bentley,B01300,Bentley,,0,Enid,,,41,,
minoraverages/1910Spalding,1909,Western Association,bentley,F21232,Bentley,,0,Enid,,,,,p36
minoraverages/1910Spalding,1909,Western Association,bentley,P10168,Bentley,,0,Enid,,,,36,
minoraverages/1910Spalding,1909,Western Association,besse,B00488,Besse,,0,Muskogee,,,25,,
minoraverages/1910Spalding,1909,Western Association,besse,F20023,Besse,,0,Muskogee,,,,,1b10
minoraverages/1910Spalding,1909,Western Association,besse,F21130,Besse,,0,Muskogee,,,,,of15
minoraverages/1910Spalding,1909,Western Association,bilger,B01143,Bilger,,1,El Reno,,,,,
minoraverages/1910Spalding,1909,Western Association,bilger,B01143,Bilger,,2,Pittsburg,,,,,
minoraverages/1910Spalding,1909,Western Association,bilger,B01143,Bilger,,3,Bartlesville,,,,,
minoraverages/1910Spalding,1909,Western Association,bilger,B01143,Bilger,,T,,,,67,,
minoraverages/1910Spalding,1909,Western Association,bilger,F20425,Bilger,,1,El Reno,,,,,3b.
minoraverages/1910Spalding,1909,Western Association,bilger,F20425,Bilger,,2,Pittsburg,,,,,3b.
minoraverages/1910Spalding,1909,Western Association,bilger,F20425,Bilger,,T,,,,,,3b67
minoraverages/1910Spalding,1909,Western Association,blank,B00680,Blank,,0,Guthrie,,,24,,
minoraverages/1910Spalding,1909,Western Association,blank,F21125,Blank,,1,Guthrie,,,,,of.
minoraverages/1910Spalding,1909,Western Association,blank,F21125,Blank,,2,Springfield,,,,,of.
minoraverages/1910Spalding,1909,Western Association,blank,F21125,Blank,,T,,,,,,of11
minoraverages/1910Spalding,1909,Western Association,blank,F21752,Blank,,1,Springfield,,,,,c.
minoraverages/1910Spalding,1909,Western Association,blank,F21752,Blank,,2,Guthrie,,,,,c.
minoraverages/1910Spalding,1909,Western Association,blank,F21752,Blank,,T,,,,,,c10
minoraverages/1910Spalding,1909,Western Association,bowman,B00308,Bowman,,0,Enid,,,118,,
minoraverages/1910Spalding,1909,Western Association,bowman,F20222,Bowman,,0,Enid,,,,,2b119
minoraverages/1910Spalding,1909,Western Association,beckenbaugh,B01376,Breckenbaugh,,0,El Reno,,,12,,
minoraverages/1910Spalding,1909,Western Association,brennan,B01064,Brennan,,0,Springfield,,,49,,
minoraverages/1910Spalding,1909,Western Association,brennan,F21667,Brennan,,0,Springfield,,,,,c49
minoraverages/1910Spalding,1909,Western Association,brooks,B00130,Brooks,,0,Enid,,,121,,
minoraverages/1910Spalding,1909,Western Association,brooks,F21021,Brooks,,0,Enid,,,,,of121
minoraverages/1910Spalding,1909,Western Association,brown-sal,B00544,Brown,,0,Sapulpa,,,38,,
minoraverages/1910Spalding,1909,Western Association,brown-er+bar,B01086,Brown,,1,El Reno,,,,,
minoraverages/1910Spalding,1909,Western Association,brown-er+bar,B01086,Brown,,2,Bartlesville,,,,,
minoraverages/1910Spalding,1909,Western Association,brown-er+bar,B01086,Brown,,T,,,,99,,
minoraverages/1910Spalding,1909,Western Association,brown-sal,F21726,Brown,D.,0,Sapulpa,,,,,c38
minoraverages/1910Spalding,1909,Western Association,brown-er+bar,F21747,Brown,L.,1,El Reno,,,,,c.
minoraverages/1910Spalding,1909,Western Association,brown-er+bar,F21747,Brown,L.,2,Bartlesville,,,,,c.
minoraverages/1910Spalding,1909,Western Association,brown-er+bar,F21747,Brown,L.,T,,,,,,c99
minoraverages/1910Spalding,1909,Western Association,buckles,B00577,Buckles,,0,Muskogee,,,78,,
minoraverages/1910Spalding,1909,Western Association,buckles,F20240,Buckles,,0,Muskogee,,,,,2b53
minoraverages/1910Spalding,1909,Western Association,buckles,F20759,Buckles,,0,El Reno,,,,,of20
minoraverages/1910Spalding,1909,Western Association,buckles,F21718,Buckles,,1,El Reno,,,,,c.
minoraverages/1910Spalding,1909,Western Association,buckles,F21718,Buckles,,2,Muskogee,,,,,c.
minoraverages/1910Spalding,1909,Western Association,buckles,F21718,Buckles,,T,,,,,,c11
minoraverages/1910Spalding,1909,Western Association,burgess,B01029,Burgess,,0,Springfield,,,51,,
minoraverages/1910Spalding,1909,Western Association,burgess,F21356,Burgess,,1,Springfield,,,,,p.
minoraverages/1910Spalding,1909,Western Association,burgess,F21356,Burgess,,2,El Reno,,,,,p.
minoraverages/1910Spalding,1909,Western Association,burgess,F21356,Burgess,,T,,,,,,p51
minoraverages/1910Spalding,1909,Western Association,burgess,P10348,Burgess,,1,Springfield,,,,,
minoraverages/1910Spalding,1909,Western Association,burgess,P10348,Burgess,,2,El Reno,,,,,
minoraverages/1910Spalding,1909,Western Association,burgess,P10348,Burgess,,T,,,,,33,
minoraverages/1910Spalding,1909,Western Association,burns,B00229,Burns,,0,El Reno,,,107,,
minoraverages/1910Spalding,1909,Western Association,burns,F20128,Burns,,0,El Reno,,,,,1b107
minoraverages/1910Spalding,1909,Western Association,carruthers,B00469,Carruthers,,0,Bartlesville,,,11,,
minoraverages/1910Spalding,1909,Western Association,carruthers,F20829,Carruthers,,0,Guthrie,,,,,of11
minoraverages/1910Spalding,1909,Western Association,cavett,F21531,Cavett,,0,Muskogee,,,,,p39
minoraverages/1910Spalding,1909,Western Association,cavett,P10266,Cavett,,0,Muskogee,,,,36,
minoraverages/1910Spalding,1909,Western Association,cavett,B01010,Cavette,,0,Muskogee,,,39,,
minoraverages/1910Spalding,1909,Western Association,clifton,B00771,Clifton,,0,Guthrie,,,95,,
minoraverages/1910Spalding,1909,Western Association,clifton,F21566,Clifton,,0,Guthrie,,,,,c95
minoraverages/1910Spalding,1909,Western Association,cochrane,B01124,Cochrane,,0,Bartlesville,,,19,,
minoraverages/1910Spalding,1909,Western Association,cochrane,F21158,Cochrane,,1,El Reno,,,,,of.
minoraverages/1910Spalding,1909,Western Association,cochrane,F21158,Cochrane,,2,Bartlesville,,,,,of.
minoraverages/1910Spalding,1909,Western Association,cochrane,F21158,Cochrane,,T,,,,,,of19
minoraverages/1910Spalding,1909,Western Association,cole,B00973,Cole,,0,Springfield,,,125,,
minoraverages/1910Spalding,1909,Western Association,cole,F21076,Cole,,0,Springfield,,,,,of125
minoraverages/1910Spalding,1909,Western Association,cooley,B00515,Cooley,,0,Guthrie,,,27,,
minoraverages/1910Spalding,1909,Western Association,cooley,F20417,Cooley,,0,Guthrie,,,,,3b27
minoraverages/1910Spalding,1909,Western Association,crutcher,B01156,Crutcher,,1,Muskogee,,,,,
minoraverages/1910Spalding,1909,Western Association,crutcher,B01156,Crutcher,,2,Sapulpa,,,,,
minoraverages/1910Spalding,1909,Western Association,crutcher,B01156,Crutcher,,T,,,,23,,
minoraverages/1910Spalding,1909,Western Association,crutcher,F21293,Crutcher,,1,Muskogee,,,,,p.
minoraverages/1910Spalding,1909,Western Association,crutcher,F21293,Crutcher,,2,Sapulpa,,,,,p.
minoraverages/1910Spalding,1909,Western Association,crutcher,F21293,Crutcher,,T,,,,,,p23
minoraverages/1910Spalding,1909,Western Association,crutcher,P10336,Crutcher,,1,Muskogee,,,,,
minoraverages/1910Spalding,1909,Western Association,crutcher,P10336,Crutcher,,2,Sapulpa,,,,,
minoraverages/1910Spalding,1909,Western Association,crutcher,P10336,Crutcher,,T,,,,,17,
minoraverages/1910Spalding,1909,Western Association,dalrymple,B00667,Dalrymple,,0,Muskogee,,,38,,
minoraverages/1910Spalding,1909,Western Association,dalrymple,F20878,Dalrymple,,0,Muskogee,,,,,of38
minoraverages/1910Spalding,1909,Western Association,daniels,B01321,Daniels,,0,Bartlesville,,,31,,
minoraverages/1910Spalding,1909,Western Association,daniels,F21515,Daniels,,0,Bartlesville,,,,,p31
minoraverages/1910Spalding,1909,Western Association,daniels,P10289,Daniels,,0,Bartlesville,,,,29,
minoraverages/1910Spalding,1909,Western Association,davis-gut,B00021,Davis,,0,Guthrie,,,46,,
minoraverages/1910Spalding,1909,Western Association,davis-sap,B00037,Davis,,0,Sapulpa,,,62,,
minoraverages/1910Spalding,1909,Western Association,davis-sap,F20745,Davis,,0,Sapulpa,,,,,of21
minoraverages/1910Spalding,1909,Western Association,davis-gut,F20956,Davis,,0,Guthrie,,,,,of46
minoraverages/1910Spalding,1909,Western Association,davis-sap,F21397,Davis,,0,Sapulpa,,,,,p33
minoraverages/1910Spalding,1909,Western Association,davis-sap,P10202,Davis,,0,Sapulpa,,,,33,
minoraverages/1910Spalding,1909,Western Association,dawkins,B00985,Dawkins,,0,Muskogee,,,40,,
minoraverages/1910Spalding,1909,Western Association,dawkins,F20458,Dawkins,,0,Muskogee,,,,,3b40
minoraverages/1910Spalding,1909,Western Association,diamond,B01135,Diamond,,0,Springfield,,,52,,
minoraverages/1910Spalding,1909,Western Association,diamond,F21623,Diamond,,0,Springfield,,,,,c25
minoraverages/1910Spalding,1909,Western Association,ellis,B00614,Ellis,,0,Springfield,,,117,,
minoraverages/1910Spalding,1909,Western Association,ellis,F20855,Ellis,,0,Springfield,,,,,of117
minoraverages/1910Spalding,1909,Western Association,erloff,F21149,Erloff,,1,Pittsburg,,,,,of.
minoraverages/1910Spalding,1909,Western Association,erloff,F21149,Erloff,,2,El Reno,,,,,of.
minoraverages/1910Spalding,1909,Western Association,erloff,F21149,Erloff,,T,,,,,,of17
minoraverages/1910Spalding,1909,Western Association,erloff,F21577,Erloff,,1,El Reno,,,,,c.
minoraverages/1910Spalding,1909,Western Association,erloff,F21577,Erloff,,2,Pittsburg,,,,,c.
minoraverages/1910Spalding,1909,Western Association,erloff,F21577,Erloff,,T,,,,,,c55
minoraverages/1910Spalding,1909,Western Association,erloff,B00343,Erloft,,0,Pittsburg,,,74,,
minoraverages/1910Spalding,1909,Western Association,everhart,B00255,Everhard,,0,Sapulpa,,,104,,
minoraverages/1910Spalding,1909,Western Association,everhart,F20375,Everhart,,0,Sapulpa,,,,,3b104
minoraverages/1910Spalding,1909,Western Association,farrell,B00101,Farrell,,0,El Reno,,,123,,
minoraverages/1910Spalding,1909,Western Association,farrell,F21101,Farrell,,0,El Reno,,,,,of123
minoraverages/1910Spalding,1909,Western Association,finney,B01392,Finney,,0,El Reno,,,10,,
minoraverages/1910Spalding,1909,Western Association,finney,F21000,Finney,,0,El Reno,,,,,of10
minoraverages/1910Spalding,1909,Western Association,foster,B00887,Foster,,0,Bartlesville,,,61,,
minoraverages/1910Spalding,1909,Western Association,foster,F20810,Foster,,0,Bartlesville,,,,,of61
minoraverages/1910Spalding,1909,Western Association,funk,B00241,Funk,,0,Bartlesville,,,32,,
minoraverages/1910Spalding,1909,Western Association,funk,F20612,Funk,,0,Bartlesville,,,,,ss32
minoraverages/1910Spalding,1909,Western Association,geist,B00783,Geist,,0,Guthrie,,,75,,
minoraverages/1910Spalding,1909,Western Association,geist,F20832,Geist,,0,Guthrie,,,,,of25
minoraverages/1910Spalding,1909,Western Association,geist,F21207,Geist,,0,Guthrie,,,,,p33
minoraverages/1910Spalding,1909,Western Association,geist,P10035,Geist,,0,Guthrie,,,,31,
minoraverages/1910Spalding,1909,Western Association,gill,B00196,Gill,,0,Pittsburg,,,56,,
minoraverages/1910Spalding,1909,Western Association,gill,F21117,Gill,,0,Pittsburg,,,,,of13
minoraverages/1910Spalding,1909,Western Association,gill,F21210,Gill,,0,Pittsburg,,,,,p31
minoraverages/1910Spalding,1909,Western Association,gill,P10215,Gill,,0,Pittsburg,,,,23,
minoraverages/1910Spalding,1909,Western Association,goodrich,B00427,Goodrich,,0,Sapulpa,,,103,,
minoraverages/1910Spalding,1909,Western Association,goodrich,F21013,Goodrich,,0,Sapulpa,,,,,of95
minoraverages/1910Spalding,1909,Western Association,gowan,B00920,Gowan,,0,Guthrie,,,23,,
minoraverages/1910Spalding,1909,Western Association,gowan,F20970,Gowan,,0,Guthrie,,,,,of23
minoraverages/1910Spalding,1909,Western Association,grady,B01032,Grady,,0,Springfield,,,104,,
minoraverages/1910Spalding,1909,Western Association,grady,F20102,Grady,,0,Springfield,,,,,1b104
minoraverages/1910Spalding,1909,Western Association,graham,B00362,Graham,,1,Bartlesville,,,,,
minoraverages/1910Spalding,1909,Western Association,graham,B00362,Graham,,2,Muskogee,,,,,
minoraverages/1910Spalding,1909,Western Association,graham,B00362,Graham,,T,,,,23,,
minoraverages/1910Spalding,1909,Western Association,graham,F20072,Graham,,1,Bartlesville,,,,,1b.
minoraverages/1910Spalding,1909,Western Association,graham,F20072,Graham,,2,Muskogee,,,,,1b.
minoraverages/1910Spalding,1909,Western Association,graham,F20072,Graham,,T,,,,,,1b68
minoraverages/1910Spalding,1909,Western Association,gray,B00149,Gray,,0,Springfield,,,122,,
minoraverages/1910Spalding,1909,Western Association,gray,F20233,Gray,,0,Springfield,,,,,2b84
minoraverages/1910Spalding,1909,Western Association,gray,F20636,Gray,,0,Springfield,,,,,ss20
minoraverages/1910Spalding,1909,Western Association,gregory,B01078,Gregory,,0,Springfield,,,56,,
minoraverages/1910Spalding,1909,Western Association,gregory,F21416,Gregory,,0,Springfield,,,,,p35
minoraverages/1910Spalding,1909,Western Association,gregory,P10290,Gregory,,0,Springfield,,,,28,
minoraverages/1910Spalding,1909,Western Association,haas,B01359,Haas,,0,Enid,,,27,,
minoraverages/1910Spalding,1909,Western Association,haas,F21544,Haas,,1,Enid,,,,,c.
minoraverages/1910Spalding,1909,Western Association,haas,F21544,Haas,,2,Bartlesville,,,,,c.
minoraverages/1910Spalding,1909,Western Association,haas,F21544,Haas,,T,,,,,,c27
minoraverages/1910Spalding,1909,Western Association,hall,B01337,Hall,,0,Springfield,,,47,,
minoraverages/1910Spalding,1909,Western Association,hall,F21335,Hall,,0,Springfield,,,,,p47
minoraverages/1910Spalding,1909,Western Association,hall,P10097,Hall,,0,Springfield,,,,20,
minoraverages/1910Spalding,1909,Western Association,hamilton,B01269,Hamilton,,0,Springfield,,,23,,
minoraverages/1910Spalding,1909,Western Association,hamilton,F21343,Hamilton,,0,Springfield,,,,,p23
minoraverages/1910Spalding,1909,Western Association,hamilton,P10137,Hamilton,,0,Springfield,,,,24,
minoraverages/1910Spalding,1909,Western Association,harrigan,B00335,Harrigan,,0,Springfield,,,37,,
minoraverages/1910Spalding,1909,Western Association,harrigan,F21646,Harrigan,,0,Springfield,,,,,c21
minoraverages/1910Spalding,1909,Western Association,harrington,B00324,Harrington,,0,Muskogee,,,110,,
