source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1911Spalding,1910,Blue Grass League,,B00936,Allison,,0,Richmond,,,27,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20700,Allison,,0,Richmond,,,,,p27
minoraverages/1911Spalding,1910,Blue Grass League,,P10097,Allison,,0,Richmond,,,,25,
minoraverages/1911Spalding,1910,Blue Grass League,,B00013,Angemeier,,0,Frankfort,,,127,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20970,Angemeier,,0,Frankfort,,,,,c127
minoraverages/1911Spalding,1910,Blue Grass League,,B01078,Atwell,,0,Winchester,,,15,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20908,Atwell,,0,Winchester,,,,,p15
minoraverages/1911Spalding,1910,Blue Grass League,,P10289,Atwell,,0,Winchester,,,,15,
minoraverages/1911Spalding,1910,Blue Grass League,,B00528,Badger,,1,Maysville,,,,,
minoraverages/1911Spalding,1910,Blue Grass League,,B00528,Badger,,2,Lexington,,,,,
minoraverages/1911Spalding,1910,Blue Grass League,,B00528,Badger,,T,,,,57,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20287,Badger,,1,Maysville,,,,,3b
minoraverages/1911Spalding,1910,Blue Grass League,,F20287,Badger,,2,Lexington,,,,,3b
minoraverages/1911Spalding,1910,Blue Grass League,,F20287,Badger,,T,,,,,,3b57
minoraverages/1911Spalding,1910,Blue Grass League,,B00957,Bail,,0,Frankfort,,,27,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20350,Bail,,0,Frankfort,,,,,ss27
minoraverages/1911Spalding,1910,Blue Grass League,,B00469,Baird,,0,Richmond,,,119,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20144,Baird,,0,Richmond,,,,,2b119
minoraverages/1911Spalding,1910,Blue Grass League,,B00241,Barnett,,0,Paris,,,129,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20046,Barnett,,0,Paris,,,,,1b129
minoraverages/1911Spalding,1910,Blue Grass League,,B00515,Barney,,0,Winchester,,,49,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20189,Barney,,0,Winchester,,,,,2b49
minoraverages/1911Spalding,1910,Blue Grass League,,B00403,Beard,,0,Frankfort,,,72,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20458,Beard,,0,Frankfort,,,,,of72
minoraverages/1911Spalding,1910,Blue Grass League,,B01242,Beeker,,0,Maysville,,,11,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20721,Beeker,,0,Maysville,,,,,p11
minoraverages/1911Spalding,1910,Blue Grass League,,P10304,Beeker,,0,Maysville,,,,11,
minoraverages/1911Spalding,1910,Blue Grass League,,B00232,Black,,0,Winchester,,,25,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20661,Black,,0,Winchester,,,,,p25
minoraverages/1911Spalding,1910,Blue Grass League,,P10168,Black,,0,Winchester,,,,11,
minoraverages/1911Spalding,1910,Blue Grass League,,B00544,Bohannon,,0,Frankfort,,,86,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20526,Bohannon,,0,Frankfort,,,,,of86
minoraverages/1911Spalding,1910,Blue Grass League,,B00264,Bramlage,,0,Richmond,,,81,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20518,Bramlage,,0,Richmond,,,,,of81
minoraverages/1911Spalding,1910,Blue Grass League,,B00207,Burden,,0,Winchester,,,42,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20829,Burden,,0,Winchester,,,,,p42
minoraverages/1911Spalding,1910,Blue Grass League,,P10231,Burden,,0,Winchester,,,,33,
minoraverages/1911Spalding,1910,Blue Grass League,,B00059,Callahan,,0,Winchester,,,122,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20369,Callahan,,0,Winchester,,,,,ss122
minoraverages/1911Spalding,1910,Blue Grass League,,B00278,Chapman,,0,Paris,,,122,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20539,Chapman,,1,Lexington,,,,,of
minoraverages/1911Spalding,1910,Blue Grass League,,F20539,Chapman,,2,Paris,,,,,of
minoraverages/1911Spalding,1910,Blue Grass League,,F20539,Chapman,,T,,,,,,of122
minoraverages/1911Spalding,1910,Blue Grass League,,B01119,Chase,,0,Maysville,,,12,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20776,Chase,,0,Maysville,,,,,p12
minoraverages/1911Spalding,1910,Blue Grass League,,B00021,Coleman,,0,Winchester,,,60,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20505,Coleman,,0,Winchester,,,,,of60
minoraverages/1911Spalding,1910,Blue Grass League,,B00806,Cornell,,0,Frankfort,,,42,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20878,Cornell,,0,Frankfort,,,,,p42
minoraverages/1911Spalding,1910,Blue Grass League,,P10035,Cornell,,0,Frankfort,,,,37,
minoraverages/1911Spalding,1910,Blue Grass League,,B00760,Cramer,,1,Maysville,,,,,
minoraverages/1911Spalding,1910,Blue Grass League,,B00760,Cramer,,2,Frankfort,,,,,
minoraverages/1911Spalding,1910,Blue Grass League,,B00760,Cramer,,T,,,,80,,
minoraverages/1911Spalding,1910,Blue Grass League,,F21149,Cramer,,1,Maysville,,,,,
minoraverages/1911Spalding,1910,Blue Grass League,,F21149,Cramer,,2,Frankfort,,,,,
minoraverages/1911Spalding,1910,Blue Grass League,,F21149,Cramer,,T,,,,,,
minoraverages/1911Spalding,1910,Blue Grass League,,P10192,Cramer,,1,Maysville,,,,,
minoraverages/1911Spalding,1910,Blue Grass League,,P10192,Cramer,,2,Frankfort,,,,,
minoraverages/1911Spalding,1910,Blue Grass League,,P10192,Cramer,,T,,,,,28,
minoraverages/1911Spalding,1910,Blue Grass League,,B00898,Creager,,0,Richmond,,,42,,
minoraverages/1911Spalding,1910,Blue Grass League,,F20737,Creager,,0,Richmond,,,,,p42
