source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1911Spalding,1910,Kansas State League,abbott,B00149,Abbott,,0,Wellington,,,36,,
minoraverages/1911Spalding,1910,Kansas State League,abbott,F20080,Abbott,,0,Wellington,,,,,1b31
minoraverages/1911Spalding,1910,Kansas State League,acock,B00264,Acock,,0,Hutchinson,,,100,,
minoraverages/1911Spalding,1910,Kansas State League,acock,F20211,Acock,,0,Hutchinson,,,,,2b85
minoraverages/1911Spalding,1910,Kansas State League,acock,F20526,Acock,,0,Hutchinson,,,,,ss14
minoraverages/1911Spalding,1910,Kansas State League,allen,B00898,Allen,,0,Newton,,,105,,
minoraverages/1911Spalding,1910,Kansas State League,allen,F21013,Allen,,0,Newton,,,,,of58
minoraverages/1911Spalding,1910,Kansas State League,allen,F21577,Allen,,0,Newton,,,,,c44
minoraverages/1911Spalding,1910,Kansas State League,armstrong,F20014,Armstrong,,0,Wellington,,,,,1b28
minoraverages/1911Spalding,1910,Kansas State League,backus,B01010,Backus,,0,Newton,,,84,,
minoraverages/1911Spalding,1910,Kansas State League,backus,F20721,Backus,,0,Newton,,,,,of10
minoraverages/1911Spalding,1910,Kansas State League,backus,F21469,Backus,,0,Newton,,,,,c71
minoraverages/1911Spalding,1910,Kansas State League,baird,B01055,Baird,,0,Newton,,,43,,
minoraverages/1911Spalding,1910,Kansas State League,baird,P10231,Baird,,0,Newton,,,,34,
minoraverages/1911Spalding,1910,Kansas State League,baker,B00515,Baker,,0,Arkansas City,,,96,,
minoraverages/1911Spalding,1910,Kansas State League,baker,F20956,Baker,,0,Arkansas City,,,,,of80
minoraverages/1911Spalding,1910,Kansas State League,baker,F21566,Baker,,0,Arkansas City,,,,,c14
minoraverages/1911Spalding,1910,Kansas State League,bankhead,B00577,Bankhead,,0,Lyons,,,49,,
minoraverages/1911Spalding,1910,Kansas State League,bankhead,F20177,Bankhead,,0,Lyons,,,,,2b49
minoraverages/1911Spalding,1910,Kansas State League,bates,B00427,Bates,,0,Arkansas City,,,64,,
minoraverages/1911Spalding,1910,Kansas State League,bates,F20864,Bates,,0,Arkansas City,,,,,of45
minoraverages/1911Spalding,1910,Kansas State League,beard,F21416,Beard,,0,Newton,,,,,p28
minoraverages/1911Spalding,1910,Kansas State League,bechtold,B00229,Bechtold,,0,Larned,,,50,,
minoraverages/1911Spalding,1910,Kansas State League,berry,B00783,Berry,,0,Great Bend,,,39,,
minoraverages/1911Spalding,1910,Kansas State League,berry,F20648,Berry,,0,Great Bend,,,,,of10
minoraverages/1911Spalding,1910,Kansas State League,berry,F21434,Berry,,0,Great Bend,,,,,c26
minoraverages/1911Spalding,1910,Kansas State League,block,B00293,Block,,0,Hutchinson,,,68,,
minoraverages/1911Spalding,1910,Kansas State League,block,F20807,Block,,0,Hutchinson,,,,,of68
minoraverages/1911Spalding,1910,Kansas State League,bockweitz,B00528,Bockewitz,,0,Great Bend,,,110,,
minoraverages/1911Spalding,1910,Kansas State League,bockweitz,F20737,Bockwitz,,0,Great Bend,,,,,of109
minoraverages/1911Spalding,1910,Kansas State League,boone,B00865,Boone,,0,Wellington,,,17,,
minoraverages/1911Spalding,1910,Kansas State League,boone,F21397,Boone,,0,Wellington,,,,,p17
minoraverages/1911Spalding,1910,Kansas State League,boone,P10113,Boone,,0,Wellington,,,,20,
minoraverages/1911Spalding,1910,Kansas State League,brammell,B00695,Brammell,,0,Lyons,,,87,,
minoraverages/1911Spalding,1910,Kansas State League,brammell,F21544,Brammell,,0,Lyons,,,,,c65
minoraverages/1911Spalding,1910,Kansas State League,brannan,B00488,Brannan,,0,Larned,,,11,,
minoraverages/1911Spalding,1910,Kansas State League,brannan,P10320,Brannan,,0,Larned,,,,13,
minoraverages/1911Spalding,1910,Kansas State League,brannon,B00811,Brannon,,0,McPherson,,,104,,
minoraverages/1911Spalding,1910,Kansas State League,brannon,F20417,Brannon,,0,McPherson,,,,,3b103
minoraverages/1911Spalding,1910,Kansas State League,brannan,F21370,Brannon,,0,Larned,,,,,p12
minoraverages/1911Spalding,1910,Kansas State League,brown,B00609,Brown,,0,Wellington,,,78,,
minoraverages/1911Spalding,1910,Kansas State League,brown,F20334,Brown,,1,Arkansas City,,,,,3b
minoraverages/1911Spalding,1910,Kansas State League,brown,F20334,Brown,,2,Wellington,,,,,3b
minoraverages/1911Spalding,1910,Kansas State League,brown,F20334,Brown,,T,,,,,,3b67
minoraverages/1911Spalding,1910,Kansas State League,brunt,B01093,Brunt,,0,Arkansas City,,,33,,
minoraverages/1911Spalding,1910,Kansas State League,brunt,F20401,Brunt,,0,Arkansas City,,,,,3b14
minoraverages/1911Spalding,1910,Kansas State League,brunt,F20458,Brunt,,0,Arkansas City,,,,,ss19
minoraverages/1911Spalding,1910,Kansas State League,bumb,B00308,Bumb,,0,Great Bend,,,95,,
minoraverages/1911Spalding,1910,Kansas State League,bumb,F20102,Bumb,,0,Great Bend,,,,,1b25
minoraverages/1911Spalding,1910,Kansas State League,bumb,F20924,Bumb,,0,Great Bend,,,,,of44
minoraverages/1911Spalding,1910,Kansas State League,bumb,F21515,Bumb,,0,Great Bend,,,,,c18
minoraverages/1911Spalding,1910,Kansas State League,campbell,B00286,Campbell,,1,Wellington,,,,,
minoraverages/1911Spalding,1910,Kansas State League,campbell,B00286,Campbell,,2,Newton,,,,,
minoraverages/1911Spalding,1910,Kansas State League,campbell,B00286,Campbell,,T,,,,38,,
minoraverages/1911Spalding,1910,Kansas State League,campbell,F20128,Campbell,,1,Wellington,,,,,1b
minoraverages/1911Spalding,1910,Kansas State League,campbell,F20128,Campbell,,2,Newton,,,,,1b
minoraverages/1911Spalding,1910,Kansas State League,campbell,F20128,Campbell,,T,,,,,,1b38
minoraverages/1911Spalding,1910,Kansas State League,campfield,B00469,Campfield,,0,McPherson,,,102,,
minoraverages/1911Spalding,1910,Kansas State League,campfield,F21488,Campfield,,0,McPherson,,,,,c97
minoraverages/1911Spalding,1910,Kansas State League,carter,B01170,Carter,,0,Wellington,,,25,,
minoraverages/1911Spalding,1910,Kansas State League,carter,F20612,Carter,,0,Wellington,,,,,ss25
minoraverages/1911Spalding,1910,Kansas State League,case,B01078,Case,,0,McPherson,,,13,,
minoraverages/1911Spalding,1910,Kansas State League,case,F21319,Case,,0,McPherson,,,,,p12
minoraverages/1911Spalding,1910,Kansas State League,case,P10289,Case,,0,McPherson,,,,12,
minoraverages/1911Spalding,1910,Kansas State League,chadwick,B00125,Chadwick,,0,Larned,,,44,,
minoraverages/1911Spalding,1910,Kansas State League,chadwick,F20935,Chadwick,,0,Larned,,,,,of44
minoraverages/1911Spalding,1910,Kansas State League,clark,B00255,Clark,,0,Arkansas City,,,25,,
minoraverages/1911Spalding,1910,Kansas State League,clark,F20620,Clark,,0,Arkansas City,,,,,ss10
minoraverages/1911Spalding,1910,Kansas State League,clark,F20784,Clark,,0,Arkansas City,,,,,of14
minoraverages/1911Spalding,1910,Kansas State League,clements,B00356,Clements,,0,Lyons,,,29,,
minoraverages/1911Spalding,1910,Kansas State League,clements,F20657,Clements,,0,Lyons,,,,,of10
