source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,B00999,Agan,,0,Rochester,,,10,,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,F20014,Agan,,0,Rochester,,,,,1b10
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,B00343,Altermott,,0,Duluth,,,124,,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,F20571,Altermott,,0,Duluth,,,,,ss117
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,B00590,Anderson,G.,0,Duluth,,,122,,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,B00985,Anderson,J.,1,La Crosse,,,,,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,B00985,Anderson,J.,2,Duluth,,,,,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,B00985,Anderson,J.,T,,,,55,,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,F20721,Anderson,J.,1,La Crosse,,,,,of
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,F20721,Anderson,J.,2,Duluth,,,,,of
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,F20721,Anderson,J.,T,,,,,,of55
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,F20745,Anderson,G.,0,Duluth,,,,,of110
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,F21695,Anderson,G.,0,Duluth,,,,,c12
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,B00961,Baertschi,,0,Superior,,,17,,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,F21356,Baertschi,,0,Superior,,,,,p17
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,P10100,Baertschi,,0,Superior,,,,17,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,B00045,Bailey,,0,Eau Claire,,,67,,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,F20832,Bailey,,0,Eau Claire,,,,,of67
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,B00948,Baillies,,0,Winona,,,45,,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,F21308,Baillies,,0,Winona,,,,,p42
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,P10137,Baillies,,0,Winona,,,,43,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,B00293,Bancroft,,0,Superior,,,127,,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,F20560,Bancroft,,0,Superior,,,,,ss127
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,B01291,Barngrover,,1,La Crosse,,,,,
minoraverages/1911Spalding,1910,Minnesota-Wisconsin League,,B01291,Barngrover,,2,Rochester,,,,,
