source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00293,Annis,,0,Falls City,,,72,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20342,Annis,,0,Falls City,,,,,ss
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00397,Beaver,,0,Auburn,,,28,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20721,Beaver,,0,Auburn,,,,,of
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00278,Bradshaw,,0,Shenandoah,,,45,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20713,Bradshaw,,0,Shenandoah,,,,,of
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00207,Brewer,,0,Auburn,,,97,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20095,Brewer,,0,Auburn,,,,,1b
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00059,Bright,E.,0,Auburn,,,91,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00515,Bright,L.,0,Auburn,,,96,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20222,Bright,E.,0,Auburn,,,,,2b
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20303,Bright,L.,0,Auburn,,,,,3b
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00117,Bromley,,0,Clarinda,,,98,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20594,Bromley,,0,Clarinda,,,,,of
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F21182,Bromley,,0,Clarinda,,,,,c
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00794,Brown,,0,Shenandoah,,,34,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20177,Brown,,0,Shenandoah,,,,,2b
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00528,Byrd,,0,Shenandoah,,,32,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20700,Byrd,,0,Shenandoah,,,,,of
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00672,Casey,,0,Clarinda,,,26,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F21037,Casey,,0,Clarinda,,,,,p
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,P10035,Casey,,0,Clarinda,,,,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00084,Cass,,0,Nebraska City,,,21,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20776,Cass,,0,Nebraska City,,,,,p
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,P10168,Cass,,0,Nebraska City,,,,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00158,Castle,,0,Shenandoah,,,95,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20526,Castle,,0,Shenandoah,,,,,of
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F21117,Castle,,0,Shenandoah,,,,,c
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00726,Chapman,,0,Nebraska City,,,62,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20206,Chapman,,0,Nebraska City,,,,,2b
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20430,Chapman,,0,Nebraska City,,,,,ss
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00566,Cohen,,0,Maryville,,,47,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20014,Cohen,,0,Maryville,,,,,1b
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00865,Collier,,0,Nebraska City,,,30,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20970,Collier,,0,Nebraska City,,,,,p
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,P10176,Collier,,0,Nebraska City,,,,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00013,Cook,,0,Maryville,,,41,,
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20233,Cook,,0,Maryville,,,,,2b
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,F20571,Cook,,0,Maryville,,,,,of
minoraverages/1911Spalding,1910,Missouri-Iowa-Nebraska-Kansas League,,B00544,Cooper,,0,Maryville,,,28,,
