source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1911Spalding,1910,New York State League,alexander,B00416,Alexander,,0,Syracuse,,,47,,
minoraverages/1911Spalding,1910,New York State League,alexander,F21021,Alexander,,0,Syracuse,,,,,p47
minoraverages/1911Spalding,1910,New York State League,alexander,P10070,Alexander,,0,Syracuse,,,,,
minoraverages/1911Spalding,1910,New York State League,applegate,B01156,Applegate,,0,Wilkes-Barre,,,28,,
minoraverages/1911Spalding,1910,New York State League,applegate,F21278,Applegate,,0,Wilkes-Barre,,,,,p28
minoraverages/1911Spalding,1910,New York State League,applegate,P10176,Applegate,,0,Wilkes-Barre,,,,,
minoraverages/1911Spalding,1910,New York State League,armbruster,B00101,Armbruster,,0,Syracuse,,,133,,
minoraverages/1911Spalding,1910,New York State League,armbruster,F20721,Armbruster,,0,Syracuse,,,,,of133
minoraverages/1911Spalding,1910,New York State League,ashley,B01345,Ashley,,0,Troy,,,34,,
minoraverages/1911Spalding,1910,New York State League,ashley,F21319,Ashley,,0,Troy,,,,,p34
minoraverages/1911Spalding,1910,New York State League,ashley,P10385,Ashley,,0,Troy,,,,,
minoraverages/1911Spalding,1910,New York State League,aubrey,B00646,Aubrey,,0,Syracuse,,,135,,
minoraverages/1911Spalding,1910,New York State League,aubrey,F20482,Aubrey,,0,Syracuse,,,,,ss135
minoraverages/1911Spalding,1910,New York State League,bastian,B00680,Bastian,,0,Utica,,,134,,
minoraverages/1911Spalding,1910,New York State League,bastian,F20287,Bastian,,0,Utica,,,,,2b16
minoraverages/1911Spalding,1910,New York State League,bastian,F20583,Bastian,,0,Utica,,,,,ss18
minoraverages/1911Spalding,1910,New York State League,bastian,F20807,Bastian,,0,Utica,,,,,of100
minoraverages/1911Spalding,1910,New York State League,bills,B00076,Bills,,0,Wilkes-Barre,,,66,,
minoraverages/1911Spalding,1910,New York State League,bills,F20128,Bills,,0,Wilkes-Barre,,,,,1b11
minoraverages/1911Spalding,1910,New York State League,bills,F21000,Bills,,0,Wilkes-Barre,,,,,of22
minoraverages/1911Spalding,1910,New York State League,bills,F21174,Bills,,0,Wilkes-Barre,,,,,p33
minoraverages/1911Spalding,1910,New York State League,bills,P10121,Bills,,0,Wilkes-Barre,,,,,
minoraverages/1911Spalding,1910,New York State League,bliss,B00362,Bliss,,0,Binghamton,,,19,,
minoraverages/1911Spalding,1910,New York State League,bliss,F21362,Bliss,,0,Binghamton,,,,,p19
minoraverages/1911Spalding,1910,New York State League,bliss,P10361,Bliss,,0,Binghamton,,,,,
minoraverages/1911Spalding,1910,New York State League,brieger,B00544,Brieger,,1,Albany,,,,,
minoraverages/1911Spalding,1910,New York State League,brieger,B00544,Brieger,,2,Wilkes-Barre,,,,,
minoraverages/1911Spalding,1910,New York State League,brieger,B00544,Brieger,,T,,,,93,,
minoraverages/1911Spalding,1910,New York State League,brieger,F21491,Brieger,,1,Albany,,,,,c
minoraverages/1911Spalding,1910,New York State League,brieger,F21491,Brieger,,2,Wilkes-Barre,,,,,c
minoraverages/1911Spalding,1910,New York State League,brieger,F21491,Brieger,,T,,,,,,c93
minoraverages/1911Spalding,1910,New York State League,brouthers,B00356,Brouthers,,0,Elmira,,,126,,
minoraverages/1911Spalding,1910,New York State League,brouthers,F20350,Brouthers,,0,Elmira,,,,,3b126
minoraverages/1911Spalding,1910,New York State League,brown,B00324,Brown,,0,Albany,,,125,,
minoraverages/1911Spalding,1910,New York State League,brown,F20115,Brown,,0,Albany,,,,,1b125
minoraverages/1911Spalding,1910,New York State League,buck,B00667,Buck,,0,Troy,,,45,,
minoraverages/1911Spalding,1910,New York State League,buck,F20981,Buck,,0,Troy,,,,,of14
minoraverages/1911Spalding,1910,New York State League,buck,F21229,Buck,,0,Troy,,,,,p31
minoraverages/1911Spalding,1910,New York State League,buck,P10312,Buck,,0,Troy,,,,,
minoraverages/1911Spalding,1910,New York State League,burns,B00502,Burns,,0,Utica,,,113,,
minoraverages/1911Spalding,1910,New York State League,burns,F20970,Burns,,0,Utica,,,,,of13
minoraverages/1911Spalding,1910,New York State League,burns,F21528,Burns,,0,Utica,,,,,c100
minoraverages/1911Spalding,1910,New York State League,byrnes,B00210,Byrnes,,1,Troy,,,,,
minoraverages/1911Spalding,1910,New York State League,byrnes,B00210,Byrnes,,2,Utica,,,,,
minoraverages/1911Spalding,1910,New York State League,byrnes,B00210,Byrnes,,T,,,,37,,
minoraverages/1911Spalding,1910,New York State League,byrnes,F20153,Byrnes,,1,Troy,,,,,1b
minoraverages/1911Spalding,1910,New York State League,byrnes,F20153,Byrnes,,2,Utica,,,,,1b
minoraverages/1911Spalding,1910,New York State League,byrnes,F20153,Byrnes,,T,,,,,,1b11
minoraverages/1911Spalding,1910,New York State League,byrnes,F20943,Byrnes,,1,Troy,,,,,of
minoraverages/1911Spalding,1910,New York State League,byrnes,F20943,Byrnes,,2,Utica,,,,,of
minoraverages/1911Spalding,1910,New York State League,byrnes,F20943,Byrnes,,T,,,,,,of26
