source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1911Spalding,1910,Pacific Coast League,ames,B01288,Ames,,0,San Francisco,,,13,,
minoraverages/1911Spalding,1910,Pacific Coast League,ames,F20997,Ames,,0,San Francisco,,,,,p13
minoraverages/1911Spalding,1910,Pacific Coast League,ames,P10121,Ames,,0,San Francisco,,,,,
minoraverages/1911Spalding,1910,Pacific Coast League,arellanes,B00973,Arellanes,,0,Sacramento,,,17,,
minoraverages/1911Spalding,1910,Pacific Coast League,arellanes,F21293,Arellanes,,0,Sacramento,,,,,p15
minoraverages/1911Spalding,1910,Pacific Coast League,arellanes,P10113,Arellanes,,0,Sacramento,,,,,
minoraverages/1911Spalding,1910,Pacific Coast League,baum,B01010,Baum,,0,Sacramento,,,47,,
minoraverages/1911Spalding,1910,Pacific Coast League,baum,F20956,Baum,,0,Sacramento,,,,,p47
minoraverages/1911Spalding,1910,Pacific Coast League,baum,P10277,Baum,,0,Sacramento,,,,,
minoraverages/1911Spalding,1910,Pacific Coast League,bernard,B00196,Bernard,,0,Los Angeles,,,187,,
minoraverages/1911Spalding,1910,Pacific Coast League,bernard,F20547,Bernard,,0,Los Angeles,,,,,of182
minoraverages/1911Spalding,1910,Pacific Coast League,berry,B00865,Berry,,0,San Francisco,,,152,,
minoraverages/1911Spalding,1910,Pacific Coast League,berry,F21370,Berry,,0,San Francisco,,,,,c152
minoraverages/1911Spalding,1910,Pacific Coast League,boardman,B00589,Boardman,,0,Sacramento,,,192,,
minoraverages/1911Spalding,1910,Pacific Coast League,boardman,F20350,Boardman,,0,Sacramento,,,,,3b192
minoraverages/1911Spalding,1910,Pacific Coast League,bodie,B00130,Bodie,,0,San Francisco,,,212,,
minoraverages/1911Spalding,1910,Pacific Coast League,bodie,F20673,Bodie,,0,San Francisco,,,,,of206
minoraverages/1911Spalding,1910,Pacific Coast League,boice,B01275,Boice,,0,Portland,,,10,,
minoraverages/1911Spalding,1910,Pacific Coast League,boice,F21286,Boice,,0,Portland,,,,,p10
minoraverages/1911Spalding,1910,Pacific Coast League,boice,P10373,Boice,,0,Portland,,,,,
minoraverages/1911Spalding,1910,Pacific Coast League,brackenridge,B00752,Brackenridge,,0,Vernon,,,48,,
minoraverages/1911Spalding,1910,Pacific Coast League,brackenridge,F21163,Brackenridge,,0,Vernon,,,,,p48
minoraverages/1911Spalding,1910,Pacific Coast League,brackenridge,P10228,Brackenridge,,0,Vernon,,,,,
minoraverages/1911Spalding,1910,Pacific Coast League,brashear.r,B00362,Brashear,R.,0,Vernon,,,223,,
minoraverages/1911Spalding,1910,Pacific Coast League,brashear.n,B00416,Brashear,N.,0,Vernon,,,185,,
minoraverages/1911Spalding,1910,Pacific Coast League,brashear.n,F20095,Brashear,N.,0,Vernon,,,,,1b123
minoraverages/1911Spalding,1910,Pacific Coast League,brashear.r,F20153,Brashear,R.,0,Vernon,,,,,2b223
minoraverages/1911Spalding,1910,Pacific Coast League,brashear.n,F20401,Brashear,N.,0,Vernon,,,,,3b53
minoraverages/1911Spalding,1910,Pacific Coast League,briggs,B00427,Briggs,,0,Sacramento,,,197,,
