source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1911Spalding,1910,Southwest Texas League,adams,B00343,Adams,,0,Victoria,,,94,,
minoraverages/1911Spalding,1910,Southwest Texas League,adams,B01572,Adams,,0,all,,,,,
minoraverages/1911Spalding,1910,Southwest Texas League,adams,F21278,Adams,,0,Victoria,,,,,c88
minoraverages/1911Spalding,1910,Southwest Texas League,addington,B00672,Addington,,0,Corpus Christi,,,112,,
minoraverages/1911Spalding,1910,Southwest Texas League,addington,F20303,Addington,,0,Corpus Christi,,,,,3b112
minoraverages/1911Spalding,1910,Southwest Texas League,anderson,B00544,Anderson,,0,Beeville,,,109,,
minoraverages/1911Spalding,1910,Southwest Texas League,anderson,B01663,Anderson,,0,all,,,,,
minoraverages/1911Spalding,1910,Southwest Texas League,anderson,F20449,Anderson,,0,Beeville,,,,,ss109
minoraverages/1911Spalding,1910,Southwest Texas League,ashe,B00887,Ashe,,1,Corpus Christi,,,,,
minoraverages/1911Spalding,1910,Southwest Texas League,ashe,B00887,Ashe,,2,Brownsville,,,,,
minoraverages/1911Spalding,1910,Southwest Texas League,ashe,B00887,Ashe,,T,,,,106,,
minoraverages/1911Spalding,1910,Southwest Texas League,ashe,F20401,Ashe,,1,Corpus Christi,,,,,ss
minoraverages/1911Spalding,1910,Southwest Texas League,ashe,F20401,Ashe,,2,Brownsville,,,,,ss
minoraverages/1911Spalding,1910,Southwest Texas League,ashe,F20401,Ashe,,T,,,,,,ss99
minoraverages/1911Spalding,1910,Southwest Texas League,baker,B00752,Baker,,0,Beeville,,,32,,
minoraverages/1911Spalding,1910,Southwest Texas League,baker,F21174,Baker,,0,Beeville,,,,,p27
minoraverages/1911Spalding,1910,Southwest Texas League,baker,P10192,Baker,,0,Beeville,,,,,
minoraverages/1911Spalding,1910,Southwest Texas League,baumgartner,B00308,Baumgartner,,0,Bay City,,,116,,
minoraverages/1911Spalding,1910,Southwest Texas League,baumgartner,B01288,Baumgartner,,0,all,,,,,
minoraverages/1911Spalding,1910,Southwest Texas League,baumgartner,B01392,Baumgartner,,0,all,,,,,
minoraverages/1911Spalding,1910,Southwest Texas League,baumgartner,F20287,Baumgartner,,0,Bay City,,,,,3b73
minoraverages/1911Spalding,1910,Southwest Texas League,baumgartner,F20482,Baumgartner,,0,Bay City,,,,,ss41
minoraverages/1911Spalding,1910,Southwest Texas League,bell,B01041,Bell,,0,Brownsville,,,20,,
minoraverages/1911Spalding,1910,Southwest Texas League,bell,F20612,Bell,,0,Brownsville,,,,,of20
minoraverages/1911Spalding,1910,Southwest Texas League,blakeney,B00806,Blakeney,,0,Bay City,,,65,,
minoraverages/1911Spalding,1910,Southwest Texas League,blakeney,F20080,Blakeney,,0,Bay City,,,,,1b18
minoraverages/1911Spalding,1910,Southwest Texas League,blakeney,F20190,Blakeney,,0,Bay City,,,,,2b16
minoraverages/1911Spalding,1910,Southwest Texas League,blakeney,F20526,Blakeney,,0,Bay City,,,,,ss13
minoraverages/1911Spalding,1910,Southwest Texas League,blakeney,F21210,Blakeney,,0,Bay City,,,,,p17
minoraverages/1911Spalding,1910,Southwest Texas League,blakeney,P10145,Blakeney,,0,Bay City,,,,,
