source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1911Spalding,1910,Texas League,ables,B01376,Ables,,0,San Antonio,,,38,,
minoraverages/1911Spalding,1910,Texas League,ables,F21469,Ables,,0,San Antonio,,,,,p34
minoraverages/1911Spalding,1910,Texas League,ables,P10289,Ables,,0,San Antonio,,,,34,
minoraverages/1911Spalding,1910,Texas League,alexander,B00515,Alexander,,0,San Antonio,,,102,,
minoraverages/1911Spalding,1910,Texas League,alexander,F20334,Alexander,,0,San Antonio,,,,,2b56
minoraverages/1911Spalding,1910,Texas League,alexander,F20552,Alexander,,0,San Antonio,,,,,ss22
minoraverages/1911Spalding,1910,Texas League,alexander,F22061,Alexander,,0,San Antonio,,,,,c19
minoraverages/1911Spalding,1910,Texas League,andrews,B00502,Andrews,,1,Houston,,,,,
minoraverages/1911Spalding,1910,Texas League,andrews,B00502,Andrews,,2,Oklahoma City,,,,,
minoraverages/1911Spalding,1910,Texas League,andrews,B00502,Andrews,,T,,,,78,,
minoraverages/1911Spalding,1910,Texas League,andrews,F20474,Andrews,,1,Houston,,,,,3b
minoraverages/1911Spalding,1910,Texas League,andrews,F20474,Andrews,,2,Oklahoma City,,,,,3b
minoraverages/1911Spalding,1910,Texas League,andrews,F20474,Andrews,,T,,,,,,3b78
minoraverages/1911Spalding,1910,Texas League,ashton,B00614,Ashton,,0,Shreveport,,,32,,
minoraverages/1911Spalding,1910,Texas League,ashton,F21544,Ashton,,0,Shreveport,,,,,p32
minoraverages/1911Spalding,1910,Texas League,ashton,P10097,Ashton,,0,Shreveport,,,,32,
minoraverages/1911Spalding,1910,Texas League,bandy,B01490,Bandy,,0,Oklahoma City,,,62,,
minoraverages/1911Spalding,1910,Texas League,bandy,F20935,Bandy,,0,Oklahoma City,,,,,cf11
minoraverages/1911Spalding,1910,Texas League,bandy,F21726,Bandy,,0,Oklahoma City,,,,,p43
minoraverages/1911Spalding,1910,Texas League,bandy,P10312,Bandy,,0,Oklahoma City,,,,43,
minoraverages/1911Spalding,1910,Texas League,begley,B01595,Begley,,0,Oklahoma City,,,11,,
minoraverages/1911Spalding,1910,Texas League,begley,F20211,Begley,,0,Oklahoma City,,,,,1b11
minoraverages/1911Spalding,1910,Texas League,bell,B00362,Bell,,0,Houston,,,112,,
minoraverages/1911Spalding,1910,Texas League,bell,F20539,Bell,,0,Houston,,,,,3b53
minoraverages/1911Spalding,1910,Texas League,bell,F20700,Bell,,0,Houston,,,,,ss40
minoraverages/1911Spalding,1910,Texas League,billiard,B01649,Billiard,,0,San Antonio,,,36,,
minoraverages/1911Spalding,1910,Texas League,billiard,F21609,Billiard,,0,San Antonio,,,,,p35
minoraverages/1911Spalding,1910,Texas League,billiard,P10113,Billiard,,0,San Antonio,,,,36,
minoraverages/1911Spalding,1910,Texas League,blanding,B00623,Blanding,,0,San Antonio,,,45,,
minoraverages/1911Spalding,1910,Texas League,blanding,F21356,Blanding,,0,San Antonio,,,,,rf12
minoraverages/1911Spalding,1910,Texas League,blanding,F21434,Blanding,,0,San Antonio,,,,,p30
minoraverages/1911Spalding,1910,Texas League,blanding,P10024,Blanding,,0,San Antonio,,,,30,
minoraverages/1911Spalding,1910,Texas League,bradford,B00822,Bradford,,0,Galveston,,,25,,
minoraverages/1911Spalding,1910,Texas League,bradford,F21806,Bradford,,0,Galveston,,,,,p25
minoraverages/1911Spalding,1910,Texas League,bradford,P10373,Bradford,,0,Galveston,,,,25,
minoraverages/1911Spalding,1910,Texas League,brady,B01428,Brady,,0,Dallas,,,20,,
minoraverages/1911Spalding,1910,Texas League,brady,F21589,Brady,,0,Dallas,,,,,p18
minoraverages/1911Spalding,1910,Texas League,brady,P10244,Brady,,0,Dallas,,,,18,
minoraverages/1911Spalding,1910,Texas League,braun,B00726,Braun,,0,Galveston,,,94,,
minoraverages/1911Spalding,1910,Texas League,braun,F21948,Braun,,0,Galveston,,,,,c94
minoraverages/1911Spalding,1910,Texas League,brewster-fw,B00356,Brewster,,0,Fort Worth,,,61,,
minoraverages/1911Spalding,1910,Texas League,brewster-wac,B01321,Brewster,,0,Waco,,,48,,
minoraverages/1911Spalding,1910,Texas League,brewster-wac,F20648,Brewster,,0,Waco,,,,,ss48
minoraverages/1911Spalding,1910,Texas League,brewster-fw,F20924,Brewster,,0,Fort Worth,,,,,lf53
minoraverages/1911Spalding,1910,Texas League,burch,B00794,Burch,,0,Houston,,,91,,
minoraverages/1911Spalding,1910,Texas League,burch,F21961,Burch,,0,Houston,,,,,c85
minoraverages/1911Spalding,1910,Texas League,burke,B01197,Burke,,0,Fort Worth,,,49,,
minoraverages/1911Spalding,1910,Texas League,burke,F21646,Burke,,0,Fort Worth,,,,,p46
minoraverages/1911Spalding,1910,Texas League,burke,P10062,Burke,,0,Fort Worth,,,,46,
minoraverages/1911Spalding,1910,Texas League,burns,B01086,Burns,,0,Oklahoma City,,,14,,
minoraverages/1911Spalding,1910,Texas League,burns,F20014,Burns,,0,Oklahoma City,,,,,1b47
minoraverages/1911Spalding,1910,Texas League,carlin,F20505,Carlin,,0,Houston,,,,,3b40
minoraverages/1911Spalding,1910,Texas League,casey,B00854,Casey,,0,Oklahoma City,,,130,,
minoraverages/1911Spalding,1910,Texas League,casey,F20102,Casey,,0,Oklahoma City,,,,,1b66
minoraverages/1911Spalding,1910,Texas League,casey,F20279,Casey,,0,Oklahoma City,,,,,2b64
minoraverages/1911Spalding,1910,Texas League,chellette,B01663,Chellette,,0,Oklahoma City,,,51,,
minoraverages/1911Spalding,1910,Texas League,chellette,F21515,Chellette,,0,Oklahoma City,,,,,p51
minoraverages/1911Spalding,1910,Texas League,chellette,P10202,Chellette,,0,Oklahoma City,,,,51,
minoraverages/1911Spalding,1910,Texas League,clifton,B00747,Clifton,,0,Oklahoma City,,,15,,
minoraverages/1911Spalding,1910,Texas League,clifton,F21904,Clifton,,0,Oklahoma City,,,,,c13
minoraverages/1911Spalding,1910,Texas League,connaway,B00752,Connaway,,0,Waco,,,113,,
minoraverages/1911Spalding,1910,Texas League,connaway,F20144,Connaway,,0,Waco,,,,,1b109
minoraverages/1911Spalding,1910,Texas League,corkhill,B00196,Corkhill,,0,Houston,,,129,,
minoraverages/1911Spalding,1910,Texas League,corkhill,F21324,Corkhill,,0,Houston,,,,,rf120
minoraverages/1911Spalding,1910,Texas League,carlin,B01032,Corlin,,0,Houston,,,43,,
minoraverages/1911Spalding,1910,Texas League,cowan,B00898,Cowan,,0,Shreveport,,,94,,
minoraverages/1911Spalding,1910,Texas League,cowan,F20482,Cowan,,0,Shreveport,,,,,3b35
minoraverages/1911Spalding,1910,Texas League,cowan,F20612,Cowan,,0,Shreveport,,,,,ss58
minoraverages/1911Spalding,1910,Texas League,coyle,B00149,Coyle,,0,Fort Worth,,,140,,
minoraverages/1911Spalding,1910,Texas League,coyle,F20095,Coyle,,0,Fort Worth,,,,,1b69
minoraverages/1911Spalding,1910,Texas League,coyle,F20886,Coyle,,0,Fort Worth,,,,,lf27
minoraverages/1911Spalding,1910,Texas League,coyle,F20956,Coyle,,0,Fort Worth,,,,,cf13
minoraverages/1911Spalding,1910,Texas League,coyle,F21362,Coyle,,0,Fort Worth,,,,,rf31
minoraverages/1911Spalding,1910,Texas League,crabble,B01135,Crabble,,0,Galveston,,,17,,
minoraverages/1911Spalding,1910,Texas League,crabble,F21840,Crabble,,0,Galveston,,,,,p16
minoraverages/1911Spalding,1910,Texas League,crabble,P10100,Crabble,,0,Galveston,,,,17,
minoraverages/1911Spalding,1910,Texas League,crowson,B01368,Crowson,,0,Oklahoma City,,,28,,
minoraverages/1911Spalding,1910,Texas League,crowson,F21680,Crowson,,0,Oklahoma City,,,,,p27
minoraverages/1911Spalding,1910,Texas League,crowson,P10357,Crowson,,0,Oklahoma City,,,,27,
minoraverages/1911Spalding,1910,Texas League,dale,B00705,Dale,,0,Dallas,,,30,,
minoraverages/1911Spalding,1910,Texas League,dale,F21854,Dale,,0,Dallas,,,,,p30
minoraverages/1911Spalding,1910,Texas League,dale,P10137,Dale,,0,Dallas,,,,30,
minoraverages/1911Spalding,1910,Texas League,davis,B00130,Davis,,0,Oklahoma City,,,70,,
minoraverages/1911Spalding,1910,Texas League,davis,F21286,Davis,,0,Oklahoma City,,,,,rf66
minoraverages/1911Spalding,1910,Texas League,dearsdoff,B01489,Dearsdoff,,0,Waco,,,33,,
minoraverages/1911Spalding,1910,Texas League,dearsdoff,F21752,Dearsdoff,,0,Waco,,,,,p33
minoraverages/1911Spalding,1910,Texas League,dearsdoff,P10385,Dearsdoff,,0,Waco,,,,33,
minoraverages/1911Spalding,1910,Texas League,donnelly,F21196,Donnelly,,0,Galveston,,,,,rf30
minoraverages/1911Spalding,1910,Texas League,donnelly,B00806,Donnely,,0,Galveston,,,32,,
minoraverages/1911Spalding,1910,Texas League,downey,B00068,Downey,,0,Oklahoma City,,,123,,
minoraverages/1911Spalding,1910,Texas League,downey,F20832,Downey,,0,Oklahoma City,,,,,lf121
minoraverages/1911Spalding,1910,Texas League,drohan,B01216,Drohan,,0,Oklahoma City,,,40,,
minoraverages/1911Spalding,1910,Texas League,drohan,F21833,Drohan,,0,Oklahoma City,,,,,p36
minoraverages/1911Spalding,1910,Texas League,drohan,P10290,Drohan,,0,Oklahoma City,,,,38,
minoraverages/1911Spalding,1910,Texas League,drucke,B00397,Drucke,,0,Oklahoma City,,,102,,
minoraverages/1911Spalding,1910,Texas League,drucke,F20547,Drucke,,0,Oklahoma City,,,,,3b32
minoraverages/1911Spalding,1910,Texas League,drucke,F21210,Drucke,,0,Oklahoma City,,,,,rf10
minoraverages/1911Spalding,1910,Texas League,drucke,F22085,Drucke,,0,Oklahoma City,,,,,c50
minoraverages/1911Spalding,1910,Texas League,dugey,B00475,Dugey,,0,Waco,,,114,,
minoraverages/1911Spalding,1910,Texas League,dugey,F20350,Dugey,,0,Waco,,,,,2b114
minoraverages/1911Spalding,1910,Texas League,dundon,B00783,Dundon,,0,Galveston,,,139,,
minoraverages/1911Spalding,1910,Texas League,dundon,F20233,Dundon,,0,Galveston,,,,,2b139
minoraverages/1911Spalding,1910,Texas League,ebberline,B00045,Ebberline,,0,Fort Worth,,,33,,
minoraverages/1911Spalding,1910,Texas League,ebberline,F20023,Ebberline,,0,Fort Worth,,,,,1b33
minoraverages/1911Spalding,1910,Texas League,ens,B00638,Ens,,0,Dallas,,,134,,
minoraverages/1911Spalding,1910,Texas League,ens,F20430,Ens,,0,Dallas,,,,,3b72
minoraverages/1911Spalding,1910,Texas League,ens,F20685,Ens,,0,Dallas,,,,,ss62
minoraverages/1911Spalding,1910,Texas League,eubanks,B01567,Eubanks,,0,Houston,,,35,,
minoraverages/1911Spalding,1910,Texas League,eubanks,F21158,Eubanks,,0,Houston,,,,,rf13
minoraverages/1911Spalding,1910,Texas League,eubanks,F21577,Eubanks,,0,Houston,,,,,p18
minoraverages/1911Spalding,1910,Texas League,eubanks,P10019,Eubanks,,0,Houston,,,,18,
minoraverages/1911Spalding,1910,Texas League,evans,B00840,Evans,,0,Dallas,,,38,,
minoraverages/1911Spalding,1910,Texas League,evans,F21794,Evans,,0,Dallas,,,,,p38
minoraverages/1911Spalding,1910,Texas League,evans,P10192,Evans,,0,Dallas,,,,38,
minoraverages/1911Spalding,1910,Texas League,faire,B00961,Faire,,0,Galveston,,,70,,
minoraverages/1911Spalding,1910,Texas League,faire,F20855,Faire,,0,Galveston,,,,,lf21
minoraverages/1911Spalding,1910,Texas League,faire,F20943,Faire,,0,Galveston,,,,,cf32
minoraverages/1911Spalding,1910,Texas League,farrell,B01288,Farrell,,0,Waco,,,32,,
minoraverages/1911Spalding,1910,Texas League,farrell,F21319,Farrell,,0,Waco,,,,,rf32
minoraverages/1911Spalding,1910,Texas League,feeney,B01572,Feeney,,0,San Antonio,,,24,,
minoraverages/1911Spalding,1910,Texas League,feeney,F21651,Feeney,,0,San Antonio,,,,,p24
minoraverages/1911Spalding,1910,Texas League,feeney,P10399,Feeney,,0,San Antonio,,,,24,
minoraverages/1911Spalding,1910,Texas League,fillman,B00887,Fillman,,0,Fort Worth,,,139,,
minoraverages/1911Spalding,1910,Texas League,fillman,F20265,Fillman,,0,Fort Worth,,,,,2b139
minoraverages/1911Spalding,1910,Texas League,firestine,B00771,Firestine,,0,San Antonio,,,143,,
minoraverages/1911Spalding,1910,Texas League,firestine,F20391,Firestine,,0,San Antonio,,,,,3b143
minoraverages/1911Spalding,1910,Texas League,flick,B01477,Flick,,0,Shreveport,,,48,,
minoraverages/1911Spalding,1910,Texas League,flick,F20673,Flick,,0,Shreveport,,,,,ss48
minoraverages/1911Spalding,1910,Texas League,francis,B01041,Francis,,0,Waco,,,35,,
minoraverages/1911Spalding,1910,Texas League,francis,F21936,Francis,,0,Waco,,,,,c35
minoraverages/1911Spalding,1910,Texas League,frantz,B00324,Frantz,,0,San Antonio,,,14,,
minoraverages/1911Spalding,1910,Texas League,frantz,F20190,Frantz,,0,San Antonio,,,,,1b12
minoraverages/1911Spalding,1910,Texas League,frantz,F20604,Frantz,,0,San Antonio,,,,,ss17
minoraverages/1911Spalding,1910,Texas League,french,B00278,French,,0,San Antonio,,,24,,
minoraverages/1911Spalding,1910,Texas League,french,F21381,French,,0,San Antonio,,,,,rf21
minoraverages/1911Spalding,1910,Texas League,galloway,B01617,Galloway,,0,Shreveport,,,16,,
