source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1911Spalding,1910,Washington State League,adams,B00255,Adams,,1,Chehalis,,,,,
minoraverages/1911Spalding,1910,Washington State League,adams,B00255,Adams,,2,Montesano,,,,,
minoraverages/1911Spalding,1910,Washington State League,adams,B00255,Adams,,T,,,,26,,
minoraverages/1911Spalding,1910,Washington State League,adams,F20401,Adams,,1,Chehalis,,,,,of
minoraverages/1911Spalding,1910,Washington State League,adams,F20401,Adams,,2,Montesano,,,,,of
minoraverages/1911Spalding,1910,Washington State League,adams,F20401,Adams,,T,,,,,,of26
minoraverages/1911Spalding,1910,Washington State League,anderson,B00397,Anderson,,0,Montesano,,,34,,
minoraverages/1911Spalding,1910,Washington State League,anderson,F20482,Anderson,,0,Montesano,,,,,of29
minoraverages/1911Spalding,1910,Washington State League,anderson,F20745,Anderson,,0,Montesano,,,,,p5
minoraverages/1911Spalding,1910,Washington State League,anderson,P10253,Anderson,,0,Montesano,,,,5,
minoraverages/1911Spalding,1910,Washington State League,arland,B00667,Arland,,0,Montesano,,,15,,
minoraverages/1911Spalding,1910,Washington State League,arland,F20080,Arland,,0,Montesano,,,,,1b14
minoraverages/1911Spalding,1910,Washington State League,baker-ray,B00638,Baker,,0,Raymond,,,22,,
minoraverages/1911Spalding,1910,Washington State League,baker-hoq,F20620,Baker,,0,Hoquiam,,,,,p6
minoraverages/1911Spalding,1910,Washington State League,baker-ray,F20768,Baker,,0,Raymond,,,,,p14
minoraverages/1911Spalding,1910,Washington State League,baker-ray,P10043,Baker,,0,Raymond,,,,13,
minoraverages/1911Spalding,1910,Washington State League,baker-hoq,P10113,Baker,,0,Hoquiam,,,,7,
minoraverages/1911Spalding,1910,Washington State League,ballard,B00672,Ballard,,0,Tacoma,,,24,,
minoraverages/1911Spalding,1910,Washington State League,ballard,F20067,Ballard,,0,Tacoma,,,,,1b24
minoraverages/1911Spalding,1910,Washington State League,barry,B00232,Barry,,0,Chehalis,,,56,,
minoraverages/1911Spalding,1910,Washington State League,barry,F20233,Berry,,0,Chehalis,,,,,3b56
minoraverages/1911Spalding,1910,Washington State League,boettiger.r,B00084,Boettiger,R.,0,Aberdeen,,,42,,
minoraverages/1911Spalding,1910,Washington State League,boettiger.o,B00577,Boettiger,O.,0,Aberdeen,,,33,,
