source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1911Spalding,1910,Western League,abbott,B01453,Abbott,,0,Topeka,,,68,,
minoraverages/1911Spalding,1910,Western League,abbott,F20102,Abbott,,0,Topeka,,,,,1b43
minoraverages/1911Spalding,1910,Western League,abbott,F21174,Abbott,,0,Topeka,,,,,of19
minoraverages/1911Spalding,1910,Western League,acock,B00999,Acock,,0,Omaha,,,18,,
minoraverages/1911Spalding,1910,Western League,acock,F20303,Acock,,0,Omaha,,,,,2b16
minoraverages/1911Spalding,1910,Western League,adams,B01345,Adams,,0,Denver,,,30,,
minoraverages/1911Spalding,1910,Western League,adams,F21840,Adams,,0,Denver,,,,,p29
minoraverages/1911Spalding,1910,Western League,adams,P10410,Adams,,0,Denver,,,,29,
minoraverages/1911Spalding,1910,Western League,agnew,B01674,Agnew,,0,Topeka,,,15,,
minoraverages/1911Spalding,1910,Western League,agnew,F21427,Agnew,,0,Topeka,,,,,c15
minoraverages/1911Spalding,1910,Western League,aitchison,B01595,Aitchison,,0,Wichita,,,43,,
minoraverages/1911Spalding,1910,Western League,aitchison,F21865,Aitchison,,0,Wichita,,,,,p42
minoraverages/1911Spalding,1910,Western League,aitchison,P10432,Aitchison,,0,Wichita,,,,42,
minoraverages/1911Spalding,1910,Western League,alderman,B01523,Alderman,,0,Sioux City,,,37,,
minoraverages/1911Spalding,1910,Western League,alderman,F21794,Alderman,,0,Sioux City,,,,,p37
minoraverages/1911Spalding,1910,Western League,alderman,P10361,Alderman,,0,Sioux City,,,,37,
minoraverages/1911Spalding,1910,Western League,andreas,B00806,Andreas,,0,Sioux City,,,154,,
minoraverages/1911Spalding,1910,Western League,andreas,F20206,Andreas,,0,Sioux City,,,,,2b153
minoraverages/1911Spalding,1910,Western League,bader,B01234,Bader,,0,Des Moines,,,70,,
minoraverages/1911Spalding,1910,Western League,bader,F20287,Bader,,0,Des Moines,,,,,2b12
minoraverages/1911Spalding,1910,Western League,bader,F21182,Bader,,0,Des Moines,,,,,of48
minoraverages/1911Spalding,1910,Western League,baker,B01649,Baker,,0,St. Joseph,,,35,,
minoraverages/1911Spalding,1910,Western League,baker,F21544,Baker,,0,St. Joseph,,,,,p35
minoraverages/1911Spalding,1910,Western League,baker,P10113,Baker,,0,St. Joseph,,,,35,
minoraverages/1911Spalding,1910,Western League,barber,B01313,Barber,,0,Topeka,,,31,,
minoraverages/1911Spalding,1910,Western League,barber,F21076,Barber,,0,Topeka,,,,,of17
minoraverages/1911Spalding,1910,Western League,barber,F21590,Barber,,0,Topeka,,,,,p11
minoraverages/1911Spalding,1910,Western League,barber,P10168,Barber,,0,Topeka,,,,11,
minoraverages/1911Spalding,1910,Western League,bauer,B00912,Bauer,,0,St. Joseph,,,106,,
minoraverages/1911Spalding,1910,Western League,bauer,F20807,Bauer,,0,St. Joseph,,,,,of101
minoraverages/1911Spalding,1910,Western League,beall,B00059,Beall,,0,Denver,,,170,,
minoraverages/1911Spalding,1910,Western League,beall,F20776,Beall,,0,Denver,,,,,of170
minoraverages/1911Spalding,1910,Western League,bechant,B01269,Bechant,,0,Des Moines,,,42,,
minoraverages/1911Spalding,1910,Western League,bechant,F21403,Bechant,,0,Des Moines,,,,,c35
minoraverages/1911Spalding,1910,Western League,beckley,B00672,Beckley,,0,Topeka,,,63,,
minoraverages/1911Spalding,1910,Western League,beckley,F20067,Beckley,,0,Topeka,,,,,1b62
minoraverages/1911Spalding,1910,Western League,beers,B00957,Beers,,0,Sioux City,,,12,,
minoraverages/1911Spalding,1910,Western League,belden,B00130,Belden,,0,Wichita,,,147,,
minoraverages/1911Spalding,1910,Western League,belden,F20737,Belden,,0,Wichita,,,,,of135
minoraverages/1911Spalding,1910,Western League,biersdorfer,B01242,Biersdorfer,,0,Des Moines,,,40,,
minoraverages/1911Spalding,1910,Western League,biersdorfer,F21705,Biersdorfer,,0,Des Moines,,,,,p40
minoraverages/1911Spalding,1910,Western League,biersdorfer,P10277,Biersdorfer,,0,Des Moines,,,,40,
minoraverages/1911Spalding,1910,Western League,boles,B00695,Boles,,1,Topeka,,,,,
minoraverages/1911Spalding,1910,Western League,boles,B00695,Boles,,2,St. Joseph,,,,,
minoraverages/1911Spalding,1910,Western League,boles,B00695,Boles,,T,,,,98,,
minoraverages/1911Spalding,1910,Western League,boles,F20496,Boles,,1,Topeka,,,,,3b.
