source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1912Reach,1911,Canadian League,alcock,B01170,Alcock,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,andrews,B00646,Andrews,,1,Berlin,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,andrews,B00646,Andrews,,2,London,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,andrews,B00646,Andrews,,T,,,,76,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,barberich,B00718,Barberich,,0,Hamilton,,,35,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,barrett,B00609,Barrett,,0,London,,,54,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,barry,B00068,Barry,,0,Brantford,,,95,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,barton,B00163,Barton,,0,Hamilton,,,78,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,bell,B01428,Bell,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,bierbauer,B00045,Bierbauer,,0,London,,,75,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,bignell,B01313,Bignell,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,bramble,B00229,Bramble,,0,Berlin,,,61,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,brandow,B00403,Brandow,,0,Hamilton,,,63,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,brant,B00149,Brant,,0,London,,,106,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,brese,B01203,Brese,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,bullock,B00210,Bullock,,0,Berlin,,,69,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,burill,B00651,Burill,,0,Brantford,,,106,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,burke,B00887,Burke,,0,Brantford,,,34,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,burns,B00726,Burns,,0,Berlin,,,72,,,,,,,,,,,,
researchers/blau,1911,Canadian League,,NLMNHST,Burrill,Ralph,,Brantford,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,burtlett,B01181,Burtlett,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,burton,B01384,Burton,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,cambria,B00667,Cambria,,0,Berlin,,,102,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,cameron,B00092,Cameron,,0,Berlin,,,103,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,campbell,B01466,Campbell,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,campeau,B01093,Campeau,,0,St. Thomas,,,14,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,carey,B00319,Carey,,0,Hamilton,,,29,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,carr,B01453,Carr,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,chaput,B00854,Chaput,,0,Berlin,,,34,,,,,,,,,,,,
researchers/blau,1911,Canadian League,,WQXRHVK,Chaput,Delore,,Berlin,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,clauss,B01124,Clauss,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,clauss,B01242,Clauss,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,conlay,B00434,Conlay,,0,Brantford,,,83,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,conlay,B01135,Conlay,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,conley,B01064,Conley,,0,St. Thomas,,,17,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,connell,B01368,Connell,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,corkin,B01269,Corkin,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,courtney,B00416,Courtney,,0,Brantford,,,64,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,cross,B01216,Cross,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,daum,B00811,Daum,,0,St. Thomas,,,19,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,daunard,B01288,Daunard,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,davis,B01291,Davis,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,davis,B01359,Davis,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,dee,B01275,Dee,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,deneau,B00278,Deneau,,0,Berlin,,,103,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,dinsmore,B00904,Dinsmore,,0,Berlin,,,20,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,doane,B01300,Doane,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,dougherty,B00705,Dougherty,,0,St. Thomas,,,79,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,duffy,B00076,Duffy,,0,Brantford,,,33,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,dunn-ber,B00469,Dunn,,0,Berlin,,,88,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,dunn-gue,B00589,Dunn,,0,Guelph,,,38,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,edmunds,B00528,Edmunds,,0,Hamilton,,,18,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,elliot,B00356,Elliot,,0,St. Thomas,,,78,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,fleish,B00531,Fleish,,0,St. Thomas,,,27,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,forgue,B00207,Forgue,,0,St. Thomas,,,71,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,frenske,B01321,Frenske,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,fryer,B01538,Fryer,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,graney,B00623,Graney,,0,St. Thomas,,,92,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,green,B00577,Green,,0,London,,,22,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,greene,B00084,Greene,,0,Hamilton,,,13,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,grieve,B00059,Grieve,,0,Hamilton,,,50,,,,,,,,,,,,
researchers/blau,1911,Canadian League,,CRHCPGW,Grieve,Tom,,Hamilton,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,groh,B00638,Groh,,0,Hamilton,,,27,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,gurney,B00590,Gurney,,0,St. Thomas,,,77,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,hackbush,B00381,Hackbush,,0,Hamilton,,,83,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,hadley,B00973,Hadley,,0,Brantford,,,18,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,haller,B01119,Haller,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,hammill,B01345,Hammill,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,harrison,B00442,Harrison,,0,Brantford,,,21,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,heider,B01489,Heider,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,hess,B00308,Hess,,0,Hamilton,,,28,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,hicks,B01546,Hicks,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,hight,B01580,Hight,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,hinton,B00898,Hinton,,0,Guelph,,,23,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,howick,B00491,Howick,,0,St. Thomas,,,35,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,hynes,B00783,Hynes,,0,London,,,28,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,isaacs,B00515,Isaacs,,0,Guelph,,,67,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,jeffries,B00760,Jeffries,,0,Guelph,,,81,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,jerger,B00752,Jerger,,0,NR,,,13,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,johnson,B00948,Johnson,,0,Guelph,,,35,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,kane,B00324,Kane,,0,Brantford,,,104,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,keating,B00335,Keating,,0,Hamilton,,,44,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,keenan,B00241,Keenan,,0,London,,,104,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,kehoe,B01392,Kehoe,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,kenney,B00695,Kenney,,0,Hamilton,,,107,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,kenney,B01250,Kenney,,0,,,,,,,,,,,,,,,,
researchers/blau,1911,Canadian League,,KXGNCYN,Kenney,William,,Hamilton,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,killilea,B00117,Killilea,,0,Hamilton,,,91,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,killingsworth,B00680,Killingsworth,,0,St. Thomas,,,23,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,kolseth,B00264,Kolseth,,0,Hamilton,,,65,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,konald,B01431,Konald,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,kopp,B00488,Kopp,,0,St. Thomas,,,106,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,kostal,B01402,Kostal,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,kussman,B01523,Kussman,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,kyle,B00125,Kyle,,0,London,,,85,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,laird,B01551,Laird,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,lamond,B00475,Lamond,,0,Brantford,,,86,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,lane,B00174,Lane,,1,Guelph,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,lane,B00174,Lane,,2,London,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,lane,B00174,Lane,,T,,,,93,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,lane,B01572,Lane,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,law,B01143,Law,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,lee,B00101,Lee,,0,Hamilton,,,79,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,liable,B01197,Liable,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,liable,B01444,Liable,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,lighty,B01490,Lighty,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,mcwhirter,B00450,M Whirter,,0,London,,,78,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,macdonald,B01086,MacDonald,,0,Hamilton,,,11,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,macdonald,B01227,MacDonald,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,maher,B00865,Maher,,0,Guelph,,,34,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,mason,B00912,Mason,,0,Guelph,,,31,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,mcguire,B01055,McGuire,,0,Hamilton,,,17,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,mcintyre,B01032,McIntyre,,0,London,,,12,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,mclaughlin,B00747,McLaughlin,,0,Guelph,,,54,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,miller,B00255,Miller,,0,Berlin,,,99,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,miller.j,B00362,Miller,J.,0,Berlin,,,20,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,minnes,B00021,Minnes,,0,Brantford,,,20,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,molyneaux,B00879,Molyneaux,,0,Brantford,,,16,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,morgan,B00806,Morgan,,0,Guelph,,,69,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,mueller,B00961,Mueller,,0,Berlin,,,29,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,muir,B01041,Muir,,0,Guelph,,,28,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,murphy.c,B00614,Murphy,C.,0,Hamilton,,,68,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,murphy.r,B00999,Murphy,R.,0,Hamilton,,,10,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,myers,B00822,Myers,,0,Berlin,,,27,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,nagle,B01567,Nagle,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,nichols,B00566,Nichols,,0,London,,,111,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,nichols,B01514,Nichols,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,orcutt,B00293,Orcutt,,0,Brantford,,,109,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,orth,B00833,Orth,,0,Guelph,,,44,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,pancratz,B00232,Pancratz,,0,London,,,46,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,peacock,B00672,Peacock,,0,Guelph,,,37,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,phelan,B00502,Phelan,,0,Brantford,,,28,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,pleasance,B01108,Pleasance,,0,Brantford,,,17,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,quinn,B00427,Quinn,,0,Hamilton,,,23,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,rankin,B01234,Rankin,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,rapp,B01337,Rapp,,0,,,,,,,,,,,,,,,,
minoraverages/1912Reach,1911,Canadian League,reske,B00840,Reske,,0,London,,,79,,,,,,,,,,,,
