source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
retrosheet/1911,1911,National League,adams,adamb104,Adams,Babe,,Pittsburgh,19110412,19111007,,,,,,,,,,,,,
retrosheet/1911,1911,National League,aitchison,aitcr101,Aitchison,Raleigh,,Brooklyn,19110419,19110419,,,,,,,,,,,,,
retrosheet/1911,1911,National League,alexander,alexg102,Alexander,Pete,,Philadelphia,19110415,19111003,,,,,,,,,,,,,
retrosheet/1911,1911,National League,almeida,almer101,Almeida,Rafael,,Cincinnati,19110704,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,altizer,altid101,Altizer,Dave,,Cincinnati,19110412,19110710,,,,,,,,,,,,,
retrosheet/1911,1911,National League,ames,amesr101,Ames,Red,,New York,19110412,19111026,,,,,,,,,,,,,
retrosheet/1911,1911,National League,archer,archj102,Archer,Jimmy,,Chicago,19110414,19111003,,,,,,,,,,,,,
retrosheet/1911,1911,National League,balenti,balem101,Balenti,Mike,,Cincinnati,19110719,19110913,,,,,,,,,,,,,
retrosheet/1911,1911,National League,barger,bargc101,Barger,Cy,,Brooklyn,19110412,19111010,,,,,,,,,,,,,
retrosheet/1911,1911,National League,bates,batej101,Bates,Johnny,,Cincinnati,19110412,19111012,,,,,,,,,,,,,
retrosheet/1911,1911,National League,beck,beckf101,Beck,Fred,,Cincinnati,19110412,19110707,,,,,,,,,,,,,
retrosheet/1911,1911,National League,beck,beckf101,Beck,Fred,,Philadelphia,19110710,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,becker,beckb101,Becker,Beals,,New York,19110412,19111025,,,,,,,,,,,,,
retrosheet/1911,1911,National League,beebe,beebf101,Beebe,Fred,,Philadelphia,19110419,19110808,,,,,,,,,,,,,
retrosheet/1911,1911,National League,bell,bellg101,Bell,George,,Brooklyn,19110413,19110819,,,,,,,,,,,,,
retrosheet/1911,1911,National League,benton,bentr102,Benton,Rube,,Cincinnati,19110915,19111008,,,,,,,,,,,,,
retrosheet/1911,1911,National League,bergen,bergb102,Bergen,Bill,,Brooklyn,19110412,19110920,,,,,,,,,,,,,
retrosheet/1911,1911,National League,bescher,bescb101,Bescher,Bob,,Cincinnati,19110412,19111012,,,,,,,,,,,,,
retrosheet/1911,1911,National League,bliss,blisj101,Bliss,Jack,,St. Louis,19110418,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,boyd,boydr101,Boyd,Ray,,Cincinnati,19110911,19111012,,,,,,,,,,,,,
retrosheet/1911,1911,National League,bransfield,brank101,Bransfield,Kitty,,Chicago,19110911,19110914,,,,,,,,,,,,,
retrosheet/1911,1911,National League,bransfield,brank101,Bransfield,Kitty,,Philadelphia,19110627,19110824,,,,,,,,,,,,,
retrosheet/1911,1911,National League,brennan,brena101,Brennan,Ad,,Philadelphia,19110418,19110523,,,,,,,,,,,,,
retrosheet/1911,1911,National League,bresnahan,bresr102,Bresnahan,Roger,,St. Louis,19110412,19110930,,,,,,,,,,,,,
retrosheet/1911,1911,National League,bridwell,brida101,Bridwell,Al,,Boston,19110807,19111007,,,,,,,,,,,,,
retrosheet/1911,1911,National League,bridwell,brida101,Bridwell,Al,,New York,19110412,19110720,,,,,,,,,,,,,
retrosheet/1911,1911,National League,brown-bos,browb102,Brown,Buster,,Boston,19110412,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,brown-chi,browm102,Brown,Mordecai,,Chicago,19110416,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,browne,browg102,Browne,George,,Brooklyn,19110621,19110703,,,,,,,,,,,,,
retrosheet/1911,1911,National League,burch,burca101,Burch,Al,,Brooklyn,19110415,19110730,,,,,,,,,,,,,
retrosheet/1911,1911,National League,burk,burks101,Burk,Sandy,,Brooklyn,19110719,19110905,,,,,,,,,,,,,
retrosheet/1911,1911,National League,burke,burkb101,Burke,Billy,,Boston,19110413,19110926,,,,,,,,,,,,,
retrosheet/1911,1911,National League,burns-cin+phi,burnb101,Burns,Bill,,Cincinnati,19110418,19110512,,,,,,,,,,,,,
retrosheet/1911,1911,National League,burns-cin+phi,burnb101,Burns,Bill,,Philadelphia,19110526,19110922,,,,,,,,,,,,,
retrosheet/1911,1911,National League,burns-ny,burng101,Burns,George,,New York,19111003,19111012,,,,,,,,,,,,,
retrosheet/1911,1911,National League,butler,butla101,Butler,Art,,Boston,19110414,19110524,,,,,,,,,,,,,
retrosheet/1911,1911,National League,byrne,byrnb101,Byrne,Bobby,,Pittsburgh,19110412,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,camnitz-pit,camnh101,Camnitz,Howie,,Pittsburgh,19110416,19110925,,,,,,,,,,,,,
retrosheet/1911,1911,National League,camnitz-stl,camnh102,Camnitz,Harry,,St. Louis,19110919,19111003,,,,,,,,,,,,,
retrosheet/1911,1911,National League,campbell,campv101,Campbell,Vin,,Pittsburgh,19110713,19111008,,,,,,,,,,,,,
retrosheet/1911,1911,National League,carey,carem101,Carey,Max,,Pittsburgh,19110415,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,chalmers,chalg101,Chalmers,George,,Philadelphia,19110417,19111006,,,,,,,,,,,,,
retrosheet/1911,1911,National League,chance,chanf101,Chance,Frank,,Chicago,19110412,19110914,,,,,,,,,,,,,
retrosheet/1911,1911,National League,cheney,chenl101,Cheney,Larry,,Chicago,19110909,19110917,,,,,,,,,,,,,
retrosheet/1911,1911,National League,clark,clarj101,Clark,Jim,,St. Louis,19110902,19111004,,,,,,,,,,,,,
retrosheet/1911,1911,National League,clarke-pit,clarf101,Clarke,Fred,,Pittsburgh,19110412,19110930,,,,,,,,,,,,,
retrosheet/1911,1911,National League,clarke-bos,clarj103,Clarke,Josh,,Boston,19110412,19110523,,,,,,,,,,,,,
retrosheet/1911,1911,National League,clarke-cin,clart101,Clarke,Tommy,,Cincinnati,19110412,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,cole,colek101,Cole,King,,Chicago,19110513,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,collins,collb101,Collins,Bill,,Boston,19110418,19110609,,,,,,,,,,,,,
retrosheet/1911,1911,National League,collins,collb101,Collins,Bill,,Chicago,19110611,19110715,,,,,,,,,,,,,
retrosheet/1911,1911,National League,compton,compj101,Compton,Jack,,Cincinnati,19110907,19110930,,,,,,,,,,,,,
retrosheet/1911,1911,National League,conwell,conwe101,Conwell,Ed,,St. Louis,19110922,19110922,,,,,,,,,,,,,
retrosheet/1911,1911,National League,cotter,cottd101,Cotter,Dick,,Philadelphia,19110817,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,cottrell,cotte101,Cottrell,Ensign,,Pittsburgh,19110621,19110621,,,,,,,,,,,,,
retrosheet/1911,1911,National League,coulson,coulb101,Coulson,Bob,,Brooklyn,19110412,19111012,,,,,,,,,,,,,
retrosheet/1911,1911,National League,crandall,crand101,Crandall,Doc,,New York,19110415,19111026,,,,,,,,,,,,,
retrosheet/1911,1911,National League,curtis,curtc101,Curtis,Cliff,,Boston,19110415,19110609,,,,,,,,,,,,,
retrosheet/1911,1911,National League,curtis,curtc101,Curtis,Cliff,,Chicago,19110623,19110810,,,,,,,,,,,,,
retrosheet/1911,1911,National League,curtis,curtc101,Curtis,Cliff,,Philadelphia,19110825,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,dahlen,dahlb102,Dahlen,Bill,,Brooklyn,19111012,19111012,,,,,,,,,,,,,
retrosheet/1911,1911,National League,dale,daleg101,Dale,Gene,,St. Louis,19110919,19111004,,,,,,,,,,,,,
retrosheet/1911,1911,National League,daley,dalej101,Daley,Jud,,Brooklyn,19110919,19111012,,,,,,,,,,,,,
retrosheet/1911,1911,National League,daubert,daubj101,Daubert,Jake,,Brooklyn,19110412,19111012,,,,,,,,,,,,,
retrosheet/1911,1911,National League,davidson,davib107,Davidson,Bill,,Brooklyn,19110412,19110918,,,,,,,,,,,,,
retrosheet/1911,1911,National League,dent,dente101,Dent,Eddie,,Brooklyn,19110917,19111012,,,,,,,,,,,,,
retrosheet/1911,1911,National League,devlin,devla101,Devlin,Art,,New York,19110412,19111012,,,,,,,,,,,,,
retrosheet/1911,1911,National League,devore,devoj101,Devore,Josh,,New York,19110412,19111026,,,,,,,,,,,,,
retrosheet/1911,1911,National League,donlin,donlm101,Donlin,Mike,,Boston,19110805,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,donlin,donlm101,Donlin,Mike,,New York,19110616,19110727,,,,,,,,,,,,,
retrosheet/1911,1911,National League,donnelly,donne102,Donnelly,Ed,,Boston,19110919,19111006,,,,,,,,,,,,,
retrosheet/1911,1911,National League,dooin,dooir101,Dooin,Red,,Philadelphia,19110412,19110726,,,,,,,,,,,,,
retrosheet/1911,1911,National League,doolin,doolm101,Doolin,Mickey,,Philadelphia,19110412,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,downey,downt101,Downey,Tom,,Cincinnati,19110412,19111009,,,,,,,,,,,,,
retrosheet/1911,1911,National League,doyle-chi,doylj107,Doyle,Jim,,Chicago,19110424,19111012,,,,,,,,,,,,,
retrosheet/1911,1911,National League,doyle-ny,doyll101,Doyle,Larry,,New York,19110412,19111026,,,,,,,,,,,,,
retrosheet/1911,1911,National League,drucke,drucl101,Drucke,Louis,,New York,19110415,19111012,,,,,,,,,,,,,
retrosheet/1911,1911,National League,egan,egand102,Egan,Dick,,Cincinnati,19110420,19111012,,,,,,,,,,,,,
