source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,ohlstrom,P7947376,Ahlstrom,,,Canton,19110501,19110501,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,ainsworth,P9261263,Ainsworth,,,Youngstown,19110515,19110518,2,2,0,0,0,0,0,0,0,0,0,2,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,ainsworth,B00609,Ainsworth,,0,Youngstown,,,56,,,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,ainsworth,F21264,Ainsworth,,0,Youngstown,,,,,,,,,,,,15,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,ainsworth,F21553,Ainsworth,,0,Youngstown,,,,,,,,,,,,,,28,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,ainsworth,P10043,Ainsworth,,0,Youngstown,,,,28,,,,,,,,,,,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,ohlstrom,P0780343,Ashstrom,,,Canton,19110506,19110506,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,barrett,P9708061,Barrett,,,New Castle,19110427,19110518,20,0,19,1,0,0,0,0,0,0,0,0,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,B00783,Barrett,J.,0,Steubenville,,,109,,,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,F20131,Barrett,J.,1,New Castle,,,,,yes,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,F20131,Barrett,J.,2,Mansfield,,,,,yes,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,F20131,Barrett,J.,3,Sharon,,,,,yes,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,F20131,Barrett,J.,T,,,,,,39,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,F20342,Barrett,J.,1,New Castle,,,,,,yes,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,F20342,Barrett,J.,2,Mansfield,,,,,,yes,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,F20342,Barrett,J.,3,Sharon,,,,,,yes,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,F20342,Barrett,J.,T,,,,,,,53,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,F21308,Barrett,J.,1,New Castle,,,,,,,,,,,,yes,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,F21308,Barrett,J.,2,Sharon,,,,,,,,,,,,yes,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,F21308,Barrett,J.,3,Steubenville,,,,,,,,,,,,yes,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,barrett,F21308,Barrett,J.,T,,,,,,,,,,,,,18,,,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,bartholomew,P2447344,Bartholomew,,,East Liverpool,19110428,19110428,1,1,0,0,0,0,0,0,0,0,0,1,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,bartholomew,P10746,Bartholomew,,0,East Liverpool,,,,1,,,,,,,,,,,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,baxter,P8003471,Baxter,,,New Castle,19110517,19110518,2,0,0,0,0,2,0,0,0,0,0,0,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,baxter,B00544,Baxter,,0,Sharon,,,26,,,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,baxter,F20211,Baxter,,1,New Castle,,,,,,yes,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,baxter,F20211,Baxter,,2,Sharon,,,,,,yes,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,baxter,F20211,Baxter,,T,,,,,,,11,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,baxter,F20700,Baxter,,1,New Castle,,,,,,,,yes,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,baxter,F20700,Baxter,,2,Sharon,,,,,,,,yes,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,baxter,F20700,Baxter,,T,,,,,,,,,11,,,,,,,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,becker,P5195548,Becker,,,Youngstown,19110428,19110510,7,0,0,0,5,0,0,0,0,0,0,0,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,becknell,P10949,Becknell,,0,East Liverpool,,,,1,,,,,,,,,,,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,deiters,P5484707,Beiters,,,Steubenville,19110511,19110511,1,0,0,0,1,0,0,0,0,0,0,0,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,dell,P2152907,Bell,,,East Liverpool,19110504,19110514,2,0,0,0,0,0,2,2,0,0,0,0,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,bencenbau,P11051,Bencenbau,,0,Mansfield,,,,2,,,,,,,,,,,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,best,P3868791,Best,,,New Castle,19110428,19110507,8,0,0,0,0,8,0,0,0,0,0,0,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,bevan,P4940258,Bevan,,,Mansfield,19110427,19110514,10,0,0,3,5,2,0,0,0,0,0,0,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,bevan,B01055,Bevan,,0,Mansfield,,,12,,,,,,,,,,,,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,bevan,P8819946,Bevin,,,Mansfield,19110510,19110510,1,0,0,0,0,1,0,0,0,0,0,0,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,bierbauer,P4592298,Bierba'r,,,East Liverpool,19110512,19110512,1,0,1,0,0,0,0,0,0,0,0,0,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,bierbauer,P6239197,Bierbauer,,,East Liverpool,19110513,19110518,6,0,6,0,0,0,0,0,0,0,0,0,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,bierbauer,B00898,Bierbauer,,0,East Liverpool,,,11,,,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,bierbauer,F20038,Bierbauer,,0,East Liverpool,,,,,11,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,biery,B00747,Biery,,0,Erie,,,66,,,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,biery,F20023,Biery,,0,Erie,,,,,66,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,bisland,B00566,Bisland,,0,Youngstown,,,106,,,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,bisland,F20449,Bisland,,0,Youngstown,,,,,,,78,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,bisland,F20673,Bisland,,0,Youngstown,,,,,,,,12,,,,,,,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,blake,P7028245,Blake,,,Mansfield,19110502,19110511,9,0,0,0,8,0,0,0,0,0,0,0,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,blanchard,P11038,Blanchard,,0,Sharon,,,,1,,,,,,,,,,,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,blinke,P8734433,Blinke,,,East Liverpool,19110517,19110518,2,0,0,0,0,0,0,0,0,0,2,0,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,blinke,B01078,Blinke,,0,East Liverpool,,,85,,,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,blinke,F21865,Blinke,,0,East Liverpool,,,,,,,,,,,,,85,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,bowman,B01291,Bowman,,0,Youngstown,,,21,,,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,bowman,F20768,Bowman,,0,Youngstown,,,,,,,,,,18,,,,,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,doyle,P2435577,Boyle,,,Akron,19110505,19110506,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,boyle-el,P3082375,Boyle,,,East Liverpool,19110502,19110514,6,0,0,0,0,0,0,0,0,0,3,0,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,brittsen,B01595,Brittsen,,0,Canton,,,10,,,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,brittsen,F21343,Brittsen,,0,Canton,,,,,,,,,,,,,,10,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,brittsen,P10019,Brittsen,,0,Canton,,,,10,,,,,,,,,,,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,brown.s,P1927890,Brown,S.,,New Castle,19110518,19110518,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,brown.e,P4996838,Brown,,,Akron,19110503,19110518,4,4,0,0,0,0,0,0,0,0,0,4,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,brown,P7123793,Brown,,,New Castle,19110428,19110517,6,4,0,0,0,0,1,1,0,0,0,4,
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,brown.h,P9093319,Brown,H.,,New Castle,19110518,19110518,1,0,0,0,0,0,1,1,0,0,0,0,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,brown.e,B00680,Brown,E.,0,Akron,,,31,,,,,,,,,,,,
minoraverages/1912Reach,1911,Ohio-Pennsylvania League,brown.h,B01064,Brown,H.,0,Sharon,,,21,,,,,,,,,,,,
