source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
retrosheet/1912,1912,American League,adams-cle,adamb106,Adams,Bert,,Cleveland,19120511,19121005,,,
retrosheet/1912,1912,American League,adams-stl,adamw101,Adams,Willie,,St. Louis,19120630,19120927,,,
retrosheet/1912,1912,American League,agler,aglej101,Agler,Joe,,Washington,19121001,19121005,,,
retrosheet/1912,1912,American League,ainsmith,ainse101,Ainsmith,Eddie,,Washington,19120411,19120906,,,
retrosheet/1912,1912,American League,aiton,aitog101,Aiton,George,,St. Louis,19120629,19120728,,,
retrosheet/1912,1912,American League,akers,akerj101,Akers,Jerry,,Washington,19120504,19120525,,,
retrosheet/1912,1912,American League,alexander,alexw101,Alexander,Walt,,St. Louis,19120621,19121005,,,
retrosheet/1912,1912,American League,allison,allim102,Allison,Mack,,St. Louis,19120421,19121006,,,
retrosheet/1912,1912,American League,altrock,altrn101,Altrock,Nick,,Washington,19121005,19121005,,,
retrosheet/1912,1912,American League,austin,austj101,Austin,Jimmy,,St. Louis,19120411,19121006,,,
retrosheet/1912,1912,American League,bailey,bailb101,Bailey,Bill,,St. Louis,19120422,19120503,,,
retrosheet/1912,1912,American League,baker-phi,bakef102,Baker,Home Run,,Philadelphia,19120411,19121005,,,
retrosheet/1912,1912,American League,baker-cle,bakeh101,Baker,Howard,,Cleveland,19120811,19120828,,,
retrosheet/1912,1912,American League,ball,balln101,Ball,Neal,,Boston,19120629,19121010,,,
retrosheet/1912,1912,American League,ball,balln101,Ball,Neal,,Cleveland,19120427,19120620,,,
retrosheet/1912,1912,American League,barrows,barrc102,Barrows,Cuke,,Chicago,19120830,19120918,,,
retrosheet/1912,1912,American League,barry.h,barrh101,Barry,Hardin,,Philadelphia,19120621,19120717,,,
retrosheet/1912,1912,American League,barry.j,barrj104,Barry,Jack,,Philadelphia,19120411,19121005,,,
retrosheet/1912,1912,American League,bashang,basha101,Bashang,Al,,Detroit,19120730,19120807,,,
retrosheet/1912,1912,American League,baskette,baskj101,Baskette,Jim,,Cleveland,19120412,19121003,,,
retrosheet/1912,1912,American League,batten,battg101,Batten,George,,New York,19120928,19120928,,,
retrosheet/1912,1912,American League,baumann,baump101,Baumann,Paddy,,Detroit,19120423,19120616,,,
retrosheet/1912,1912,American League,baumgardner,baumg101,Baumgardner,George,,St. Louis,19120414,19121005,,,
retrosheet/1912,1912,American League,becker,beckc102,Becker,Charlie,,Washington,19120426,19120518,,,
retrosheet/1912,1912,American League,bedient,bedih101,Bedient,Hugh,,Boston,19120426,19121016,,,
retrosheet/1912,1912,American League,bell,bellr101,Bell,Ralph,,Chicago,19120716,19120722,,,
retrosheet/1912,1912,American League,bender,bendc101,Bender,Chief,,Philadelphia,19120425,19121005,,,
retrosheet/1912,1912,American League,benz,benzj101,Benz,Joe,,Chicago,19120425,19121006,,,
retrosheet/1912,1912,American League,berran,berrd101,Berran,Dennis,,Chicago,19120811,19120811,,,
retrosheet/1912,1912,American League,birmingham,birmj101,Birmingham,Joe,,Cleveland,19120421,19121002,,,
retrosheet/1912,1912,American League,blackburne,blacl101,Blackburne,Lena,,Chicago,19120515,19120706,,,
retrosheet/1912,1912,American League,blanding,blanf102,Blanding,Fred,,Cleveland,19120413,19121002,,,
retrosheet/1912,1912,American League,block,blocb101,Block,Bruno,,Chicago,19120412,19120803,,,
