source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1913Reach,1912,Border League,aniot,B00370,Aniot,,0,Wyandotte,,,14,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,aniot,F20375,Aniot,,0,Wyandotte,,,,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,baker,B00811,Baker,,0,Pontiac,,,3,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,baker,F20810,Baker,,0,Pontiac,,,,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,barber,B01124,Barber,,0,Windsor,,,1,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,barber,F21125,Barber,,0,Windsor,,,,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,barret,B01108,Barret,,0,Wyandotte,,,2,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,barret,F21101,Barret,,0,Wyandotte,,,,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,barrett,B00013,Barrett,,0,Windsor,,,1,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,barrett,F20014,Barrett,,0,Windsor,,,,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,barris,B00403,Barris,,0,Mount Clemens,,,6,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,barris,F20401,Barris,,0,Mount Clemens,,,,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,barun,B00255,Barun,,0,Mount Clemens,,,11,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,barun,F20254,Barun,,0,Mount Clemens,,,,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,berry,B00319,Berry,,0,Wyandotte,,,7,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,berry,F20316,Berry,,0,Wyandotte,,,,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,bertram,B00638,Bertram,,0,Windsor,,,1,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,bertram,F20636,Bertram,,0,Windsor,,,,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,boetiner,B00125,Boetiner,,0,Wyandotte,,,21,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,boetiner,F20128,Boetiner,,0,Wyandotte,,,,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,bowen,B00434,Bowen,,0,Port Huron,,,10,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,bowen,F20430,Bowen,,0,Port Huron,,,,,,,,,,,,,,,
minoraverages/1913Reach,1912,Border League,breslin,B00854,Breslin,,0,Port Huron,,,15,,,,,,,,,,,,
