source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
boxscores/1912/1912-CN,1912,Carolina Association,agnew,P8999923,Agnew,,,Charlotte,19120425,19120902,99,0,1b12b99
boxscores/1912/1912-CO,1912,Carolina Association,agnew,P7282260,Agnew,,,Charlotte,19120629,19120704,2,0,2b2
minoraverages/1913Reach,1912,Carolina Association,agnew,B00427,Agnew,,0,Charlotte,,,104,,
minoraverages/1913Reach,1912,Carolina Association,agnew,B01376,Agnew,,0,all,,,,,
minoraverages/1913Reach,1912,Carolina Association,agnew,B01765,Agnew,,0,all,,,,,
minoraverages/1913Reach,1912,Carolina Association,agnew,B02081,Agnew,,0,all,,,,,
minoraverages/1913Reach,1912,Carolina Association,agnew,F20190,Agnew,,0,Charlotte,,,,,2b105
boxscores/1912/1912-CN,1912,Carolina Association,agnew,P6702502,Agnews,,,Charlotte,19120502,19120502,1,0,2b1
boxscores/1912/1912-CN,1912,Carolina Association,ballinger,P7806913,Ballinger,,,Greensboro,19120501,19120501,1,1,p1
boxscores/1912/1912-CN,1912,Carolina Association,bannister,P6500686,Bannister,,,Greenville,19120724,19120902,21,10,p101b4of4cf1rf3
minoraverages/1913Reach,1912,Carolina Association,bannister,B00623,Bannister,,0,Greenville,,,22,,
minoraverages/1913Reach,1912,Carolina Association,bannister,F21045,Bannister,,0,Greenville,,,,,p10
minoraverages/1913Reach,1912,Carolina Association,bannister,P10266,Bannister,,0,Greenville,,,,10,
boxscores/1912/1912-CN,1912,Carolina Association,barbare,P9321495,Barbare,,,Greenville,19120426,19120902,112,0,2b13b108ss3
boxscores/1912/1912-CO,1912,Carolina Association,barbare,P1666264,Barbare,,,Greenville,19120629,19120629,1,0,3b1
minoraverages/1913Reach,1912,Carolina Association,barbare,B00589,Barbare,,0,Greenville,,,114,,
minoraverages/1913Reach,1912,Carolina Association,barbare,B01466,Barbare,,0,all,,,,,
minoraverages/1913Reach,1912,Carolina Association,barbare,F20287,Barbare,,0,Greenville,,,,,3b112
boxscores/1912/1912-CN,1912,Carolina Association,barbare,P8036901,Barbore,,,Greenville,19120425,19120425,1,0,3b1
boxscores/1912/1912-CN,1912,Carolina Association,barr@ump,P4665268,Barr,,,#umpire,19120510,19120711,,,
boxscores/1912/1912-CO,1912,Carolina Association,barr@ump,P2953365,Barr,,,#umpire,19120629,19120704,,,
minoraverages/1913Reach,1912,Carolina Association,bausewein,B00092,Bausewein,,0,Charlotte,,,24,,
minoraverages/1913Reach,1912,Carolina Association,bausewein,F21000,Bausewein,,0,Charlotte,,,,,p13
minoraverages/1913Reach,1912,Carolina Association,bausewein,P10019,Bausewein,,0,Charlotte,,,,10,
boxscores/1912/1912-CN,1912,Carolina Association,bausewein,P6781668,Bausewine,,,Charlotte,19120524,19120524,1,0,
boxscores/1912/1912-CN,1912,Carolina Association,bausewein@ump,P0535755,Bauswein,,,#umpire,19120601,19120601,,,
boxscores/1912/1912-CN,1912,Carolina Association,bausewein,P3873599,Bauswein,,,Charlotte,19120603,19120829,20,10,p10c1of6lf6
boxscores/1912/1912-CN,1912,Carolina Association,bausewein,P9271903,Bauswine,,,Charlotte,19120515,19120530,3,2,p2
boxscores/1912/1912-CN,1912,Carolina Association,boyne,P9130992,Bayne,,,Charlotte,19120425,19120425,1,0,1b1
boxscores/1912/1912-CN,1912,Carolina Association,benbow,P0022862,Benbow,,,Greensboro,19120601,19120611,4,0,ss3
boxscores/1912/1912-CN,1912,Carolina Association,bentley,P3212660,Bentley,,,Charlotte,19120425,19120902,95,0,c3of92rf92
boxscores/1912/1912-CO,1912,Carolina Association,bentley,P2677653,Bentley,,,Charlotte,19120704,19120704,1,0,of1rf1
minoraverages/1913Reach,1912,Carolina Association,bentley,B00343,Bentley,,0,Charlotte,,,98,,
minoraverages/1913Reach,1912,Carolina Association,bentley,B01234,Bentley,,0,all,,,,,
minoraverages/1913Reach,1912,Carolina Association,bentley,F20776,Bentley,,0,Charlotte,,,,,of95
boxscores/1912/1912-CN,1912,Carolina Association,betsill,P9333715,Betsill,,,Spartanburg,19120502,19120502,1,1,p1
boxscores/1912/1912-CN,1912,Carolina Association,bitting,P6309266,Biting,,,Anderson,19120506,19120801,70,0,2b13b68of1lf1
boxscores/1912/1912-CO,1912,Carolina Association,bitting,P4591603,Biting,,,Anderson,19120629,19120704,2,0,3b2
minoraverages/1913Reach,1912,Carolina Association,bitting,B00752,Bitting,,0,Anderson,,,73,,
minoraverages/1913Reach,1912,Carolina Association,bitting,B01242,Bitting,,0,all,,,,,
minoraverages/1913Reach,1912,Carolina Association,bitting,B01551,Bitting,,0,all,,,,,
minoraverages/1913Reach,1912,Carolina Association,bitting,F20316,Bitting,,0,Anderson,,,,,3b73
boxscores/1912/1912-CN,1912,Carolina Association,blackstone,P1910510,Blackstone,,,Greenville,19120425,19120712,68,1,p1of68lf67cf1
boxscores/1912/1912-CO,1912,Carolina Association,blackstone,P5874063,Blackstone,,,Greenville,19120629,19120629,1,0,of1lf1
minoraverages/1913Reach,1912,Carolina Association,blackstone,B00196,Blackstone,,0,Greenville,,,69,,
minoraverages/1913Reach,1912,Carolina Association,blackstone,B01384,Blackstone,,0,all,,,,,
minoraverages/1913Reach,1912,Carolina Association,blackstone,B01514,Blackstone,,0,all,,,,,
minoraverages/1913Reach,1912,Carolina Association,blackstone,B01779,Blackstone,,0,all,,,,,
minoraverages/1913Reach,1912,Carolina Association,blackstone,F20636,Blackstone,,0,Greenville,,,,,of69
boxscores/1912/1912-CN,1912,Carolina Association,bowen-gvl,P2664387,Bowen,,,Greenville,19120506,19120514,7,0,ss7
boxscores/1912/1912-CN,1912,Carolina Association,bowen-and,P4661648,Bowen,,,Anderson,19120513,19120513,1,0,of1rf1
boxscores/1912/1912-CN,1912,Carolina Association,bowen-gbo,P8858540,Bowen,,,Greensboro,19120727,19120727,1,0,2b1
boxscores/1912/1912-CN,1912,Carolina Association,bowers@ump,P1096063,Bowers,,,#umpire,19120603,19120725,,,
boxscores/1912/1912-CN,1912,Carolina Association,bowers,P1696391,Bowers,,,Anderson,19120425,19120511,10,0,of9lf8cf1
boxscores/1912/1912-CN,1912,Carolina Association,boyle,P2345799,Boyle,,,Winston-Salem,19120425,19120902,78,43,p432b63b1ss5of15lf2cf4rf9
boxscores/1912/1912-CO,1912,Carolina Association,boyle,P9723176,Boyle,,,Winston-Salem,19120629,19120704,2,1,p1ss1
minoraverages/1913Reach,1912,Carolina Association,boyle,B00475,Boyle,,0,Winston-Salem,,,79,,
minoraverages/1913Reach,1912,Carolina Association,boyle,B01538,Boyle,,0,all,,,,,
minoraverages/1913Reach,1912,Carolina Association,boyle,F20737,Boyle,,0,Winston-Salem,,,,,of15
minoraverages/1913Reach,1912,Carolina Association,boyle,F20855,Boyle,,0,Winston-Salem,,,,,p37
minoraverages/1913Reach,1912,Carolina Association,boyle,P10035,Boyle,,0,Winston-Salem,,,,37,
boxscores/1912/1912-CN,1912,Carolina Association,boyne,P7846398,Boyne,,,Charlotte,19120426,19120618,43,1,p11b42of1rf1
