source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1912/1912-DMN,1912,South Central League,adams-par,P0386295,Adams,,,Paris,19120423,19120507,6,4,0,0,0,0,1,0,1,0,0,4,
boxscores/1912/1912-DMN,1912,South Central League,adams-cle,P1810568,Adams,,,Cleburne,19120425,19120508,9,0,0,0,0,0,9,5,3,1,0,0,
minoraverages/1913Reach,1912,South Central League,adams-par,B00130,Adams,,0,Paris,,,35,,,,,,,,,,,,
minoraverages/1913Reach,1912,South Central League,adams-cle,B00370,Adams,,0,Cleburne,,,61,,,,,,,,,,,,
minoraverages/1913Reach,1912,South Central League,adams-par,F20526,Adams,R.,0,Paris,,,,,,,,,18,,,,,,
minoraverages/1913Reach,1912,South Central League,adams-cle,F20784,Adams,,0,Cleburne,,,,,,,,,57,,,,,,
minoraverages/1913Reach,1912,South Central League,adams-par,F21149,Adams,,0,Paris,,,,,,,,,,,,,,12,
minoraverages/1913Reach,1912,South Central League,adams-par,P10231,Adams,,0,Paris,,,,13,,,,,,,,,,,
boxscores/1912/1912-DMN,1912,South Central League,adams-cle,P5170420,Adams [CLE],,,Cleburne,19120502,19120502,1,0,0,0,0,0,1,1,0,0,0,0,
boxscores/1912/1912-DMN,1912,South Central League,adams-cle,P9947316,Adams [Cle],,,Cleburne,19120503,19120505,2,0,0,0,0,0,2,2,0,0,0,0,
boxscores/1912/1912-DMN,1912,South Central League,adams-par,P6682578,Adams [PAR],,,Paris,19120502,19120502,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,South Central League,adams-par,P3328786,Adams [Par],,,Paris,19120503,19120505,2,0,0,0,0,0,1,0,0,1,0,0,
boxscores/1912/1912-DMN,1912,South Central League,allen@ump,P4333168,Allen,,,#umpire,19120508,19120508,,,,,,,,,,,,,
boxscores/1912/1912-DMN,1912,South Central League,allen,P8098237,Allen,,,Texarkana,19120423,19120508,15,0,0,0,0,0,9,0,0,9,6,0,
