source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,adams,P0984615,Adams,,,Greenville,19120425,19120508,5,4,0,0,0,0,1,0,0,1,0,4,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,adkins,P4478075,Adkins,,,Greenville,19120425,19120427,2,0,0,0,2,0,0,0,0,0,0,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,anderson,P9695907,Anderson,,,Bonham,19120425,19120508,4,4,0,0,0,0,0,0,0,0,0,4,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,angell,P5719286,Angel,,,Wichita Falls,19120508,19120508,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,angell,P7239106,Angell,,,Wichita Falls,19120502,19120502,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,arnold@ump,P6314982,Arnold,,,#umpire,19120505,19120505,,,,,,,,,,,,,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,atkins,P6965560,Atkin,,,Greenville,19120430,19120501,2,0,0,0,2,0,0,0,0,0,0,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,atkins,P1423371,Atkins,,,Greenville,19120426,19120508,8,0,0,0,8,0,0,0,0,0,0,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,atkins,P1966828,Atlins,,,Greenville,19120505,19120505,1,0,0,0,1,0,0,0,0,0,0,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,awalt,P9170829,Awald,,,Denison,19120429,19120429,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,awalt,P9602077,Awalt,,,Denison,19120426,19120506,3,3,0,0,0,0,0,0,0,0,0,3,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,baker,P9770062,Baker,,,Bonham,19120425,19120508,13,0,0,0,0,0,13,13,0,0,0,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,ballew,P2422825,Balew,,,Ardmore,19120506,19120508,2,0,0,0,0,0,1,1,0,0,1,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,ballew,P9341941,Ballew,,,Ardmore,19120428,19120507,9,0,0,0,0,0,0,0,0,0,9,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,barnett,P8218321,Barnett,,,Greenville,19120429,19120501,3,2,0,0,0,0,1,0,0,1,0,2,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,baxter,P7350869,Baxter,,,Wichita Falls,19120427,19120505,3,3,0,0,0,0,0,0,0,0,0,3,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,beckham,P6141316,Beck,,,Wichita Falls,19120505,19120508,4,0,4,0,1,0,0,0,0,0,0,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,beckham,P4939130,Beckham,,,Wichita Falls,19120502,19120503,2,0,2,0,0,0,0,0,0,0,0,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,belden,P5641948,Belden,,,McKinney,19120503,19120503,1,0,1,0,0,0,0,0,0,0,0,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,ballew,P4362669,Belew,,,Ardmore,19120425,19120427,3,0,0,0,0,0,0,0,0,0,3,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,bobo,P8924966,Bobo,,,Denison,19120425,19120508,10,0,0,0,0,0,1,0,0,1,8,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,boyd,P5462880,Boyd,,,McKinney,19120508,19120508,1,1,0,0,0,1,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,bralley,P4219029,Bradley,,,McKinney,19120503,19120507,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,bralley,P2248733,Bralley,,,McKinney,19120501,19120508,3,0,0,0,0,0,0,0,0,0,3,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,bralley,P5789576,Brawley,,,McKinney,19120505,19120505,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,brooks,P5382804,Brooks,,,Denison,19120425,19120507,13,0,0,0,0,12,1,1,0,0,0,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,bralley,P4504982,Browley,,,McKinney,19120506,19120506,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,brown,P2142775,Brown,,,Wichita Falls,19120425,19120508,11,0,0,0,0,0,11,0,0,11,0,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,beckham,P7316746,Buckham,,,Wichita Falls,19120504,19120504,1,0,1,0,0,0,0,0,0,0,0,0,
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,burnett,P4711781,Burnett,,,Greenville,19120426,19120426,1,1,0,0,0,0,0,0,0,0,0,1,
