source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1914Reach,1913,American Association,allison,P10894,Allison,,0,Kansas City,,,,10,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,altizer,B00232,Altizer,,0,Minneapolis,,,166,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,altizer,F20552,Altizer,,0,Minneapolis,,,,,,,,166,,,,,,,
minoraverages/1914Reach,1913,American Association,autrey,B00590,Autrey,,0,St. Paul,,,169,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,autrey,F20014,Autrey,,0,St. Paul,,,,,169,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,barbeau,B00680,Barbeau,,0,Kansas City,,,144,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,barbeau,F20449,Barbeau,,0,Kansas City,,,,,,,144,,,,,,,,
minoraverages/1914Reach,1913,American Association,baskette,B01156,Baskette,,0,Toledo,,,39,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,baskette,F21667,Baskette,,0,Toledo,,,,,,,,,,,,,,33,
minoraverages/1914Reach,1913,American Association,baskette,P10348,Baskette,,0,Toledo,,,,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,baskette,P10871,Baskette,,0,Toledo,,,,31,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,bassler,F21397,Bassler,,0,Toledo,,,,,,,,,,,,,11,,
minoraverages/1914Reach,1913,American Association,baxter,B00865,Baxter,,0,Kansas City,,,31,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,baxter,F20745,Baxter,,0,Kansas City,,,,,,,,,22,,,,,,
researchers/blau,1913,American Association,baxter,NWYLPWR,Baxter,Roy,,Kansas City,,,,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,beall,B00794,Beall,,0,Milwaukee,,,79,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,beall,F21013,Beall,,0,Milwaukee,,,,,,,,,78,,,,,,
minoraverages/1914Reach,1913,American Association,beaumiller,B00771,Beaumiller,,0,Louisville,,,165,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,beaumiller,F20526,Beaumiller,,0,Louisville,,,,,,,,165,,,,,,,
minoraverages/1914Reach,1913,American Association,benn,F21515,Benn,,0,Toledo,,,,,,,,,,,,,,13,
minoraverages/1914Reach,1913,American Association,benn,P11046,Benn,,0,Toledo,,,,16,,,,,,,,,,,
researchers/blau,1913,American Association,benn,SMDNGGH,Benn,Henry,,Toledo,,,,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,benson,B01041,Benson,,0,Columbus,,,164,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,benson,F20287,Benson,,0,Columbus,,,,,,164,,,,,,,,,
minoraverages/1914Reach,1913,American Association,berg,B01170,Berg,,0,Milwaukee,,,68,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,berg,F20279,Berg,,0,Milwaukee,,,,,,32,,,,,,,,,
minoraverages/1914Reach,1913,American Association,blackburne,B00544,Blackburne,,0,Milwaukee,,,165,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,blackburne,F20539,Blackburne,,0,Milwaukee,,,,,,,,163,,,,,,,
minoraverages/1914Reach,1913,American Association,bluhm,B01227,Bluhm,,0,Toledo,,,132,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,bluhm,F20067,Bluhm,,0,Toledo,,,,,132,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,bonnin,B00308,Bonnin,,0,Columbus,,,32,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,bonnin,F21229,Bonnin,,0,Columbus,,,,,,,,,30,,,,,,
minoraverages/1914Reach,1913,American Association,booe,B00174,Booe,,0,St. Paul,,,43,,,,,,,,,,,,
minoraverages/1914Reach,1913,American Association,booe,F20776,Booe,,0,St. Paul,,,,,,,,,40,,,,,,
minoraverages/1914Reach,1913,American Association,boyle,B01078,Boyle,,0,Louisville,,,38,,,,,,,,,,,,
