source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,Appalachian League,alexander,B00544,Alexander,,0,Johnson City,,,104,,
minoraverages/1914Spalding,1913,Appalachian League,alexander,F20388,Alexander,,0,Johnson City,,,,,of104
minoraverages/1914Spalding,1913,Appalachian League,anderson,B01143,Anderson,,0,Knoxville,,,,,
minoraverages/1914Spalding,1913,Appalachian League,anderson,F20583,Anderson,,0,Knoxville,,,,,p5
minoraverages/1914Spalding,1913,Appalachian League,anderson,P10024,Anderson,,0,Knoxville,,,,5,
minoraverages/1914Spalding,1913,Appalachian League,bales,B00343,Bales,,0,Rome,,,32,,
minoraverages/1914Spalding,1913,Appalachian League,bales,F20177,Bales,,0,Rome,,,,,3b32
minoraverages/1914Spalding,1913,Appalachian League,bauer,B00638,Bauer,,0,Middlesboro,,,32,,
minoraverages/1914Spalding,1913,Appalachian League,bauer,F20240,Bauer,,0,Middlesboro,,,,,3b32
minoraverages/1914Spalding,1913,Appalachian League,baver,B00936,Baver,,1,Johnson City,,,,,
minoraverages/1914Spalding,1913,Appalachian League,baver,B00936,Baver,,2,Morristown,,,,,
minoraverages/1914Spalding,1913,Appalachian League,baver,B00936,Baver,,T,,,,18,,
minoraverages/1914Spalding,1913,Appalachian League,baver,F20855,Baver,,1,Johnson City,,,,,p
minoraverages/1914Spalding,1913,Appalachian League,baver,F20855,Baver,,2,Morristown,,,,,p
minoraverages/1914Spalding,1913,Appalachian League,baver,F20855,Baver,,T,,,,,,p18
minoraverages/1914Spalding,1913,Appalachian League,baver,P10277,Baver,,1,Johnson City,,,,,
minoraverages/1914Spalding,1913,Appalachian League,baver,P10277,Baver,,2,Morristown,,,,,
minoraverages/1914Spalding,1913,Appalachian League,baver,P10277,Baver,,T,,,,,18,
minoraverages/1914Spalding,1913,Appalachian League,bell,B00985,Bell,,1,Morristown,,,,,
minoraverages/1914Spalding,1913,Appalachian League,bell,B00985,Bell,,2,Middlesboro,,,,,
minoraverages/1914Spalding,1913,Appalachian League,bell,B00985,Bell,,T,,,,33,,
minoraverages/1914Spalding,1913,Appalachian League,bell,F20713,Bell,,1,Morristown,,,,,p
minoraverages/1914Spalding,1913,Appalachian League,bell,F20713,Bell,,2,Middlesboro,,,,,p
minoraverages/1914Spalding,1913,Appalachian League,bell,F20713,Bell,,T,,,,,,p33
minoraverages/1914Spalding,1913,Appalachian League,bell,P10399,Bell,,1,Morristown,,,,,
minoraverages/1914Spalding,1913,Appalachian League,bell,P10399,Bell,,2,Middlesboro,,,,,
minoraverages/1914Spalding,1913,Appalachian League,bell,P10399,Bell,,T,,,,,26,
minoraverages/1914Spalding,1913,Appalachian League,benedict,B00705,Benedict,,0,Rome,,,78,,
minoraverages/1914Spalding,1913,Appalachian League,benedict,F21000,Benedict,,1,Middlesboro,,,,,c
minoraverages/1914Spalding,1913,Appalachian League,benedict,F21000,Benedict,,2,Rome,,,,,c
minoraverages/1914Spalding,1913,Appalachian League,benedict,F21000,Benedict,,T,,,,,,c78
minoraverages/1914Spalding,1913,Appalachian League,betzel,B00241,Betzel,,0,Bristol,,,105,,
minoraverages/1914Spalding,1913,Appalachian League,betzel,F20102,Betzel,,0,Bristol,,,,,2b105
minoraverages/1914Spalding,1913,Appalachian League,blansett,B01086,Blansett,,0,Morristown,,,,,
minoraverages/1914Spalding,1913,Appalachian League,blansett,F20924,Blansett,,0,Morristown,,,,,p7
minoraverages/1914Spalding,1913,Appalachian League,blansett,P10373,Blansett,,0,Morristown,,,,6,
minoraverages/1914Spalding,1913,Appalachian League,bowdoin,B00308,Bowdoin,,0,Bristol,,,96,,
minoraverages/1914Spalding,1913,Appalachian League,bowdoin,F21182,Bowdoin,,0,Bristol,,,,,
minoraverages/1914Spalding,1913,Appalachian League,bowers,B00794,Bowers,,0,Bristol,,,63,,
minoraverages/1914Spalding,1913,Appalachian League,bowers,F20211,Bowers,,0,Bristol,,,,,3b63
minoraverages/1914Spalding,1913,Appalachian League,bradford,B01064,Bradford,,0,Morristown,,,,,
minoraverages/1914Spalding,1913,Appalachian League,bradford,F20908,Bradford,,0,Morristown,,,,,p8
minoraverages/1914Spalding,1913,Appalachian League,bradford,P10348,Bradford,,0,Morristown,,,,5,
minoraverages/1914Spalding,1913,Appalachian League,bray,B00566,Bray,,0,Johnson City,,,69,,
minoraverages/1914Spalding,1913,Appalachian League,bray,F20144,Bray,,0,Johnson City,,,,,2b69
minoraverages/1914Spalding,1913,Appalachian League,breaux,B00528,Breaux,,0,Bristol,,,38,,
minoraverages/1914Spalding,1913,Appalachian League,breaux,F21101,Breaux,,0,Bristol,,,,,
minoraverages/1914Spalding,1913,Appalachian League,broucher,B00999,Broucher,,0,Bristol,,,11,,
minoraverages/1914Spalding,1913,Appalachian League,broucher,F20721,Broucher,,0,Bristol,,,,,p11
minoraverages/1914Spalding,1913,Appalachian League,broucher,P10290,Broucher,,0,Bristol,,,,11,
minoraverages/1914Spalding,1913,Appalachian League,bruner,B00174,Bruner,,0,Middlesboro,,,20,,
minoraverages/1914Spalding,1913,Appalachian League,bruner,F20784,Bruner,,0,Middlesboro,,,,,p20
minoraverages/1914Spalding,1913,Appalachian League,bruner,P10289,Bruner,,0,Middlesboro,,,,18,
minoraverages/1914Spalding,1913,Appalachian League,bullock,B00084,Bullock,,0,Knoxville,,,33,,
minoraverages/1914Spalding,1913,Appalachian League,bullock,F20072,Bullock,,0,Knoxville,,,,,1b33
minoraverages/1914Spalding,1913,Appalachian League,burke,B00210,Burke,,0,Knoxville,,,108,,
minoraverages/1914Spalding,1913,Appalachian League,burke,F20342,Burke,,0,Knoxville,,,,,of108
minoraverages/1914Spalding,1913,Appalachian League,burleson,B00442,Burleson,,0,Bristol,,,44,,
minoraverages/1914Spalding,1913,Appalachian League,burleson,F21084,Burleson,,0,Bristol,,,,,
minoraverages/1914Spalding,1913,Appalachian League,burleson,P10097,Burleson,,0,Bristol,,,,16,
minoraverages/1914Spalding,1913,Appalachian League,carver,B01216,Carver,,1,Middlesboro,,,,,
minoraverages/1914Spalding,1913,Appalachian League,carver,B01216,Carver,,2,Knoxville,,,,,
minoraverages/1914Spalding,1913,Appalachian League,carver,B01216,Carver,,T,,,,,,
minoraverages/1914Spalding,1913,Appalachian League,cleveland,B00101,Cleveland,,0,Johnson City,,,107,,
minoraverages/1914Spalding,1913,Appalachian League,cleveland,F20189,Cleveland,,0,Johnson City,,,,,3b107
minoraverages/1914Spalding,1913,Appalachian League,clunk,B00158,Clunk,,0,Knoxville,,,108,,
minoraverages/1914Spalding,1913,Appalachian League,clunk,F20401,Clunk,,0,Knoxville,,,,,of108
minoraverages/1914Spalding,1913,Appalachian League,cochran,B00037,Cochran,,0,Rome,,,105,,
