source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Reach,1913,Border League,adams,F20350,Adams,,0,Windsor,,,,,p2
minoraverages/1914Reach,1913,Border League,adams,P10145,Adams,,0,Windsor,,,,2,
minoraverages/1914Reach,1913,Border League,allen,F20391,Allen,,0,Port Huron,,,,,p2
minoraverages/1914Reach,1913,Border League,allen,P10137,Allen,,0,Port Huron,,,,2,
minoraverages/1914Reach,1913,Border League,amiot,B00130,Amiot,,0,Wyandotte,,,24,,
minoraverages/1914Reach,1913,Border League,amiot,F20080,Amiot,,0,Wyandotte,,,,,c23
minoraverages/1914Spalding,1913,Border League,amiot,B00084,Amiot,,0,Wyandotte,,,24,,
minoraverages/1914Spalding,1913,Border League,amiot,F20594,Amiot,,0,Wyandotte,,,,,c23
minoraverages/1914Reach,1913,Border League,barris,B00403,Barris,,0,Pontiac,,,12,,
minoraverages/1914Reach,1913,Border League,barris,F20115,Barris,,0,Pontiac,,,,,c12
minoraverages/1914Spalding,1913,Border League,barris,B00308,Barris,,0,Pontiac,,,12,,
minoraverages/1914Spalding,1913,Border League,barris,F20612,Barris,,0,Pontiac,,,,,c12
minoraverages/1914Reach,1913,Border League,bauer,B00936,Bauer,,0,Wyandotte,,,5,,
minoraverages/1914Reach,1913,Border League,bauer,F20547,Bauer,,0,Wyandotte,,,,,1b3
minoraverages/1914Spalding,1913,Border League,bauer,B00936,Bauer,,0,all,,,,,
minoraverages/1914Reach,1913,Border League,bell,B00013,Bell,,0,Ypsilanti,,,13,,
minoraverages/1914Reach,1913,Border League,bell,F20401,Bell,,0,Ypsilanti,,,,,p7
minoraverages/1914Reach,1913,Border League,bell,F20449,Bell,,0,Ypsilanti,,,,,1b2
minoraverages/1914Reach,1913,Border League,bell,F21381,Bell,,0,Ypsilanti,,,,,of3
minoraverages/1914Reach,1913,Border League,bell,P10019,Bell,,0,Ypsilanti,,,,8,
minoraverages/1914Spalding,1913,Border League,bell,B00013,Bell,,0,Ypsilanti,,,13,,
minoraverages/1914Spalding,1913,Border League,bell,F20552,Bell,,0,Ypsilanti,,,,,p7
minoraverages/1914Spalding,1913,Border League,bell,P10019,Bell,,0,Ypsilanti,,,,8,
minoraverages/1914Reach,1913,Border League,boettner,B00324,Boettner,,0,Wyandotte,,,36,,
minoraverages/1914Reach,1913,Border League,boettner,F20474,Boettner,,0,Wyandotte,,,,,1b13
minoraverages/1914Reach,1913,Border League,boettner,F20832,Boettner,,0,Wyandotte,,,,,3b10
minoraverages/1914Reach,1913,Border League,boettner,F21092,Boettner,,0,Wyandotte,,,,,of13
minoraverages/1914Spalding,1913,Border League,boettner,B00255,Boettner,,0,Wyandotte,,,36,,
minoraverages/1914Spalding,1913,Border League,boettner,F20023,Boettner,,0,Wyandotte,,,,,1b13
minoraverages/1914Spalding,1913,Border League,boettner,F20153,Boettner,,0,Wyandotte,,,,,3b10
minoraverages/1914Spalding,1913,Border League,boettner,F20240,Boettner,,0,Wyandotte,,,,,of13
minoraverages/1914Reach,1913,Border League,brain,B00450,Brain,,0,Windsor,,,6,,
minoraverages/1914Spalding,1913,Border League,brain,B00705,Brain,,0,all,,,,,
minoraverages/1914Reach,1913,Border League,breyer,B00174,Breyer,,0,Pontiac,,,27,,
minoraverages/1914Reach,1913,Border League,breyer,F20699,Breyer,,0,Pontiac,,,,,2b3
minoraverages/1914Reach,1913,Border League,breyer,F21255,Breyer,,0,Pontiac,,,,,of23
minoraverages/1914Spalding,1913,Border League,breyer,B00125,Breyer,,0,Pontiac,,,27,,
minoraverages/1914Spalding,1913,Border League,breyer,F20303,Breyer,,0,Pontiac,,,,,of23
minoraverages/emilbb,1913,Border League,brown-ph,M92000,Brown,Bill,,Port Huron,,,,,
minoraverages/emilbb,1913,Border League,browne-way,M91990,Browne,H. R.,,Wyandotte,,,,,
minoraverages/1914Reach,1913,Border League,bruce,B00125,Bruce,,0,Port Huron,,,32,,
minoraverages/1914Reach,1913,Border League,bruce,F20776,Bruce,,0,Port Huron,,,,,2b4
minoraverages/1914Reach,1913,Border League,bruce,F21021,Bruce,,0,Port Huron,,,,,ss19
minoraverages/1914Reach,1913,Border League,bruce,F21182,Bruce,,0,Port Huron,,,,,of7
minoraverages/1914Spalding,1913,Border League,bruce,B00076,Bruce,,0,Port Huron,,,32,,
minoraverages/1914Spalding,1913,Border League,bruce,F20211,Bruce,,0,Port Huron,,,,,ss19
minoraverages/1914Reach,1913,Border League,bully,B01010,Bully,,0,Pontiac,,,3,,
minoraverages/1914Spalding,1913,Border League,bully,B01010,Bully,,0,all,,,,,
minoraverages/1914Reach,1913,Border League,busch,B00021,Busch,,0,Wyandotte,,,12,,
minoraverages/1914Reach,1913,Border League,busch,F20265,Busch,,0,Wyandotte,,,,,p6
minoraverages/1914Reach,1913,Border League,busch,F21101,Busch,,0,Wyandotte,,,,,of4
minoraverages/1914Spalding,1913,Border League,busch,B00021,Busch,,0,Wyandotte,,,12,,
minoraverages/1914Spalding,1913,Border League,busch,F20496,Busch,,0,Wyandotte,,,,,p6
minoraverages/1914Reach,1913,Border League,cady,B00356,Cady,,0,Ypsilanti,,,6,,
minoraverages/1914Reach,1913,Border League,cady,F21158,Cady,,0,Ypsilanti,,,,,of6
minoraverages/1914Spalding,1913,Border League,cady,B00672,Cady,,0,all,,,,,
minoraverages/1914Reach,1913,Border League,campau,B00045,Campau,,0,Pontiac,,,16,,
minoraverages/1914Reach,1913,Border League,campau,F20375,Campau,,0,Pontiac,,,,,p9
minoraverages/1914Reach,1913,Border League,campau,F21343,Campau,,0,Pontiac,,,,,of6
minoraverages/1914Reach,1913,Border League,campau,P10176,Campau,,0,Pontiac,,,,9,
minoraverages/1914Spalding,1913,Border League,campau,B00045,Campau,,0,Pontiac,,,16,,
minoraverages/1914Spalding,1913,Border League,campau,F20547,Campau,,0,Pontiac,,,,,p9
minoraverages/1914Spalding,1913,Border League,campau,P10113,Campau,,0,Pontiac,,,,9,
minoraverages/1914Reach,1913,Border League,carlton,B00037,Carlton,,0,Port Huron,,,12,,
minoraverages/1914Reach,1913,Border League,carlton,F20463,Carlton,,0,Port Huron,,,,,1b10
